time,enrolled,available,waitlisted,total
2022-11-05T20:12:38,0,100,0,100
2022-11-05T20:21:55,0,100,0,100
2022-11-05T20:31:12,0,100,0,100
2022-11-05T20:40:40,0,100,0,100
2022-11-05T20:49:56,0,100,0,100
2022-11-05T20:59:12,0,100,0,100
2022-11-05T21:08:27,0,100,0,100
2022-11-05T21:17:42,0,100,0,100
2022-11-05T21:26:58,0,100,0,100
2022-11-05T21:36:13,0,100,0,100
2022-11-05T21:45:30,0,100,0,100
2022-11-05T21:54:45,0,100,0,100
2022-11-05T22:04:00,0,100,0,100
2022-11-05T22:13:16,0,100,0,100
2022-11-05T22:22:31,0,100,0,100
2022-11-05T22:31:46,0,100,0,100
2022-11-05T22:41:04,0,100,0,100
2022-11-05T22:50:20,0,100,0,100
2022-11-05T22:59:35,0,100,0,100
2022-11-05T23:08:52,0,100,0,100
2022-11-05T23:18:08,0,100,0,100
2022-11-05T23:27:24,0,100,0,100
2022-11-05T23:36:42,0,100,0,100
2022-11-05T23:45:58,0,100,0,100
2022-11-05T23:55:15,0,100,0,100
2022-11-06T00:04:39,0,100,0,100
2022-11-06T00:13:56,0,100,0,100
2022-11-06T00:23:12,0,100,0,100
2022-11-06T00:32:27,0,100,0,100
2022-11-06T00:41:43,0,100,0,100
2022-11-06T00:50:58,0,100,0,100
2022-11-06T01:00:13,0,100,0,100
2022-11-06T01:09:29,0,100,0,100
2022-11-06T01:18:44,0,100,0,100
2022-11-06T01:28:00,0,100,0,100
2022-11-06T01:37:16,0,100,0,100
2022-11-06T01:46:32,0,100,0,100
2022-11-06T01:55:48,0,100,0,100
2022-11-06T01:05:04,0,100,0,100
2022-11-06T01:14:21,0,100,0,100
2022-11-06T01:23:36,0,100,0,100
2022-11-06T01:32:53,0,100,0,100
2022-11-06T01:42:07,0,100,0,100
2022-11-06T01:51:25,0,100,0,100
2022-11-06T02:00:45,0,100,0,100
2022-11-06T02:10:03,0,100,0,100
2022-11-06T02:19:22,0,100,0,100
2022-11-06T02:28:42,0,100,0,100
2022-11-06T02:38:02,0,100,0,100
2022-11-06T02:47:21,0,100,0,100
2022-11-06T02:56:40,0,100,0,100
2022-11-06T03:05:59,0,100,0,100
2022-11-06T03:15:15,0,100,0,100
2022-11-06T03:24:32,0,100,0,100
2022-11-06T03:33:50,0,100,0,100
2022-11-06T03:43:10,0,100,0,100
2022-11-06T03:52:30,0,100,0,100
2022-11-06T04:01:49,0,100,0,100
2022-11-06T04:17:08,0,100,0,100
2022-11-06T04:26:28,0,100,0,100
2022-11-06T04:35:47,0,100,0,100
2022-11-06T04:46:14,0,100,0,100
2022-11-06T04:55:49,0,100,0,100
2022-11-06T05:05:07,0,100,0,100
2022-11-06T05:14:24,0,100,0,100
2022-11-06T05:23:41,0,100,0,100
2022-11-06T05:32:58,0,100,0,100
2022-11-06T05:42:13,0,100,0,100
2022-11-06T05:51:29,0,100,0,100
2022-11-06T06:00:48,0,100,0,100
2022-11-06T06:10:06,0,100,0,100
2022-11-06T06:19:25,0,100,0,100
2022-11-06T06:28:42,0,100,0,100
2022-11-06T06:37:58,0,100,0,100
2022-11-06T06:47:14,0,100,0,100
2022-11-06T06:56:30,0,100,0,100
2022-11-06T07:05:47,0,100,0,100
2022-11-06T07:15:04,0,100,0,100
2022-11-06T07:24:22,0,100,0,100
2022-11-06T07:33:40,0,100,0,100
2022-11-06T07:42:58,0,100,0,100
2022-11-06T07:52:16,0,100,0,100
2022-11-06T08:01:32,0,100,0,100
2022-11-06T08:10:49,0,100,0,100
2022-11-06T08:20:07,0,100,0,100
2022-11-06T08:29:24,0,100,0,100
2022-11-06T08:38:41,0,100,0,100
2022-11-06T08:47:57,0,100,0,100
2022-11-06T08:57:14,0,100,0,100
2022-11-06T09:06:30,0,100,0,100
2022-11-06T09:15:45,0,100,0,100
2022-11-06T09:24:59,0,100,0,100
2022-11-06T09:34:12,0,100,0,100
2022-11-06T09:43:27,0,100,0,100
2022-11-06T09:52:41,0,100,0,100
2022-11-06T10:01:54,0,100,0,100
2022-11-06T10:11:07,0,100,0,100
2022-11-06T10:20:21,0,100,0,100
2022-11-06T10:29:37,0,100,0,100
2022-11-06T10:38:52,0,100,0,100
2022-11-06T10:48:06,0,100,0,100
