time,enrolled,available,waitlisted,total
2022-11-05T20:12:39,0,48,0,48
2022-11-05T20:21:56,0,48,0,48
2022-11-05T20:31:13,0,48,0,48
2022-11-05T20:40:40,0,48,0,48
2022-11-05T20:49:56,0,48,0,48
2022-11-05T20:59:12,0,48,0,48
2022-11-05T21:08:28,0,48,0,48
2022-11-05T21:17:43,0,48,0,48
2022-11-05T21:26:58,0,48,0,48
2022-11-05T21:36:14,0,48,0,48
2022-11-05T21:45:30,0,48,0,48
2022-11-05T21:54:45,0,48,0,48
2022-11-05T22:04:00,0,48,0,48
2022-11-05T22:13:16,0,48,0,48
2022-11-05T22:22:31,0,48,0,48
2022-11-05T22:31:47,0,48,0,48
2022-11-05T22:41:04,0,48,0,48
2022-11-05T22:50:20,0,48,0,48
2022-11-05T22:59:36,0,48,0,48
2022-11-05T23:08:52,0,48,0,48
2022-11-05T23:18:09,0,48,0,48
2022-11-05T23:27:25,0,48,0,48
2022-11-05T23:36:42,0,48,0,48
2022-11-05T23:45:59,0,48,0,48
2022-11-05T23:55:15,0,48,0,48
2022-11-06T00:04:39,0,48,0,48
2022-11-06T00:13:57,0,48,0,48
2022-11-06T00:23:12,0,48,0,48
2022-11-06T00:32:28,0,48,0,48
2022-11-06T00:41:43,0,48,0,48
2022-11-06T00:50:59,0,48,0,48
2022-11-06T01:00:14,0,48,0,48
2022-11-06T01:09:29,0,48,0,48
2022-11-06T01:18:44,0,48,0,48
2022-11-06T01:28:01,0,48,0,48
2022-11-06T01:37:17,0,48,0,48
2022-11-06T01:46:32,0,48,0,48
2022-11-06T01:55:48,0,48,0,48
2022-11-06T01:05:05,0,48,0,48
2022-11-06T01:14:21,0,48,0,48
2022-11-06T01:23:37,0,48,0,48
2022-11-06T01:32:53,0,48,0,48
2022-11-06T01:42:08,0,48,0,48
2022-11-06T01:51:26,0,48,0,48
2022-11-06T02:00:45,0,48,0,48
2022-11-06T02:10:04,0,48,0,48
2022-11-06T02:19:22,0,48,0,48
2022-11-06T02:28:43,0,48,0,48
2022-11-06T02:38:03,0,48,0,48
2022-11-06T02:47:22,0,48,0,48
2022-11-06T02:56:40,0,48,0,48
2022-11-06T03:05:59,0,48,0,48
2022-11-06T03:15:16,0,48,0,48
2022-11-06T03:24:33,0,48,0,48
2022-11-06T03:33:50,0,48,0,48
2022-11-06T03:43:10,0,48,0,48
2022-11-06T03:52:30,0,48,0,48
2022-11-06T04:01:49,0,48,0,48
2022-11-06T04:17:08,0,48,0,48
2022-11-06T04:26:28,0,48,0,48
2022-11-06T04:35:47,0,48,0,48
2022-11-06T04:46:15,0,48,0,48
2022-11-06T04:55:50,0,48,0,48
2022-11-06T05:05:08,0,48,0,48
2022-11-06T05:14:25,0,48,0,48
2022-11-06T05:23:41,0,48,0,48
2022-11-06T05:32:59,0,48,0,48
2022-11-06T05:42:13,0,48,0,48
2022-11-06T05:51:30,0,48,0,48
2022-11-06T06:00:48,0,48,0,48
2022-11-06T06:10:07,0,48,0,48
2022-11-06T06:19:26,0,48,0,48
2022-11-06T06:28:43,0,48,0,48
2022-11-06T06:37:59,0,48,0,48
2022-11-06T06:47:15,0,48,0,48
2022-11-06T06:56:30,0,48,0,48
2022-11-06T07:05:48,0,48,0,48
2022-11-06T07:15:05,0,48,0,48
2022-11-06T07:24:22,0,48,0,48
2022-11-06T07:33:40,0,48,0,48
2022-11-06T07:42:59,0,48,0,48
2022-11-06T07:52:17,0,48,0,48
2022-11-06T08:01:33,0,48,0,48
2022-11-06T08:10:50,0,48,0,48
2022-11-06T08:20:07,0,48,0,48
2022-11-06T08:29:24,0,48,0,48
2022-11-06T08:38:41,0,48,0,48
2022-11-06T08:47:57,0,48,0,48
2022-11-06T08:57:15,0,48,0,48
2022-11-06T09:06:31,0,48,0,48
2022-11-06T09:15:46,0,48,0,48
2022-11-06T09:25:00,0,48,0,48
2022-11-06T09:34:13,0,48,0,48
2022-11-06T09:43:27,0,48,0,48
2022-11-06T09:52:41,0,48,0,48
2022-11-06T10:01:54,0,48,0,48
2022-11-06T10:11:08,0,48,0,48
2022-11-06T10:20:22,0,48,0,48
2022-11-06T10:29:38,0,48,0,48
2022-11-06T10:38:52,0,48,0,48
2022-11-06T10:48:07,0,48,0,48
2022-11-06T10:57:22,0,48,0,48
2022-11-06T11:06:37,0,48,0,48
2022-11-06T11:15:51,0,48,0,48
2022-11-06T11:25:10,0,48,0,48
2022-11-06T11:34:32,0,48,0,48
2022-11-06T11:43:47,0,48,0,48
2022-11-06T11:53:01,0,48,0,48
2022-11-06T12:02:15,0,48,0,48
2022-11-06T12:11:31,0,48,0,48
2022-11-06T12:20:56,0,48,0,48
2022-11-06T12:30:11,0,48,0,48
2022-11-06T12:39:24,0,48,0,48
2022-11-06T12:48:39,0,48,0,48
2022-11-06T12:57:53,0,48,0,48
2022-11-06T13:07:08,0,48,0,48
2022-11-06T13:16:24,0,48,0,48
2022-11-06T13:25:39,0,48,0,48
2022-11-06T13:34:53,0,48,0,48
2022-11-06T13:44:07,0,48,0,48
2022-11-06T13:53:20,0,48,0,48
2022-11-06T14:02:36,0,48,0,48
2022-11-06T14:11:51,0,48,0,48
2022-11-06T14:21:14,0,48,0,48
2022-11-06T14:30:28,0,48,0,48
2022-11-06T14:39:43,0,48,0,48
2022-11-06T14:48:59,0,48,0,48
2022-11-06T14:58:13,0,48,0,48
2022-11-06T15:07:26,0,48,0,48
2022-11-06T15:16:40,0,48,0,48
2022-11-06T15:25:54,0,48,0,48
2022-11-06T15:35:07,0,48,0,48
2022-11-06T15:44:22,0,48,0,48
2022-11-06T15:53:34,0,48,0,48
2022-11-06T16:02:46,0,48,0,48
2022-11-06T16:12:10,0,48,0,48
2022-11-06T16:21:24,0,48,0,48
2022-11-06T16:30:41,0,48,0,48
2022-11-06T16:39:57,0,48,0,48
2022-11-06T16:49:12,0,48,0,48
2022-11-06T16:58:27,0,48,0,48
2022-11-06T17:07:41,0,48,0,48
2022-11-06T17:16:56,0,48,0,48
2022-11-06T17:26:11,0,48,0,48
2022-11-06T17:35:27,0,48,0,48
2022-11-06T17:44:52,0,48,0,48
2022-11-06T17:54:05,0,48,0,48
2022-11-06T18:03:21,0,48,0,48
2022-11-06T18:12:37,0,48,0,48
2022-11-06T18:21:52,0,48,0,48
2022-11-06T18:31:06,0,48,0,48
