time,enrolled,available,waitlisted,total
2022-11-05T20:12:42,0,120,0,120
2022-11-05T20:21:59,0,120,0,120
2022-11-05T20:31:16,0,120,0,120
2022-11-05T20:40:44,0,120,0,120
2022-11-05T20:49:59,0,120,0,120
2022-11-05T20:59:15,0,120,0,120
2022-11-05T21:08:31,0,120,0,120
2022-11-05T21:17:46,0,120,0,120
2022-11-05T21:27:01,0,120,0,120
2022-11-05T21:36:17,0,120,0,120
2022-11-05T21:45:33,0,120,0,120
2022-11-05T21:54:48,0,120,0,120
2022-11-05T22:04:03,0,120,0,120
2022-11-05T22:13:19,0,120,0,120
2022-11-05T22:22:34,0,120,0,120
2022-11-05T22:31:50,0,120,0,120
2022-11-05T22:41:07,0,120,0,120
2022-11-05T22:50:23,0,120,0,120
2022-11-05T22:59:39,0,120,0,120
2022-11-05T23:08:55,0,120,0,120
2022-11-05T23:18:12,0,120,0,120
2022-11-05T23:27:28,0,120,0,120
2022-11-05T23:36:45,0,120,0,120
2022-11-05T23:46:02,0,120,0,120
2022-11-05T23:55:18,0,120,0,120
2022-11-06T00:04:42,0,120,0,120
2022-11-06T00:14:00,0,120,0,120
2022-11-06T00:23:15,0,120,0,120
2022-11-06T00:32:31,0,120,0,120
2022-11-06T00:41:46,0,120,0,120
2022-11-06T00:51:02,0,120,0,120
2022-11-06T01:00:17,0,120,0,120
2022-11-06T01:09:32,0,120,0,120
2022-11-06T01:18:47,0,120,0,120
2022-11-06T01:28:04,0,120,0,120
2022-11-06T01:37:20,0,120,0,120
2022-11-06T01:46:35,0,120,0,120
2022-11-06T01:55:51,0,120,0,120
2022-11-06T01:05:08,0,120,0,120
2022-11-06T01:14:24,0,120,0,120
2022-11-06T01:23:40,0,120,0,120
2022-11-06T01:32:56,0,120,0,120
2022-11-06T01:42:11,0,120,0,120
2022-11-06T01:51:29,0,120,0,120
2022-11-06T02:00:48,0,120,0,120
2022-11-06T02:10:07,0,120,0,120
2022-11-06T02:19:25,0,120,0,120
2022-11-06T02:28:46,0,120,0,120
2022-11-06T02:38:06,0,120,0,120
2022-11-06T02:47:25,0,120,0,120
2022-11-06T02:56:43,0,120,0,120
2022-11-06T03:06:02,0,120,0,120
2022-11-06T03:15:19,0,120,0,120
2022-11-06T03:24:36,0,120,0,120
2022-11-06T03:33:53,0,120,0,120
2022-11-06T03:43:13,0,120,0,120
2022-11-06T03:52:33,0,120,0,120
2022-11-06T04:01:53,0,120,0,120
2022-11-06T04:17:11,0,120,0,120
2022-11-06T04:26:31,0,120,0,120
2022-11-06T04:35:50,0,120,0,120
2022-11-06T04:46:18,0,120,0,120
2022-11-06T04:55:53,0,120,0,120
2022-11-06T05:05:11,0,120,0,120
2022-11-06T05:14:28,0,120,0,120
2022-11-06T05:23:44,0,120,0,120
2022-11-06T05:33:02,0,120,0,120
2022-11-06T05:42:16,0,120,0,120
2022-11-06T05:51:33,0,120,0,120
2022-11-06T06:00:51,0,120,0,120
2022-11-06T06:10:10,0,120,0,120
2022-11-06T06:19:29,0,120,0,120
2022-11-06T06:28:46,0,120,0,120
2022-11-06T06:38:02,0,120,0,120
2022-11-06T06:47:18,0,120,0,120
2022-11-06T06:56:33,0,120,0,120
2022-11-06T07:05:51,0,120,0,120
2022-11-06T07:15:08,0,120,0,120
2022-11-06T07:24:25,0,120,0,120
2022-11-06T07:33:43,0,120,0,120
2022-11-06T07:43:02,0,120,0,120
2022-11-06T07:52:20,0,120,0,120
2022-11-06T08:01:36,0,120,0,120
2022-11-06T08:10:53,0,120,0,120
2022-11-06T08:20:10,0,120,0,120
2022-11-06T08:29:28,0,120,0,120
2022-11-06T08:38:44,0,120,0,120
2022-11-06T08:48:00,0,120,0,120
2022-11-06T08:57:18,0,120,0,120
2022-11-06T09:06:34,0,120,0,120
2022-11-06T09:15:49,0,120,0,120
2022-11-06T09:25:03,0,120,0,120
2022-11-06T09:34:16,0,120,0,120
2022-11-06T09:43:30,0,120,0,120
2022-11-06T09:52:44,0,120,0,120
2022-11-06T10:01:58,0,120,0,120
2022-11-06T10:11:11,0,120,0,120
2022-11-06T10:20:24,0,120,0,120
2022-11-06T10:29:41,0,120,0,120
2022-11-06T10:38:55,0,120,0,120
2022-11-06T10:48:10,0,120,0,120
2022-11-06T10:57:25,0,120,0,120
2022-11-06T11:06:40,0,120,0,120
2022-11-06T11:15:55,0,120,0,120
2022-11-06T11:25:13,0,120,0,120
2022-11-06T11:34:35,0,120,0,120
2022-11-06T11:43:50,0,120,0,120
2022-11-06T11:53:04,0,120,0,120
2022-11-06T12:02:18,0,120,0,120
2022-11-06T12:11:34,0,120,0,120
2022-11-06T12:20:59,0,120,0,120
2022-11-06T12:30:14,0,120,0,120
2022-11-06T12:39:27,0,120,0,120
2022-11-06T12:48:42,0,120,0,120
2022-11-06T12:57:56,0,120,0,120
2022-11-06T13:07:11,0,120,0,120
2022-11-06T13:16:27,0,120,0,120
2022-11-06T13:25:42,0,120,0,120
2022-11-06T13:34:56,0,120,0,120
2022-11-06T13:44:10,0,120,0,120
2022-11-06T13:53:23,0,120,0,120
2022-11-06T14:02:39,0,120,0,120
2022-11-06T14:11:54,0,120,0,120
2022-11-06T14:21:17,0,120,0,120
2022-11-06T14:30:31,0,120,0,120
2022-11-06T14:39:46,0,120,0,120
2022-11-06T14:49:02,0,120,0,120
2022-11-06T14:58:16,0,120,0,120
2022-11-06T15:07:29,0,120,0,120
2022-11-06T15:16:43,0,120,0,120
2022-11-06T15:25:57,0,120,0,120
2022-11-06T15:35:10,0,120,0,120
2022-11-06T15:44:25,0,120,0,120
2022-11-06T15:53:37,0,120,0,120
2022-11-06T16:02:49,0,120,0,120
2022-11-06T16:12:13,0,120,0,120
2022-11-06T16:21:28,0,120,0,120
2022-11-06T16:30:44,0,120,0,120
2022-11-06T16:40:00,0,120,0,120
2022-11-06T16:49:15,0,120,0,120
2022-11-06T16:58:30,0,120,0,120
2022-11-06T17:07:44,0,120,0,120
2022-11-06T17:16:59,0,120,0,120
2022-11-06T17:26:14,0,120,0,120
2022-11-06T17:35:30,0,120,0,120
2022-11-06T17:44:55,0,120,0,120
2022-11-06T17:54:08,0,120,0,120
2022-11-06T18:03:24,0,120,0,120
2022-11-06T18:12:40,0,120,0,120
2022-11-06T18:21:55,0,120,0,120
2022-11-06T18:31:09,0,120,0,120
2022-11-06T18:40:22,0,120,0,120
2022-11-06T18:49:36,0,120,0,120
2022-11-06T18:58:51,0,120,0,120
2022-11-06T19:08:16,0,120,0,120
2022-11-06T19:17:30,0,120,0,120
2022-11-06T19:26:44,0,120,0,120
2022-11-06T19:35:59,0,120,0,120
2022-11-06T19:45:12,0,120,0,120
2022-11-06T19:54:26,0,120,0,120
2022-11-06T20:03:40,0,120,0,120
2022-11-06T20:12:54,0,120,0,120
2022-11-06T20:22:08,0,120,0,120
2022-11-06T20:31:23,0,120,0,120
2022-11-06T20:40:46,0,120,0,120
2022-11-06T20:50:00,0,120,0,120
2022-11-06T20:59:14,0,120,0,120
2022-11-06T21:08:29,0,120,0,120
2022-11-06T21:17:42,0,120,0,120
2022-11-06T21:26:55,0,120,0,120
2022-11-06T21:36:08,0,120,0,120
2022-11-06T21:45:23,0,120,0,120
2022-11-06T21:54:47,0,120,0,120
2022-11-06T22:04:03,0,120,0,120
2022-11-06T22:13:17,0,120,0,120
2022-11-06T22:22:33,0,120,0,120
2022-11-06T22:31:48,0,120,0,120
2022-11-06T22:41:03,0,120,0,120
2022-11-06T22:50:16,0,120,0,120
2022-11-06T22:59:32,0,120,0,120
2022-11-06T23:08:58,0,120,0,120
2022-11-06T23:18:13,0,120,0,120
2022-11-06T23:27:29,0,120,0,120
2022-11-06T23:36:45,0,120,0,120
2022-11-06T23:46:00,0,120,0,120
2022-11-06T23:55:15,0,120,0,120
2022-11-07T00:06:15,0,120,0,120
2022-11-07T00:15:38,0,120,0,120
2022-11-07T00:25:06,0,120,0,120
2022-11-07T00:34:24,0,120,0,120
2022-11-07T00:43:38,0,120,0,120
2022-11-07T00:52:53,0,120,0,120
2022-11-07T01:02:06,0,120,0,120
2022-11-07T01:11:28,0,120,0,120
2022-11-07T01:20:44,0,120,0,120
2022-11-07T01:29:59,0,120,0,120
2022-11-07T01:39:14,0,120,0,120
2022-11-07T01:48:39,0,120,0,120
2022-11-07T01:57:53,0,120,0,120
2022-11-07T02:07:07,0,120,0,120
2022-11-07T02:16:22,0,120,0,120
2022-11-07T02:25:37,0,120,0,120
2022-11-07T02:34:51,0,120,0,120
2022-11-07T02:44:06,0,120,0,120
2022-11-07T02:53:20,0,120,0,120
2022-11-07T03:02:35,0,120,0,120
2022-11-07T03:11:49,0,120,0,120
2022-11-07T03:21:04,0,120,0,120
2022-11-07T03:30:19,0,120,0,120
2022-11-07T03:39:35,0,120,0,120
2022-11-07T03:48:51,0,120,0,120
2022-11-07T03:58:08,0,120,0,120
2022-11-07T04:07:26,0,120,0,120
2022-11-07T04:24:35,0,120,0,120
2022-11-07T04:34:15,0,120,0,120
2022-11-07T04:43:31,0,120,0,120
2022-11-07T04:52:49,0,120,0,120
2022-11-07T05:02:03,0,120,0,120
2022-11-07T05:11:18,0,120,0,120
2022-11-07T05:20:33,0,120,0,120
2022-11-07T05:29:47,0,120,0,120
2022-11-07T05:39:00,0,120,0,120
2022-11-07T05:48:15,0,120,0,120
2022-11-07T05:57:31,0,120,0,120
2022-11-07T06:06:48,0,120,0,120
2022-11-07T06:16:05,0,120,0,120
2022-11-07T06:25:23,0,120,0,120
2022-11-07T06:34:40,0,120,0,120
2022-11-07T06:43:57,0,120,0,120
2022-11-07T06:53:13,0,120,0,120
2022-11-07T07:02:29,0,120,0,120
2022-11-07T07:11:46,0,120,0,120
2022-11-07T07:21:04,0,120,0,120
2022-11-07T07:30:21,0,120,0,120
2022-11-07T07:39:38,0,120,0,120
2022-11-07T07:48:56,0,120,0,120
2022-11-07T07:58:17,0,120,0,120
2022-11-07T08:07:35,0,120,0,120
2022-11-07T08:16:54,0,120,0,120
2022-11-07T08:26:13,0,120,0,120
2022-11-07T08:35:41,0,120,0,120
2022-11-07T08:44:59,0,120,0,120
2022-11-07T08:54:16,0,120,0,120
