time,enrolled,available,waitlisted,total
2022-11-05T20:12:52,0,27,0,27
2022-11-05T20:22:09,0,27,0,27
2022-11-05T20:31:26,0,27,0,27
2022-11-05T20:40:54,0,27,0,27
2022-11-05T20:50:10,0,27,0,27
2022-11-05T20:59:26,0,27,0,27
2022-11-05T21:08:41,0,27,0,27
2022-11-05T21:17:56,0,27,0,27
2022-11-05T21:27:12,0,27,0,27
2022-11-05T21:36:27,0,27,0,27
2022-11-05T21:45:44,0,27,0,27
2022-11-05T21:54:59,0,27,0,27
2022-11-05T22:04:14,0,27,0,27
2022-11-05T22:13:29,0,27,0,27
2022-11-05T22:22:45,0,27,0,27
2022-11-05T22:32:00,0,27,0,27
2022-11-05T22:41:18,0,27,0,27
2022-11-05T22:50:33,0,27,0,27
2022-11-05T22:59:49,0,27,0,27
2022-11-05T23:09:06,0,27,0,27
2022-11-05T23:18:22,0,27,0,27
2022-11-05T23:27:38,0,27,0,27
2022-11-05T23:36:56,0,27,0,27
2022-11-05T23:46:12,0,27,0,27
2022-11-05T23:55:28,0,27,0,27
2022-11-06T00:04:53,0,27,0,27
2022-11-06T00:14:10,0,27,0,27
2022-11-06T00:23:25,0,27,0,27
2022-11-06T00:32:41,0,27,0,27
2022-11-06T00:41:57,0,27,0,27
2022-11-06T00:51:12,0,27,0,27
2022-11-06T01:00:27,0,27,0,27
2022-11-06T01:09:43,0,27,0,27
2022-11-06T01:18:58,0,27,0,27
2022-11-06T01:28:15,0,27,0,27
2022-11-06T01:37:30,0,27,0,27
2022-11-06T01:46:46,0,27,0,27
2022-11-06T01:56:02,0,27,0,27
2022-11-06T01:05:18,0,27,0,27
2022-11-06T01:14:35,0,27,0,27
2022-11-06T01:23:50,0,27,0,27
2022-11-06T01:33:07,0,27,0,27
2022-11-06T01:42:21,0,27,0,27
2022-11-06T01:51:39,0,27,0,27
2022-11-06T02:00:59,0,27,0,27
2022-11-06T02:10:17,0,27,0,27
2022-11-06T02:19:36,0,27,0,27
2022-11-06T02:28:56,0,27,0,27
2022-11-06T02:38:16,0,27,0,27
2022-11-06T02:47:35,0,27,0,27
2022-11-06T02:56:54,0,27,0,27
2022-11-06T03:06:12,0,27,0,27
2022-11-06T03:15:29,0,27,0,27
2022-11-06T03:24:46,0,27,0,27
2022-11-06T03:34:04,0,27,0,27
2022-11-06T03:43:24,0,27,0,27
2022-11-06T03:52:44,0,27,0,27
2022-11-06T04:02:03,0,27,0,27
2022-11-06T04:17:22,0,27,0,27
2022-11-06T04:26:42,0,27,0,27
2022-11-06T04:36:01,0,27,0,27
2022-11-06T04:46:28,0,27,0,27
2022-11-06T04:56:03,0,27,0,27
2022-11-06T05:05:21,0,27,0,27
2022-11-06T05:14:38,0,27,0,27
2022-11-06T05:23:55,0,27,0,27
2022-11-06T05:33:12,0,27,0,27
2022-11-06T05:42:27,0,27,0,27
2022-11-06T05:51:43,0,27,0,27
2022-11-06T06:01:02,0,27,0,27
2022-11-06T06:10:21,0,27,0,27
2022-11-06T06:19:39,0,27,0,27
2022-11-06T06:28:56,0,27,0,27
2022-11-06T06:38:12,0,27,0,27
2022-11-06T06:47:28,0,27,0,27
2022-11-06T06:56:44,0,27,0,27
2022-11-06T07:06:01,0,27,0,27
2022-11-06T07:15:18,0,27,0,27
2022-11-06T07:24:36,0,27,0,27
2022-11-06T07:33:54,0,27,0,27
2022-11-06T07:43:12,0,27,0,27
2022-11-06T07:52:30,0,27,0,27
2022-11-06T08:01:47,0,27,0,27
2022-11-06T08:11:03,0,27,0,27
2022-11-06T08:20:20,0,27,0,27
2022-11-06T08:29:38,0,27,0,27
2022-11-06T08:38:55,0,27,0,27
2022-11-06T08:48:11,0,27,0,27
2022-11-06T08:57:28,0,27,0,27
2022-11-06T09:06:44,0,27,0,27
2022-11-06T09:15:59,0,27,0,27
2022-11-06T09:25:13,0,27,0,27
2022-11-06T09:34:26,0,27,0,27
2022-11-06T09:43:40,0,27,0,27
2022-11-06T09:52:54,0,27,0,27
2022-11-06T10:02:08,0,27,0,27
2022-11-06T10:11:21,0,27,0,27
2022-11-06T10:20:35,0,27,0,27
2022-11-06T10:29:51,0,27,0,27
2022-11-06T10:39:05,0,27,0,27
2022-11-06T10:48:20,0,27,0,27
2022-11-06T10:57:35,0,27,0,27
2022-11-06T11:06:50,0,27,0,27
2022-11-06T11:16:05,0,27,0,27
2022-11-06T11:25:23,0,27,0,27
2022-11-06T11:34:46,0,27,0,27
2022-11-06T11:44:01,0,27,0,27
2022-11-06T11:53:15,0,27,0,27
2022-11-06T12:02:29,0,27,0,27
2022-11-06T12:11:45,0,27,0,27
2022-11-06T12:21:10,0,27,0,27
2022-11-06T12:30:24,0,27,0,27
2022-11-06T12:39:37,0,27,0,27
2022-11-06T12:48:53,0,27,0,27
2022-11-06T12:58:07,0,27,0,27
2022-11-06T13:07:22,0,27,0,27
2022-11-06T13:16:38,0,27,0,27
2022-11-06T13:25:53,0,27,0,27
2022-11-06T13:35:07,0,27,0,27
2022-11-06T13:44:20,0,27,0,27
2022-11-06T13:53:34,0,27,0,27
2022-11-06T14:02:49,0,27,0,27
2022-11-06T14:12:04,0,27,0,27
2022-11-06T14:21:27,0,27,0,27
2022-11-06T14:30:41,0,27,0,27
2022-11-06T14:39:56,0,27,0,27
2022-11-06T14:49:12,0,27,0,27
2022-11-06T14:58:26,0,27,0,27
2022-11-06T15:07:40,0,27,0,27
2022-11-06T15:16:53,0,27,0,27
2022-11-06T15:26:07,0,27,0,27
2022-11-06T15:35:20,0,27,0,27
2022-11-06T15:44:35,0,27,0,27
2022-11-06T15:53:48,0,27,0,27
2022-11-06T16:03:00,0,27,0,27
2022-11-06T16:12:23,0,27,0,27
2022-11-06T16:21:38,0,27,0,27
2022-11-06T16:30:54,0,27,0,27
2022-11-06T16:40:10,0,27,0,27
2022-11-06T16:49:25,0,27,0,27
2022-11-06T16:58:41,0,27,0,27
2022-11-06T17:07:55,0,27,0,27
2022-11-06T17:17:09,0,27,0,27
2022-11-06T17:26:25,0,27,0,27
2022-11-06T17:35:40,0,27,0,27
2022-11-06T17:45:05,0,27,0,27
2022-11-06T17:54:19,0,27,0,27
2022-11-06T18:03:35,0,27,0,27
2022-11-06T18:12:50,0,27,0,27
2022-11-06T18:22:05,0,27,0,27
2022-11-06T18:31:19,0,27,0,27
2022-11-06T18:40:32,0,27,0,27
2022-11-06T18:49:46,0,27,0,27
2022-11-06T18:59:01,0,27,0,27
2022-11-06T19:08:26,0,27,0,27
2022-11-06T19:17:40,0,27,0,27
2022-11-06T19:26:55,0,27,0,27
2022-11-06T19:36:10,0,27,0,27
2022-11-06T19:45:22,0,27,0,27
2022-11-06T19:54:36,0,27,0,27
2022-11-06T20:03:50,0,27,0,27
2022-11-06T20:13:04,0,27,0,27
2022-11-06T20:22:18,0,27,0,27
2022-11-06T20:31:34,0,27,0,27
2022-11-06T20:40:56,0,27,0,27
2022-11-06T20:50:11,0,27,0,27
2022-11-06T20:59:25,0,27,0,27
2022-11-06T21:08:40,0,27,0,27
2022-11-06T21:17:52,0,27,0,27
2022-11-06T21:27:05,0,27,0,27
2022-11-06T21:36:18,0,27,0,27
2022-11-06T21:45:34,0,27,0,27
2022-11-06T21:54:58,0,27,0,27
2022-11-06T22:04:14,0,27,0,27
2022-11-06T22:13:28,0,27,0,27
2022-11-06T22:22:43,0,27,0,27
2022-11-06T22:31:58,0,27,0,27
2022-11-06T22:41:13,0,27,0,27
2022-11-06T22:50:26,0,27,0,27
2022-11-06T22:59:42,0,27,0,27
2022-11-06T23:09:08,0,27,0,27
2022-11-06T23:18:23,0,27,0,27
2022-11-06T23:27:39,0,27,0,27
2022-11-06T23:36:55,0,27,0,27
2022-11-06T23:46:10,0,27,0,27
2022-11-06T23:55:25,0,27,0,27
2022-11-07T00:06:25,0,27,0,27
2022-11-07T00:15:48,0,27,0,27
2022-11-07T00:25:17,0,27,0,27
2022-11-07T00:34:34,0,27,0,27
2022-11-07T00:43:48,0,27,0,27
2022-11-07T00:53:03,0,27,0,27
2022-11-07T01:02:17,0,27,0,27
2022-11-07T01:11:38,0,27,0,27
2022-11-07T01:20:55,0,27,0,27
2022-11-07T01:30:09,0,27,0,27
2022-11-07T01:39:24,0,27,0,27
2022-11-07T01:48:49,0,27,0,27
2022-11-07T01:58:04,0,27,0,27
2022-11-07T02:07:18,0,27,0,27
2022-11-07T02:16:32,0,27,0,27
2022-11-07T02:25:48,0,27,0,27
2022-11-07T02:35:02,0,27,0,27
2022-11-07T02:44:16,0,27,0,27
2022-11-07T02:53:30,0,27,0,27
2022-11-07T03:02:45,0,27,0,27
2022-11-07T03:11:59,0,27,0,27
2022-11-07T03:21:15,0,27,0,27
2022-11-07T03:30:29,0,27,0,27
2022-11-07T03:39:46,0,27,0,27
2022-11-07T03:49:02,0,27,0,27
2022-11-07T03:58:19,0,27,0,27
2022-11-07T04:07:37,0,27,0,27
2022-11-07T04:24:46,0,27,0,27
2022-11-07T04:34:25,0,27,0,27
2022-11-07T04:43:43,0,27,0,27
2022-11-07T04:52:59,0,27,0,27
2022-11-07T05:02:14,0,27,0,27
2022-11-07T05:11:29,0,27,0,27
2022-11-07T05:20:43,0,27,0,27
2022-11-07T05:29:57,0,27,0,27
2022-11-07T05:39:10,0,27,0,27
2022-11-07T05:48:25,0,27,0,27
2022-11-07T05:57:42,0,27,0,27
2022-11-07T06:06:59,0,27,0,27
2022-11-07T06:16:16,0,27,0,27
2022-11-07T06:25:33,0,27,0,27
2022-11-07T06:34:51,0,27,0,27
2022-11-07T06:44:08,0,27,0,27
2022-11-07T06:53:23,0,27,0,27
2022-11-07T07:02:40,0,27,0,27
2022-11-07T07:11:56,0,27,0,27
2022-11-07T07:21:14,0,27,0,27
2022-11-07T07:30:31,0,27,0,27
2022-11-07T07:39:48,0,27,0,27
2022-11-07T07:49:06,0,27,0,27
2022-11-07T07:58:27,0,27,0,27
2022-11-07T08:07:46,0,27,0,27
2022-11-07T08:17:05,0,27,0,27
2022-11-07T08:26:23,0,27,0,27
2022-11-07T08:35:51,0,27,0,27
2022-11-07T08:45:09,0,27,0,27
2022-11-07T08:54:26,0,27,0,27
2022-11-07T09:03:44,0,27,0,27
2022-11-07T09:13:05,0,27,0,27
2022-11-07T09:22:26,0,27,0,27
2022-11-07T09:31:45,0,27,0,27
2022-11-07T09:41:08,0,27,0,27
2022-11-07T09:50:42,0,27,0,27
2022-11-07T10:00:00,0,27,0,27
2022-11-07T10:09:19,0,27,0,27
2022-11-07T10:18:38,0,27,0,27
2022-11-07T10:27:57,0,27,0,27
2022-11-07T10:37:17,0,27,0,27
2022-11-07T10:46:49,0,27,0,27
2022-11-07T10:56:08,0,27,0,27
2022-11-07T11:05:28,0,27,0,27
2022-11-07T11:14:50,0,27,0,27
2022-11-07T11:24:21,0,27,0,27
2022-11-07T11:33:41,0,27,0,27
2022-11-07T11:43:01,0,27,0,27
2022-11-07T11:52:19,0,27,0,27
2022-11-07T12:01:37,0,27,0,27
2022-11-07T12:11:06,0,27,0,27
2022-11-07T12:20:26,0,27,0,27
2022-11-07T12:29:45,0,27,0,27
2022-11-07T12:39:05,0,27,0,27
2022-11-07T12:48:35,0,27,0,27
2022-11-07T12:57:55,0,27,0,27
2022-11-07T13:07:16,0,27,0,27
2022-11-07T13:16:37,0,27,0,27
2022-11-07T13:26:08,0,27,0,27
2022-11-07T13:35:29,0,27,0,27
2022-11-07T13:44:51,0,27,0,27
2022-11-07T13:54:22,0,27,0,27
2022-11-07T14:03:42,0,27,0,27
2022-11-07T14:13:01,0,27,0,27
2022-11-07T14:22:21,0,27,0,27
2022-11-07T14:31:51,0,27,0,27
2022-11-07T14:41:11,0,27,0,27
2022-11-07T14:50:30,0,27,0,27
2022-11-07T14:59:48,0,27,0,27
2022-11-07T15:09:07,0,27,0,27
2022-11-07T15:18:38,0,27,0,27
2022-11-07T15:27:57,0,27,0,27
2022-11-07T15:37:16,0,27,0,27
2022-11-07T15:46:34,0,27,0,27
