time,enrolled,available,waitlisted,total
2022-11-05T20:12:58,0,0,0,0
2022-11-05T20:22:15,0,0,0,0
2022-11-05T20:31:32,0,0,0,0
2022-11-05T20:40:59,0,0,0,0
2022-11-05T20:50:16,0,0,0,0
2022-11-05T20:59:31,0,0,0,0
2022-11-05T21:08:47,0,0,0,0
2022-11-05T21:18:02,0,0,0,0
2022-11-05T21:27:17,0,0,0,0
2022-11-05T21:36:33,0,0,0,0
2022-11-05T21:45:49,0,0,0,0
2022-11-05T21:55:05,0,0,0,0
2022-11-05T22:04:19,0,0,0,0
2022-11-05T22:13:35,0,0,0,0
2022-11-05T22:22:50,0,0,0,0
2022-11-05T22:32:06,0,0,0,0
2022-11-05T22:41:23,0,0,0,0
2022-11-05T22:50:39,0,0,0,0
2022-11-05T22:59:55,0,0,0,0
2022-11-05T23:09:12,0,0,0,0
2022-11-05T23:18:28,0,0,0,0
2022-11-05T23:27:44,0,0,0,0
2022-11-05T23:37:01,0,0,0,0
2022-11-05T23:46:18,0,0,0,0
2022-11-05T23:55:34,0,0,0,0
2022-11-06T00:04:58,0,0,0,0
2022-11-06T00:14:16,0,0,0,0
2022-11-06T00:23:31,0,0,0,0
2022-11-06T00:32:47,0,0,0,0
2022-11-06T00:42:02,0,0,0,0
2022-11-06T00:51:18,0,0,0,0
2022-11-06T01:00:33,0,0,0,0
2022-11-06T01:09:48,0,0,0,0
2022-11-06T01:19:03,0,0,0,0
2022-11-06T01:28:20,0,0,0,0
2022-11-06T01:37:36,0,0,0,0
2022-11-06T01:46:51,0,0,0,0
2022-11-06T01:56:07,0,0,0,0
2022-11-06T01:05:24,0,0,0,0
2022-11-06T01:14:40,0,0,0,0
2022-11-06T01:23:56,0,0,0,0
2022-11-06T01:33:12,0,0,0,0
2022-11-06T01:42:27,0,0,0,0
2022-11-06T01:51:45,0,0,0,0
2022-11-06T02:01:04,0,0,0,0
2022-11-06T02:10:23,0,0,0,0
2022-11-06T02:19:41,0,0,0,0
2022-11-06T02:29:02,0,0,0,0
2022-11-06T02:38:22,0,0,0,0
2022-11-06T02:47:41,0,0,0,0
2022-11-06T02:57:00,0,0,0,0
2022-11-06T03:06:18,0,0,0,0
2022-11-06T03:15:35,0,0,0,0
2022-11-06T03:24:52,0,0,0,0
2022-11-06T03:34:10,0,0,0,0
2022-11-06T03:43:30,0,0,0,0
2022-11-06T03:52:50,0,0,0,0
2022-11-06T04:02:09,0,0,0,0
2022-11-06T04:17:27,0,0,0,0
2022-11-06T04:26:47,0,0,0,0
2022-11-06T04:36:06,0,0,0,0
2022-11-06T04:46:34,0,0,0,0
2022-11-06T04:56:09,0,0,0,0
2022-11-06T05:05:27,0,0,0,0
2022-11-06T05:14:44,0,0,0,0
2022-11-06T05:24:00,0,0,0,0
2022-11-06T05:33:18,0,0,0,0
2022-11-06T05:42:32,0,0,0,0
2022-11-06T05:51:49,0,0,0,0
2022-11-06T06:01:07,0,0,0,0
2022-11-06T06:10:26,0,0,0,0
2022-11-06T06:19:45,0,0,0,0
2022-11-06T06:29:02,0,0,0,0
2022-11-06T06:38:18,0,0,0,0
2022-11-06T06:47:34,0,0,0,0
2022-11-06T06:56:49,0,0,0,0
2022-11-06T07:06:07,0,0,0,0
2022-11-06T07:15:24,0,0,0,0
2022-11-06T07:24:41,0,0,0,0
2022-11-06T07:33:59,0,0,0,0
2022-11-06T07:43:18,0,0,0,0
2022-11-06T07:52:36,0,0,0,0
2022-11-06T08:01:52,0,0,0,0
2022-11-06T08:11:09,0,0,0,0
2022-11-06T08:20:26,0,0,0,0
2022-11-06T08:29:44,0,0,0,0
2022-11-06T08:39:00,0,0,0,0
2022-11-06T08:48:16,0,0,0,0
2022-11-06T08:57:34,0,0,0,0
2022-11-06T09:06:50,0,0,0,0
2022-11-06T09:16:05,0,0,0,0
2022-11-06T09:25:19,0,0,0,0
2022-11-06T09:34:32,0,0,0,0
2022-11-06T09:43:46,0,0,0,0
2022-11-06T09:53:00,0,0,0,0
2022-11-06T10:02:14,0,0,0,0
2022-11-06T10:11:27,0,0,0,0
2022-11-06T10:20:41,0,0,0,0
2022-11-06T10:29:57,0,0,0,0
2022-11-06T10:39:11,0,0,0,0
2022-11-06T10:48:26,0,0,0,0
2022-11-06T10:57:41,0,0,0,0
2022-11-06T11:06:55,0,0,0,0
2022-11-06T11:16:11,0,0,0,0
2022-11-06T11:25:30,0,0,0,0
2022-11-06T11:34:51,0,0,0,0
2022-11-06T11:44:06,0,0,0,0
2022-11-06T11:53:20,0,0,0,0
2022-11-06T12:02:34,0,0,0,0
2022-11-06T12:11:50,0,0,0,0
2022-11-06T12:21:15,0,0,0,0
2022-11-06T12:30:30,0,0,0,0
2022-11-06T12:39:43,0,0,0,0
2022-11-06T12:48:59,0,0,0,0
2022-11-06T12:58:12,0,0,0,0
2022-11-06T13:07:27,0,0,0,0
2022-11-06T13:16:43,0,0,0,0
2022-11-06T13:25:58,0,0,0,0
2022-11-06T13:35:12,0,0,0,0
2022-11-06T13:44:26,0,0,0,0
2022-11-06T13:53:39,0,0,0,0
2022-11-06T14:02:55,0,0,0,0
2022-11-06T14:12:10,0,0,0,0
2022-11-06T14:21:33,0,0,0,0
2022-11-06T14:30:47,0,0,0,0
2022-11-06T14:40:02,0,0,0,0
2022-11-06T14:49:18,0,0,0,0
2022-11-06T14:58:32,0,0,0,0
2022-11-06T15:07:45,0,0,0,0
2022-11-06T15:16:59,0,0,0,0
2022-11-06T15:26:13,0,0,0,0
2022-11-06T15:35:26,0,0,0,0
2022-11-06T15:44:41,0,0,0,0
2022-11-06T15:53:53,0,0,0,0
2022-11-06T16:03:06,0,0,0,0
2022-11-06T16:12:29,0,0,0,0
2022-11-06T16:21:44,0,0,0,0
2022-11-06T16:31:00,0,0,0,0
2022-11-06T16:40:16,0,0,0,0
2022-11-06T16:49:31,0,0,0,0
2022-11-06T16:58:46,0,0,0,0
2022-11-06T17:08:00,0,0,0,0
2022-11-06T17:17:15,0,0,0,0
2022-11-06T17:26:30,0,0,0,0
2022-11-06T17:35:46,0,0,0,0
2022-11-06T17:45:11,0,0,0,0
2022-11-06T17:54:24,0,0,0,0
2022-11-06T18:03:40,0,0,0,0
2022-11-06T18:12:56,0,0,0,0
2022-11-06T18:22:11,0,0,0,0
2022-11-06T18:31:25,0,0,0,0
2022-11-06T18:40:38,0,0,0,0
2022-11-06T18:49:52,0,0,0,0
2022-11-06T18:59:07,0,0,0,0
2022-11-06T19:08:32,0,0,0,0
2022-11-06T19:17:46,0,0,0,0
2022-11-06T19:27:00,0,0,0,0
2022-11-06T19:36:15,0,0,0,0
2022-11-06T19:45:28,0,0,0,0
2022-11-06T19:54:42,0,0,0,0
2022-11-06T20:03:56,0,0,0,0
2022-11-06T20:13:10,0,0,0,0
2022-11-06T20:22:24,0,0,0,0
2022-11-06T20:31:39,0,0,0,0
2022-11-06T20:41:02,0,0,0,0
2022-11-06T20:50:16,0,0,0,0
2022-11-06T20:59:30,0,0,0,0
2022-11-06T21:08:45,0,0,0,0
2022-11-06T21:17:58,0,0,0,0
2022-11-06T21:27:11,0,0,0,0
2022-11-06T21:36:24,0,0,0,0
2022-11-06T21:45:39,0,0,0,0
2022-11-06T21:55:03,0,0,0,0
2022-11-06T22:04:19,0,0,0,0
2022-11-06T22:13:33,0,0,0,0
2022-11-06T22:22:49,0,0,0,0
2022-11-06T22:32:04,0,0,0,0
2022-11-06T22:41:19,0,0,0,0
2022-11-06T22:50:32,0,0,0,0
2022-11-06T22:59:48,0,0,0,0
2022-11-06T23:09:14,0,0,0,0
2022-11-06T23:18:29,0,0,0,0
2022-11-06T23:27:45,0,0,0,0
2022-11-06T23:37:01,0,0,0,0
2022-11-06T23:46:16,0,0,0,0
2022-11-06T23:55:31,0,0,0,0
2022-11-07T00:06:31,0,0,0,0
2022-11-07T00:15:54,0,0,0,0
2022-11-07T00:25:22,0,0,0,0
2022-11-07T00:34:40,0,0,0,0
2022-11-07T00:43:54,0,0,0,0
2022-11-07T00:53:09,0,0,0,0
2022-11-07T01:02:22,0,0,0,0
2022-11-07T01:11:44,0,0,0,0
2022-11-07T01:21:00,0,0,0,0
2022-11-07T01:30:15,0,0,0,0
2022-11-07T01:39:30,0,0,0,0
2022-11-07T01:48:55,0,0,0,0
2022-11-07T01:58:09,0,0,0,0
2022-11-07T02:07:23,0,0,0,0
2022-11-07T02:16:38,0,0,0,0
2022-11-07T02:25:53,0,0,0,0
2022-11-07T02:35:07,0,0,0,0
2022-11-07T02:44:22,0,0,0,0
2022-11-07T02:53:36,0,0,0,0
2022-11-07T03:02:51,0,0,0,0
2022-11-07T03:12:05,0,0,0,0
2022-11-07T03:21:21,0,0,0,0
2022-11-07T03:30:35,0,0,0,0
2022-11-07T03:39:51,0,0,0,0
2022-11-07T03:49:07,0,0,0,0
2022-11-07T03:58:24,0,0,0,0
2022-11-07T04:07:42,0,0,0,0
2022-11-07T04:24:52,0,0,0,0
2022-11-07T04:34:31,0,0,0,0
2022-11-07T04:43:49,0,0,0,0
2022-11-07T04:53:05,0,0,0,0
2022-11-07T05:02:19,0,0,0,0
2022-11-07T05:11:34,0,0,0,0
2022-11-07T05:20:49,0,0,0,0
2022-11-07T05:30:02,0,0,0,0
2022-11-07T05:39:16,0,0,0,0
2022-11-07T05:48:31,0,0,0,0
2022-11-07T05:57:47,0,0,0,0
