time,enrolled,available,waitlisted,total
2022-11-05T20:13:01,0,15,0,15
2022-11-05T20:22:18,0,15,0,15
2022-11-05T20:31:35,0,15,0,15
2022-11-05T20:41:03,0,15,0,15
2022-11-05T20:50:19,0,15,0,15
2022-11-05T20:59:34,0,15,0,15
2022-11-05T21:08:50,0,15,0,15
2022-11-05T21:18:05,0,15,0,15
2022-11-05T21:27:20,0,15,0,15
2022-11-05T21:36:36,0,15,0,15
2022-11-05T21:45:52,0,15,0,15
2022-11-05T21:55:08,0,15,0,15
2022-11-05T22:04:22,0,15,0,15
2022-11-05T22:13:38,0,15,0,15
2022-11-05T22:22:53,0,15,0,15
2022-11-05T22:32:09,0,15,0,15
2022-11-05T22:41:26,0,15,0,15
2022-11-05T22:50:42,0,15,0,15
2022-11-05T22:59:58,0,15,0,15
2022-11-05T23:09:15,0,15,0,15
2022-11-05T23:18:31,0,15,0,15
2022-11-05T23:27:47,0,15,0,15
2022-11-05T23:37:04,0,15,0,15
2022-11-05T23:46:21,0,15,0,15
2022-11-05T23:55:37,0,15,0,15
2022-11-06T00:05:02,0,15,0,15
2022-11-06T00:14:19,0,15,0,15
2022-11-06T00:23:34,0,15,0,15
2022-11-06T00:32:50,0,15,0,15
2022-11-06T00:42:06,0,15,0,15
2022-11-06T00:51:21,0,15,0,15
2022-11-06T01:00:36,0,15,0,15
2022-11-06T01:09:51,0,15,0,15
2022-11-06T01:19:06,0,15,0,15
2022-11-06T01:28:23,0,15,0,15
2022-11-06T01:37:39,0,15,0,15
2022-11-06T01:46:54,0,15,0,15
2022-11-06T01:56:10,0,15,0,15
2022-11-06T01:05:27,0,15,0,15
2022-11-06T01:14:43,0,15,0,15
2022-11-06T01:23:59,0,15,0,15
2022-11-06T01:33:15,0,15,0,15
2022-11-06T01:42:30,0,15,0,15
2022-11-06T01:51:48,0,15,0,15
2022-11-06T02:01:07,0,15,0,15
2022-11-06T02:10:26,0,15,0,15
2022-11-06T02:19:44,0,15,0,15
2022-11-06T02:29:05,0,15,0,15
2022-11-06T02:38:25,0,15,0,15
2022-11-06T02:47:44,0,15,0,15
2022-11-06T02:57:03,0,15,0,15
2022-11-06T03:06:21,0,15,0,15
2022-11-06T03:15:38,0,15,0,15
2022-11-06T03:24:55,0,15,0,15
2022-11-06T03:34:13,0,15,0,15
2022-11-06T03:43:33,0,15,0,15
2022-11-06T03:52:53,0,15,0,15
2022-11-06T04:02:12,0,15,0,15
2022-11-06T04:17:30,0,15,0,15
2022-11-06T04:26:50,0,15,0,15
2022-11-06T04:36:09,0,15,0,15
2022-11-06T04:46:37,0,15,0,15
2022-11-06T04:56:12,0,15,0,15
2022-11-06T05:05:30,0,15,0,15
2022-11-06T05:14:47,0,15,0,15
2022-11-06T05:24:03,0,15,0,15
2022-11-06T05:33:21,0,15,0,15
2022-11-06T05:42:35,0,15,0,15
2022-11-06T05:51:52,0,15,0,15
2022-11-06T06:01:10,0,15,0,15
2022-11-06T06:10:29,0,15,0,15
2022-11-06T06:19:48,0,15,0,15
2022-11-06T06:29:05,0,15,0,15
2022-11-06T06:38:21,0,15,0,15
2022-11-06T06:47:37,0,15,0,15
2022-11-06T06:56:53,0,15,0,15
2022-11-06T07:06:10,0,15,0,15
2022-11-06T07:15:27,0,15,0,15
2022-11-06T07:24:44,0,15,0,15
2022-11-06T07:34:02,0,15,0,15
2022-11-06T07:43:21,0,15,0,15
2022-11-06T07:52:39,0,15,0,15
2022-11-06T08:01:55,0,15,0,15
2022-11-06T08:11:12,0,15,0,15
2022-11-06T08:20:29,0,15,0,15
2022-11-06T08:29:47,0,15,0,15
2022-11-06T08:39:03,0,15,0,15
2022-11-06T08:48:19,0,15,0,15
2022-11-06T08:57:37,0,15,0,15
2022-11-06T09:06:53,0,15,0,15
2022-11-06T09:16:08,0,15,0,15
2022-11-06T09:25:22,0,15,0,15
2022-11-06T09:34:35,0,15,0,15
2022-11-06T09:43:49,0,15,0,15
2022-11-06T09:53:03,0,15,0,15
2022-11-06T10:02:17,0,15,0,15
2022-11-06T10:11:30,0,15,0,15
2022-11-06T10:20:44,0,15,0,15
2022-11-06T10:30:00,0,15,0,15
2022-11-06T10:39:14,0,15,0,15
2022-11-06T10:48:29,0,15,0,15
2022-11-06T10:57:44,0,15,0,15
2022-11-06T11:06:59,0,15,0,15
2022-11-06T11:16:14,0,15,0,15
2022-11-06T11:25:33,0,15,0,15
2022-11-06T11:34:54,0,15,0,15
2022-11-06T11:44:09,0,15,0,15
2022-11-06T11:53:23,0,15,0,15
2022-11-06T12:02:37,0,15,0,15
2022-11-06T12:11:53,0,15,0,15
2022-11-06T12:21:18,0,15,0,15
2022-11-06T12:30:33,0,15,0,15
2022-11-06T12:39:46,0,15,0,15
2022-11-06T12:49:02,0,15,0,15
2022-11-06T12:58:15,0,15,0,15
2022-11-06T13:07:30,0,15,0,15
2022-11-06T13:16:46,0,15,0,15
2022-11-06T13:26:01,0,15,0,15
2022-11-06T13:35:15,0,15,0,15
2022-11-06T13:44:29,0,15,0,15
2022-11-06T13:53:42,0,15,0,15
2022-11-06T14:02:58,0,15,0,15
2022-11-06T14:12:13,0,15,0,15
2022-11-06T14:21:36,0,15,0,15
2022-11-06T14:30:50,0,15,0,15
2022-11-06T14:40:05,0,15,0,15
2022-11-06T14:49:21,0,15,0,15
2022-11-06T14:58:35,0,15,0,15
2022-11-06T15:07:48,0,15,0,15
2022-11-06T15:17:02,0,15,0,15
2022-11-06T15:26:16,0,15,0,15
2022-11-06T15:35:29,0,15,0,15
2022-11-06T15:44:44,0,15,0,15
2022-11-06T15:53:56,0,15,0,15
2022-11-06T16:03:09,0,15,0,15
2022-11-06T16:12:32,0,15,0,15
2022-11-06T16:21:47,0,15,0,15
2022-11-06T16:31:03,0,15,0,15
2022-11-06T16:40:19,0,15,0,15
2022-11-06T16:49:34,0,15,0,15
2022-11-06T16:58:49,0,15,0,15
2022-11-06T17:08:04,0,15,0,15
2022-11-06T17:17:18,0,15,0,15
2022-11-06T17:26:33,0,15,0,15
2022-11-06T17:35:49,0,15,0,15
2022-11-06T17:45:14,0,15,0,15
2022-11-06T17:54:27,0,15,0,15
2022-11-06T18:03:44,0,15,0,15
2022-11-06T18:12:59,0,15,0,15
2022-11-06T18:22:14,0,15,0,15
2022-11-06T18:31:28,0,15,0,15
2022-11-06T18:40:41,0,15,0,15
2022-11-06T18:49:55,0,15,0,15
2022-11-06T18:59:10,0,15,0,15
2022-11-06T19:08:35,0,15,0,15
2022-11-06T19:17:49,0,15,0,15
2022-11-06T19:27:04,0,15,0,15
2022-11-06T19:36:18,0,15,0,15
2022-11-06T19:45:31,0,15,0,15
2022-11-06T19:54:45,0,15,0,15
2022-11-06T20:03:59,0,15,0,15
2022-11-06T20:13:13,0,15,0,15
2022-11-06T20:22:27,0,15,0,15
2022-11-06T20:31:42,0,15,0,15
2022-11-06T20:41:05,0,15,0,15
2022-11-06T20:50:20,0,15,0,15
2022-11-06T20:59:33,0,15,0,15
2022-11-06T21:08:48,0,15,0,15
2022-11-06T21:18:01,0,15,0,15
2022-11-06T21:27:14,0,15,0,15
2022-11-06T21:36:27,0,15,0,15
2022-11-06T21:45:42,0,15,0,15
2022-11-06T21:55:06,0,15,0,15
2022-11-06T22:04:22,0,15,0,15
2022-11-06T22:13:36,0,15,0,15
2022-11-06T22:22:52,0,15,0,15
2022-11-06T22:32:07,0,15,0,15
2022-11-06T22:41:22,0,15,0,15
2022-11-06T22:50:35,0,15,0,15
2022-11-06T22:59:51,0,15,0,15
2022-11-06T23:09:17,0,15,0,15
2022-11-06T23:18:32,0,15,0,15
2022-11-06T23:27:48,0,15,0,15
2022-11-06T23:37:04,0,15,0,15
2022-11-06T23:46:19,0,15,0,15
2022-11-06T23:55:34,0,15,0,15
2022-11-07T00:06:34,0,15,0,15
2022-11-07T00:15:57,0,15,0,15
2022-11-07T00:25:25,0,15,0,15
2022-11-07T00:34:43,0,15,0,15
2022-11-07T00:43:57,0,15,0,15
2022-11-07T00:53:12,0,15,0,15
2022-11-07T01:02:25,0,15,0,15
2022-11-07T01:11:47,0,15,0,15
2022-11-07T01:21:03,0,15,0,15
2022-11-07T01:30:18,0,15,0,15
2022-11-07T01:39:33,0,15,0,15
2022-11-07T01:48:58,0,15,0,15
2022-11-07T01:58:12,0,15,0,15
2022-11-07T02:07:26,0,15,0,15
