time,enrolled,available,waitlisted,total
2022-11-05T20:13:03,0,90,0,90
2022-11-05T20:22:21,0,90,0,90
2022-11-05T20:31:37,0,90,0,90
2022-11-05T20:41:05,0,90,0,90
2022-11-05T20:50:21,0,90,0,90
2022-11-05T20:59:37,0,90,0,90
2022-11-05T21:08:52,0,90,0,90
2022-11-05T21:18:07,0,90,0,90
2022-11-05T21:27:23,0,90,0,90
2022-11-05T21:36:39,0,90,0,90
2022-11-05T21:45:55,0,90,0,90
2022-11-05T21:55:10,0,90,0,90
2022-11-05T22:04:25,0,90,0,90
2022-11-05T22:13:41,0,90,0,90
2022-11-05T22:22:56,0,90,0,90
2022-11-05T22:32:12,0,90,0,90
2022-11-05T22:41:29,0,90,0,90
2022-11-05T22:50:45,0,90,0,90
2022-11-05T23:00:00,0,90,0,90
2022-11-05T23:09:17,0,90,0,90
2022-11-05T23:18:33,0,90,0,90
2022-11-05T23:27:50,0,90,0,90
2022-11-05T23:37:07,0,90,0,90
2022-11-05T23:46:23,0,90,0,90
2022-11-05T23:55:40,0,90,0,90
2022-11-06T00:05:04,0,90,0,90
2022-11-06T00:14:21,0,90,0,90
2022-11-06T00:23:37,0,90,0,90
2022-11-06T00:32:52,0,90,0,90
2022-11-06T00:42:08,0,90,0,90
2022-11-06T00:51:23,0,90,0,90
2022-11-06T01:00:39,0,90,0,90
2022-11-06T01:09:54,0,90,0,90
2022-11-06T01:19:09,0,90,0,90
2022-11-06T01:28:26,0,90,0,90
2022-11-06T01:37:42,0,90,0,90
2022-11-06T01:46:57,0,90,0,90
2022-11-06T01:56:13,0,90,0,90
2022-11-06T01:05:30,0,90,0,90
2022-11-06T01:14:46,0,90,0,90
2022-11-06T01:24:02,0,90,0,90
2022-11-06T01:33:18,0,90,0,90
2022-11-06T01:42:33,0,90,0,90
2022-11-06T01:51:51,0,90,0,90
2022-11-06T02:01:10,0,90,0,90
2022-11-06T02:10:29,0,90,0,90
2022-11-06T02:19:47,0,90,0,90
2022-11-06T02:29:08,0,90,0,90
2022-11-06T02:38:28,0,90,0,90
2022-11-06T02:47:47,0,90,0,90
2022-11-06T02:57:05,0,90,0,90
2022-11-06T03:06:24,0,90,0,90
2022-11-06T03:15:41,0,90,0,90
2022-11-06T03:24:57,0,90,0,90
2022-11-06T03:34:15,0,90,0,90
2022-11-06T03:43:35,0,90,0,90
2022-11-06T03:52:55,0,90,0,90
2022-11-06T04:02:14,0,90,0,90
2022-11-06T04:17:33,0,90,0,90
2022-11-06T04:26:53,0,90,0,90
2022-11-06T04:36:12,0,90,0,90
2022-11-06T04:46:40,0,90,0,90
2022-11-06T04:56:15,0,90,0,90
2022-11-06T05:05:32,0,90,0,90
2022-11-06T05:14:49,0,90,0,90
2022-11-06T05:24:06,0,90,0,90
2022-11-06T05:33:23,0,90,0,90
2022-11-06T05:42:38,0,90,0,90
2022-11-06T05:51:55,0,90,0,90
2022-11-06T06:01:13,0,90,0,90
2022-11-06T06:10:32,0,90,0,90
2022-11-06T06:19:50,0,90,0,90
2022-11-06T06:29:08,0,90,0,90
2022-11-06T06:38:24,0,90,0,90
2022-11-06T06:47:40,0,90,0,90
2022-11-06T06:56:55,0,90,0,90
2022-11-06T07:06:12,0,90,0,90
2022-11-06T07:15:30,0,90,0,90
2022-11-06T07:24:47,0,90,0,90
2022-11-06T07:34:05,0,90,0,90
2022-11-06T07:43:24,0,90,0,90
2022-11-06T07:52:42,0,90,0,90
2022-11-06T08:01:58,0,90,0,90
2022-11-06T08:11:15,0,90,0,90
2022-11-06T08:20:32,0,90,0,90
2022-11-06T08:29:49,0,90,0,90
2022-11-06T08:39:06,0,90,0,90
2022-11-06T08:48:22,0,90,0,90
2022-11-06T08:57:40,0,90,0,90
2022-11-06T09:06:55,0,90,0,90
2022-11-06T09:16:10,0,90,0,90
2022-11-06T09:25:24,0,90,0,90
2022-11-06T09:34:37,0,90,0,90
2022-11-06T09:43:52,0,90,0,90
2022-11-06T09:53:06,0,90,0,90
2022-11-06T10:02:19,0,90,0,90
2022-11-06T10:11:32,0,90,0,90
2022-11-06T10:20:46,0,90,0,90
2022-11-06T10:30:03,0,90,0,90
2022-11-06T10:39:17,0,90,0,90
2022-11-06T10:48:32,0,90,0,90
