time,enrolled,available,waitlisted,total
2022-11-05T20:13:14,0,56,0,56
2022-11-05T20:22:31,0,56,0,56
2022-11-05T20:31:48,0,56,0,56
2022-11-05T20:41:16,0,56,0,56
2022-11-05T20:50:32,0,56,0,56
2022-11-05T20:59:47,0,56,0,56
2022-11-05T21:09:03,0,56,0,56
2022-11-05T21:18:18,0,56,0,56
2022-11-05T21:27:33,0,56,0,56
2022-11-05T21:36:49,0,56,0,56
2022-11-05T21:46:06,0,56,0,56
2022-11-05T21:55:21,0,56,0,56
2022-11-05T22:04:35,0,56,0,56
2022-11-05T22:13:51,0,56,0,56
2022-11-05T22:23:06,0,56,0,56
2022-11-05T22:32:22,0,56,0,56
2022-11-05T22:41:40,0,56,0,56
2022-11-05T22:50:55,0,56,0,56
2022-11-05T23:00:11,0,56,0,56
2022-11-05T23:09:28,0,56,0,56
2022-11-05T23:18:44,0,56,0,56
2022-11-05T23:28:00,0,56,0,56
2022-11-05T23:37:17,0,56,0,56
2022-11-05T23:46:34,0,56,0,56
2022-11-05T23:55:50,0,56,0,56
2022-11-06T00:05:15,0,56,0,56
2022-11-06T00:14:32,0,56,0,56
2022-11-06T00:23:47,0,56,0,56
2022-11-06T00:33:03,0,56,0,56
2022-11-06T00:42:18,0,56,0,56
2022-11-06T00:51:34,0,56,0,56
2022-11-06T01:00:49,0,56,0,56
2022-11-06T01:10:04,0,56,0,56
2022-11-06T01:19:20,0,56,0,56
2022-11-06T01:28:36,0,56,0,56
2022-11-06T01:37:52,0,56,0,56
2022-11-06T01:47:08,0,56,0,56
2022-11-06T01:56:24,0,56,0,56
2022-11-06T01:05:40,0,56,0,56
2022-11-06T01:14:57,0,56,0,56
2022-11-06T01:24:12,0,56,0,56
2022-11-06T01:33:28,0,56,0,56
2022-11-06T01:42:43,0,56,0,56
2022-11-06T01:52:01,0,56,0,56
2022-11-06T02:01:20,0,56,0,56
2022-11-06T02:10:39,0,56,0,56
2022-11-06T02:19:58,0,56,0,56
2022-11-06T02:29:18,0,56,0,56
2022-11-06T02:38:38,0,56,0,56
2022-11-06T02:47:57,0,56,0,56
2022-11-06T02:57:16,0,56,0,56
2022-11-06T03:06:34,0,56,0,56
2022-11-06T03:15:51,0,56,0,56
2022-11-06T03:25:08,0,56,0,56
2022-11-06T03:34:26,0,56,0,56
2022-11-06T03:43:46,0,56,0,56
2022-11-06T03:53:06,0,56,0,56
2022-11-06T04:02:25,0,56,0,56
2022-11-06T04:17:43,0,56,0,56
2022-11-06T04:27:03,0,56,0,56
2022-11-06T04:36:23,0,56,0,56
2022-11-06T04:46:50,0,56,0,56
2022-11-06T04:56:25,0,56,0,56
2022-11-06T05:05:43,0,56,0,56
2022-11-06T05:15:00,0,56,0,56
2022-11-06T05:24:16,0,56,0,56
2022-11-06T05:33:34,0,56,0,56
2022-11-06T05:42:48,0,56,0,56
2022-11-06T05:52:05,0,56,0,56
2022-11-06T06:01:23,0,56,0,56
2022-11-06T06:10:42,0,56,0,56
2022-11-06T06:20:01,0,56,0,56
2022-11-06T06:29:18,0,56,0,56
2022-11-06T06:38:34,0,56,0,56
2022-11-06T06:47:50,0,56,0,56
2022-11-06T06:57:06,0,56,0,56
2022-11-06T07:06:23,0,56,0,56
2022-11-06T07:15:40,0,56,0,56
2022-11-06T07:24:58,0,56,0,56
2022-11-06T07:34:15,0,56,0,56
2022-11-06T07:43:34,0,56,0,56
2022-11-06T07:52:52,0,56,0,56
2022-11-06T08:02:08,0,56,0,56
2022-11-06T08:11:25,0,56,0,56
2022-11-06T08:20:42,0,56,0,56
2022-11-06T08:30:00,0,56,0,56
2022-11-06T08:39:16,0,56,0,56
2022-11-06T08:48:32,0,56,0,56
2022-11-06T08:57:50,0,56,0,56
2022-11-06T09:07:06,0,56,0,56
2022-11-06T09:16:21,0,56,0,56
2022-11-06T09:25:35,0,56,0,56
2022-11-06T09:34:48,0,56,0,56
2022-11-06T09:44:02,0,56,0,56
2022-11-06T09:53:16,0,56,0,56
2022-11-06T10:02:30,0,56,0,56
2022-11-06T10:11:43,0,56,0,56
2022-11-06T10:20:57,0,56,0,56
2022-11-06T10:30:13,0,56,0,56
2022-11-06T10:39:27,0,56,0,56
2022-11-06T10:48:42,0,56,0,56
2022-11-06T10:57:57,0,56,0,56
2022-11-06T11:07:11,0,56,0,56
2022-11-06T11:16:27,0,56,0,56
2022-11-06T11:25:46,0,56,0,56
2022-11-06T11:35:07,0,56,0,56
2022-11-06T11:44:22,0,56,0,56
2022-11-06T11:53:36,0,56,0,56
2022-11-06T12:02:50,0,56,0,56
2022-11-06T12:12:06,0,56,0,56
2022-11-06T12:21:31,0,56,0,56
2022-11-06T12:30:46,0,56,0,56
2022-11-06T12:39:59,0,56,0,56
2022-11-06T12:49:15,0,56,0,56
2022-11-06T12:58:29,0,56,0,56
2022-11-06T13:07:43,0,56,0,56
2022-11-06T13:16:59,0,56,0,56
2022-11-06T13:26:14,0,56,0,56
2022-11-06T13:35:28,0,56,0,56
2022-11-06T13:44:42,0,56,0,56
2022-11-06T13:53:55,0,56,0,56
2022-11-06T14:03:11,0,56,0,56
2022-11-06T14:12:26,0,56,0,56
2022-11-06T14:21:49,0,56,0,56
2022-11-06T14:31:03,0,56,0,56
2022-11-06T14:40:18,0,56,0,56
2022-11-06T14:49:34,0,56,0,56
2022-11-06T14:58:48,0,56,0,56
2022-11-06T15:08:01,0,56,0,56
2022-11-06T15:17:15,0,56,0,56
2022-11-06T15:26:29,0,56,0,56
2022-11-06T15:35:42,0,56,0,56
2022-11-06T15:44:57,0,56,0,56
2022-11-06T15:54:09,0,56,0,56
2022-11-06T16:03:21,0,56,0,56
2022-11-06T16:12:45,0,56,0,56
2022-11-06T16:22:00,0,56,0,56
2022-11-06T16:31:16,0,56,0,56
2022-11-06T16:40:32,0,56,0,56
2022-11-06T16:49:48,0,56,0,56
2022-11-06T16:59:02,0,56,0,56
2022-11-06T17:08:16,0,56,0,56
2022-11-06T17:17:31,0,56,0,56
2022-11-06T17:26:47,0,56,0,56
2022-11-06T17:36:02,0,56,0,56
2022-11-06T17:45:27,0,56,0,56
2022-11-06T17:54:40,0,56,0,56
2022-11-06T18:03:56,0,56,0,56
2022-11-06T18:13:12,0,56,0,56
2022-11-06T18:22:27,0,56,0,56
2022-11-06T18:31:41,0,56,0,56
2022-11-06T18:40:54,0,56,0,56
2022-11-06T18:50:08,0,56,0,56
2022-11-06T18:59:23,0,56,0,56
2022-11-06T19:08:48,0,56,0,56
