time,enrolled,available,waitlisted,total
2022-11-05T20:13:17,0,56,0,56
2022-11-05T20:22:34,0,56,0,56
2022-11-05T20:31:51,0,56,0,56
2022-11-05T20:41:19,0,56,0,56
2022-11-05T20:50:35,0,56,0,56
2022-11-05T20:59:51,0,56,0,56
2022-11-05T21:09:06,0,56,0,56
2022-11-05T21:18:21,0,56,0,56
2022-11-05T21:27:36,0,56,0,56
2022-11-05T21:36:52,0,56,0,56
2022-11-05T21:46:09,0,56,0,56
2022-11-05T21:55:24,0,56,0,56
2022-11-05T22:04:38,0,56,0,56
2022-11-05T22:13:54,0,56,0,56
2022-11-05T22:23:09,0,56,0,56
2022-11-05T22:32:25,0,56,0,56
2022-11-05T22:41:43,0,56,0,56
2022-11-05T22:50:58,0,56,0,56
2022-11-05T23:00:14,0,56,0,56
2022-11-05T23:09:31,0,56,0,56
2022-11-05T23:18:47,0,56,0,56
2022-11-05T23:28:03,0,56,0,56
2022-11-05T23:37:20,0,56,0,56
2022-11-05T23:46:37,0,56,0,56
2022-11-05T23:55:53,0,56,0,56
2022-11-06T00:05:18,0,56,0,56
2022-11-06T00:14:35,0,56,0,56
2022-11-06T00:23:50,0,56,0,56
2022-11-06T00:33:06,0,56,0,56
2022-11-06T00:42:22,0,56,0,56
2022-11-06T00:51:37,0,56,0,56
2022-11-06T01:00:52,0,56,0,56
2022-11-06T01:10:07,0,56,0,56
2022-11-06T01:19:23,0,56,0,56
2022-11-06T01:28:39,0,56,0,56
2022-11-06T01:37:55,0,56,0,56
2022-11-06T01:47:11,0,56,0,56
2022-11-06T01:56:27,0,56,0,56
2022-11-06T01:05:43,0,56,0,56
2022-11-06T01:15:00,0,56,0,56
2022-11-06T01:24:15,0,56,0,56
2022-11-06T01:33:31,0,56,0,56
2022-11-06T01:42:46,0,56,0,56
2022-11-06T01:52:04,0,56,0,56
2022-11-06T02:01:24,0,56,0,56
2022-11-06T02:10:42,0,56,0,56
2022-11-06T02:20:01,0,56,0,56
2022-11-06T02:29:21,0,56,0,56
2022-11-06T02:38:41,0,56,0,56
2022-11-06T02:48:00,0,56,0,56
2022-11-06T02:57:19,0,56,0,56
2022-11-06T03:06:37,0,56,0,56
2022-11-06T03:15:54,0,56,0,56
2022-11-06T03:25:11,0,56,0,56
2022-11-06T03:34:29,0,56,0,56
2022-11-06T03:43:49,0,56,0,56
2022-11-06T03:53:09,0,56,0,56
2022-11-06T04:02:28,0,56,0,56
2022-11-06T04:17:47,0,56,0,56
2022-11-06T04:27:07,0,56,0,56
2022-11-06T04:36:26,0,56,0,56
2022-11-06T04:46:53,0,56,0,56
2022-11-06T04:56:28,0,56,0,56
2022-11-06T05:05:46,0,56,0,56
