time,enrolled,available,waitlisted,total
2022-11-05T20:13:19,0,70,0,70
2022-11-05T20:22:37,0,70,0,70
2022-11-05T20:31:54,0,70,0,70
2022-11-05T20:41:21,0,70,0,70
2022-11-05T20:50:37,0,70,0,70
2022-11-05T20:59:53,0,70,0,70
2022-11-05T21:09:08,0,70,0,70
2022-11-05T21:18:23,0,70,0,70
2022-11-05T21:27:39,0,70,0,70
2022-11-05T21:36:55,0,70,0,70
2022-11-05T21:46:11,0,70,0,70
2022-11-05T21:55:26,0,70,0,70
2022-11-05T22:04:41,0,70,0,70
2022-11-05T22:13:57,0,70,0,70
2022-11-05T22:23:12,0,70,0,70
2022-11-05T22:32:28,0,70,0,70
2022-11-05T22:41:45,0,70,0,70
2022-11-05T22:51:01,0,70,0,70
2022-11-05T23:00:17,0,70,0,70
2022-11-05T23:09:33,0,70,0,70
2022-11-05T23:18:49,0,70,0,70
2022-11-05T23:28:06,0,70,0,70
2022-11-05T23:37:23,0,70,0,70
2022-11-05T23:46:39,0,70,0,70
2022-11-05T23:55:56,0,70,0,70
2022-11-06T00:05:20,0,70,0,70
2022-11-06T00:14:37,0,70,0,70
2022-11-06T00:23:53,0,70,0,70
2022-11-06T00:33:09,0,70,0,70
2022-11-06T00:42:24,0,70,0,70
2022-11-06T00:51:39,0,70,0,70
2022-11-06T01:00:55,0,70,0,70
2022-11-06T01:10:10,0,70,0,70
2022-11-06T01:19:26,0,70,0,70
2022-11-06T01:28:42,0,70,0,70
2022-11-06T01:37:58,0,70,0,70
2022-11-06T01:47:13,0,70,0,70
2022-11-06T01:56:29,0,70,0,70
2022-11-06T01:05:46,0,70,0,70
2022-11-06T01:15:02,0,70,0,70
2022-11-06T01:24:18,0,70,0,70
2022-11-06T01:33:34,0,70,0,70
2022-11-06T01:42:49,0,70,0,70
2022-11-06T01:52:07,0,70,0,70
2022-11-06T02:01:26,0,70,0,70
2022-11-06T02:10:45,0,70,0,70
2022-11-06T02:20:03,0,70,0,70
2022-11-06T02:29:24,0,70,0,70
2022-11-06T02:38:44,0,70,0,70
2022-11-06T02:48:03,0,70,0,70
2022-11-06T02:57:21,0,70,0,70
2022-11-06T03:06:40,0,70,0,70
2022-11-06T03:15:57,0,70,0,70
2022-11-06T03:25:13,0,70,0,70
2022-11-06T03:34:32,0,70,0,70
2022-11-06T03:43:51,0,70,0,70
2022-11-06T03:53:11,0,70,0,70
2022-11-06T04:02:31,0,70,0,70
2022-11-06T04:17:49,0,70,0,70
2022-11-06T04:27:09,0,70,0,70
2022-11-06T04:36:28,0,70,0,70
2022-11-06T04:46:56,0,70,0,70
2022-11-06T04:56:31,0,70,0,70
2022-11-06T05:05:48,0,70,0,70
2022-11-06T05:15:06,0,70,0,70
2022-11-06T05:24:22,0,70,0,70
2022-11-06T05:33:39,0,70,0,70
2022-11-06T05:42:54,0,70,0,70
2022-11-06T05:52:11,0,70,0,70
2022-11-06T06:01:29,0,70,0,70
2022-11-06T06:10:48,0,70,0,70
2022-11-06T06:20:07,0,70,0,70
2022-11-06T06:29:24,0,70,0,70
2022-11-06T06:38:40,0,70,0,70
2022-11-06T06:47:56,0,70,0,70
2022-11-06T06:57:11,0,70,0,70
2022-11-06T07:06:29,0,70,0,70
2022-11-06T07:15:46,0,70,0,70
2022-11-06T07:25:03,0,70,0,70
2022-11-06T07:34:21,0,70,0,70
2022-11-06T07:43:40,0,70,0,70
2022-11-06T07:52:58,0,70,0,70
2022-11-06T08:02:14,0,70,0,70
2022-11-06T08:11:31,0,70,0,70
2022-11-06T08:20:48,0,70,0,70
2022-11-06T08:30:06,0,70,0,70
2022-11-06T08:39:22,0,70,0,70
2022-11-06T08:48:38,0,70,0,70
2022-11-06T08:57:56,0,70,0,70
2022-11-06T09:07:12,0,70,0,70
2022-11-06T09:16:26,0,70,0,70
2022-11-06T09:25:40,0,70,0,70
2022-11-06T09:34:53,0,70,0,70
2022-11-06T09:44:08,0,70,0,70
2022-11-06T09:53:22,0,70,0,70
2022-11-06T10:02:35,0,70,0,70
2022-11-06T10:11:48,0,70,0,70
2022-11-06T10:21:02,0,70,0,70
2022-11-06T10:30:19,0,70,0,70
2022-11-06T10:39:33,0,70,0,70
2022-11-06T10:48:48,0,70,0,70
2022-11-06T10:58:03,0,70,0,70
2022-11-06T11:07:17,0,70,0,70
2022-11-06T11:16:32,0,70,0,70
2022-11-06T11:25:51,0,70,0,70
2022-11-06T11:35:13,0,70,0,70
2022-11-06T11:44:28,0,70,0,70
2022-11-06T11:53:42,0,70,0,70
2022-11-06T12:02:56,0,70,0,70
2022-11-06T12:12:12,0,70,0,70
2022-11-06T12:21:37,0,70,0,70
2022-11-06T12:30:51,0,70,0,70
2022-11-06T12:40:05,0,70,0,70
2022-11-06T12:49:20,0,70,0,70
2022-11-06T12:58:34,0,70,0,70
2022-11-06T13:07:49,0,70,0,70
2022-11-06T13:17:05,0,70,0,70
2022-11-06T13:26:20,0,70,0,70
2022-11-06T13:35:34,0,70,0,70
2022-11-06T13:44:48,0,70,0,70
2022-11-06T13:54:01,0,70,0,70
2022-11-06T14:03:17,0,70,0,70
2022-11-06T14:12:32,0,70,0,70
2022-11-06T14:21:54,0,70,0,70
2022-11-06T14:31:08,0,70,0,70
2022-11-06T14:40:24,0,70,0,70
2022-11-06T14:49:40,0,70,0,70
2022-11-06T14:58:54,0,70,0,70
2022-11-06T15:08:07,0,70,0,70
2022-11-06T15:17:20,0,70,0,70
2022-11-06T15:26:34,0,70,0,70
2022-11-06T15:35:48,0,70,0,70
2022-11-06T15:45:03,0,70,0,70
2022-11-06T15:54:15,0,70,0,70
2022-11-06T16:03:27,0,70,0,70
2022-11-06T16:12:51,0,70,0,70
2022-11-06T16:22:05,0,70,0,70
2022-11-06T16:31:22,0,70,0,70
2022-11-06T16:40:37,0,70,0,70
2022-11-06T16:49:53,0,70,0,70
2022-11-06T16:59:08,0,70,0,70
2022-11-06T17:08:22,0,70,0,70
2022-11-06T17:17:37,0,70,0,70
2022-11-06T17:26:52,0,70,0,70
2022-11-06T17:36:08,0,70,0,70
2022-11-06T17:45:32,0,70,0,70
2022-11-06T17:54:46,0,70,0,70
2022-11-06T18:04:02,0,70,0,70
2022-11-06T18:13:17,0,70,0,70
2022-11-06T18:22:33,0,70,0,70
2022-11-06T18:31:46,0,70,0,70
2022-11-06T18:41:00,0,70,0,70
2022-11-06T18:50:14,0,70,0,70
2022-11-06T18:59:29,0,70,0,70
2022-11-06T19:08:53,0,70,0,70
2022-11-06T19:18:07,0,70,0,70
2022-11-06T19:27:23,0,70,0,70
2022-11-06T19:36:37,0,70,0,70
2022-11-06T19:45:50,0,70,0,70
2022-11-06T19:55:04,0,70,0,70
2022-11-06T20:04:17,0,70,0,70
2022-11-06T20:13:32,0,70,0,70
2022-11-06T20:22:46,0,70,0,70
2022-11-06T20:32:01,0,70,0,70
2022-11-06T20:41:23,0,70,0,70
2022-11-06T20:50:38,0,70,0,70
2022-11-06T20:59:52,0,70,0,70
2022-11-06T21:09:07,0,70,0,70
2022-11-06T21:18:19,0,70,0,70
2022-11-06T21:27:32,0,70,0,70
2022-11-06T21:36:45,0,70,0,70
2022-11-06T21:46:01,0,70,0,70
2022-11-06T21:55:25,0,70,0,70
2022-11-06T22:04:41,0,70,0,70
2022-11-06T22:13:55,0,70,0,70
2022-11-06T22:23:11,0,70,0,70
2022-11-06T22:32:26,0,70,0,70
2022-11-06T22:41:40,0,70,0,70
2022-11-06T22:50:54,0,70,0,70
2022-11-06T23:00:10,0,70,0,70
2022-11-06T23:09:35,0,70,0,70
2022-11-06T23:18:51,0,70,0,70
2022-11-06T23:28:07,0,70,0,70
2022-11-06T23:37:22,0,70,0,70
2022-11-06T23:46:38,0,70,0,70
2022-11-06T23:55:53,0,70,0,70
2022-11-07T00:06:53,0,70,0,70
2022-11-07T00:16:16,0,70,0,70
2022-11-07T00:25:44,0,70,0,70
2022-11-07T00:35:02,0,70,0,70
2022-11-07T00:44:16,0,70,0,70
2022-11-07T00:53:30,0,70,0,70
2022-11-07T01:02:45,0,70,0,70
2022-11-07T01:12:05,0,70,0,70
2022-11-07T01:21:22,0,70,0,70
2022-11-07T01:30:37,0,70,0,70
2022-11-07T01:40:02,0,70,0,70
2022-11-07T01:49:17,0,70,0,70
2022-11-07T01:58:31,0,70,0,70
2022-11-07T02:07:45,0,70,0,70
2022-11-07T02:17:00,0,70,0,70
2022-11-07T02:26:15,0,70,0,70
2022-11-07T02:35:29,0,70,0,70
2022-11-07T02:44:43,0,70,0,70
2022-11-07T02:53:58,0,70,0,70
2022-11-07T03:03:12,0,70,0,70
2022-11-07T03:12:27,0,70,0,70
2022-11-07T03:21:42,0,70,0,70
2022-11-07T03:30:57,0,70,0,70
2022-11-07T03:40:13,0,70,0,70
2022-11-07T03:49:29,0,70,0,70
2022-11-07T03:58:46,0,70,0,70
2022-11-07T04:08:04,0,70,0,70
2022-11-07T04:25:14,0,70,0,70
2022-11-07T04:34:52,0,70,0,70
2022-11-07T04:44:11,0,70,0,70
2022-11-07T04:53:27,0,70,0,70
2022-11-07T05:02:41,0,70,0,70
2022-11-07T05:11:56,0,70,0,70
2022-11-07T05:21:10,0,70,0,70
2022-11-07T05:30:24,0,70,0,70
2022-11-07T05:39:38,0,70,0,70
2022-11-07T05:48:53,0,70,0,70
2022-11-07T05:58:09,0,70,0,70
2022-11-07T06:07:26,0,70,0,70
2022-11-07T06:16:43,0,70,0,70
2022-11-07T06:26:01,0,70,0,70
2022-11-07T06:35:18,0,70,0,70
2022-11-07T06:44:35,0,70,0,70
2022-11-07T06:53:51,0,70,0,70
2022-11-07T07:03:07,0,70,0,70
2022-11-07T07:12:24,0,70,0,70
2022-11-07T07:21:42,0,70,0,70
2022-11-07T07:30:59,0,70,0,70
2022-11-07T07:40:16,0,70,0,70
2022-11-07T07:49:34,0,70,0,70
2022-11-07T07:58:55,0,70,0,70
2022-11-07T08:08:13,0,70,0,70
2022-11-07T08:17:32,0,70,0,70
2022-11-07T08:26:51,0,70,0,70
2022-11-07T08:36:19,0,70,0,70
2022-11-07T08:45:37,0,70,0,70
2022-11-07T08:54:54,0,70,0,70
2022-11-07T09:04:12,0,70,0,70
2022-11-07T09:13:34,0,70,0,70
2022-11-07T09:22:53,0,70,0,70
2022-11-07T09:32:14,0,70,0,70
2022-11-07T09:41:39,0,70,0,70
2022-11-07T09:51:09,0,70,0,70
2022-11-07T10:00:27,0,70,0,70
2022-11-07T10:09:47,0,70,0,70
2022-11-07T10:19:05,0,70,0,70
2022-11-07T10:28:25,0,70,0,70
2022-11-07T10:37:58,0,70,0,70
2022-11-07T10:47:16,0,70,0,70
2022-11-07T10:56:35,0,70,0,70
2022-11-07T11:05:56,0,70,0,70
2022-11-07T11:15:17,0,70,0,70
2022-11-07T11:24:48,0,70,0,70
2022-11-07T11:34:09,0,70,0,70
2022-11-07T11:43:28,0,70,0,70
2022-11-07T11:52:47,0,70,0,70
2022-11-07T12:02:05,0,70,0,70
2022-11-07T12:11:33,0,70,0,70
2022-11-07T12:20:54,0,70,0,70
2022-11-07T12:30:13,0,70,0,70
2022-11-07T12:39:33,0,70,0,70
2022-11-07T12:49:02,0,70,0,70
2022-11-07T12:58:22,0,70,0,70
2022-11-07T13:07:43,0,70,0,70
2022-11-07T13:17:05,0,70,0,70
2022-11-07T13:26:36,0,70,0,70
2022-11-07T13:35:57,0,70,0,70
2022-11-07T13:45:19,0,70,0,70
2022-11-07T13:54:49,0,70,0,70
2022-11-07T14:04:10,0,70,0,70
2022-11-07T14:13:29,0,70,0,70
2022-11-07T14:22:49,0,70,0,70
2022-11-07T14:32:19,0,70,0,70
2022-11-07T14:41:39,0,70,0,70
2022-11-07T14:50:58,0,70,0,70
2022-11-07T15:00:16,0,70,0,70
2022-11-07T15:09:35,0,70,0,70
2022-11-07T15:19:06,1,69,0,70
2022-11-07T15:28:25,1,69,0,70
2022-11-07T15:37:44,1,69,0,70
2022-11-07T15:47:01,1,69,0,70
2022-11-07T15:56:30,1,69,0,70
2022-11-07T16:05:49,1,69,0,70
2022-11-07T16:15:07,1,69,0,70
2022-11-07T16:24:25,1,69,0,70
2022-11-07T16:33:53,1,69,0,70
2022-11-07T16:43:11,1,69,0,70
2022-11-07T16:52:30,1,69,0,70
2022-11-07T17:01:48,1,69,0,70
2022-11-07T17:11:09,1,69,0,70
2022-11-07T17:20:40,1,69,0,70
2022-11-07T17:29:58,1,69,0,70
2022-11-07T17:39:15,1,69,0,70
2022-11-07T17:48:33,1,69,0,70
2022-11-07T17:57:50,1,69,0,70
2022-11-07T18:07:22,1,69,0,70
2022-11-07T18:16:40,1,69,0,70
2022-11-07T18:25:56,1,69,0,70
2022-11-07T18:35:14,1,69,0,70
2022-11-07T18:44:41,1,69,0,70
2022-11-07T18:53:59,1,69,0,70
2022-11-07T19:03:16,1,69,0,70
2022-11-07T19:12:43,1,69,0,70
2022-11-07T19:22:00,1,69,0,70
2022-11-07T19:31:19,1,69,0,70
2022-11-07T19:40:38,1,69,0,70
2022-11-07T19:49:56,1,69,0,70
2022-11-07T19:59:13,1,69,0,70
2022-11-07T20:08:42,1,69,0,70
2022-11-07T20:18:00,1,69,0,70
2022-11-07T20:27:17,1,69,0,70
2022-11-07T20:36:34,1,69,0,70
2022-11-07T20:45:53,1,69,0,70
2022-11-07T20:55:11,1,69,0,70
2022-11-07T21:04:39,1,69,0,70
2022-11-07T21:13:55,1,69,0,70
2022-11-07T21:23:11,1,69,0,70
2022-11-07T21:32:30,1,69,0,70
2022-11-07T21:41:45,1,69,0,70
2022-11-07T21:51:00,1,69,0,70
2022-11-07T22:00:27,1,69,0,70
2022-11-07T22:09:45,1,69,0,70
2022-11-07T22:19:02,1,69,0,70
2022-11-07T22:28:18,1,69,0,70
2022-11-07T22:37:33,1,69,0,70
2022-11-07T22:46:50,1,69,0,70
2022-11-07T22:56:05,1,69,0,70
2022-11-07T23:05:33,1,69,0,70
2022-11-07T23:14:49,1,69,0,70
2022-11-07T23:24:04,1,69,0,70
2022-11-07T23:33:20,1,69,0,70
2022-11-07T23:42:36,1,69,0,70
2022-11-07T23:51:52,1,69,0,70
2022-11-08T00:01:07,1,69,0,70
2022-11-08T00:10:36,1,69,0,70
2022-11-08T00:19:58,1,69,0,70
2022-11-08T00:29:14,1,69,0,70
2022-11-08T00:38:30,1,69,0,70
2022-11-08T00:47:48,1,69,0,70
2022-11-08T00:57:05,1,69,0,70
2022-11-08T01:06:24,1,69,0,70
2022-11-08T01:15:41,1,69,0,70
2022-11-08T01:24:59,1,69,0,70
2022-11-08T01:34:18,1,69,0,70
2022-11-08T01:43:35,1,69,0,70
2022-11-08T01:53:03,1,69,0,70
2022-11-08T02:02:21,1,69,0,70
2022-11-08T02:11:37,1,69,0,70
2022-11-08T02:20:53,1,69,0,70
2022-11-08T02:30:08,1,69,0,70
2022-11-08T02:39:27,1,69,0,70
2022-11-08T02:48:46,1,69,0,70
2022-11-08T02:58:02,1,69,0,70
2022-11-08T03:07:19,1,69,0,70
2022-11-08T03:16:36,1,69,0,70
2022-11-08T03:25:51,1,69,0,70
2022-11-08T03:35:07,1,69,0,70
2022-11-08T03:44:34,1,69,0,70
2022-11-08T03:53:50,1,69,0,70
2022-11-08T04:05:12,1,69,0,70
2022-11-08T04:20:22,1,69,0,70
2022-11-08T04:30:04,1,69,0,70
