time,enrolled,available,waitlisted,total
2022-11-05T20:13:25,0,18,0,18
2022-11-05T20:22:42,0,18,0,18
2022-11-05T20:31:59,0,18,0,18
2022-11-05T20:41:27,0,18,0,18
2022-11-05T20:50:43,0,18,0,18
2022-11-05T20:59:58,0,18,0,18
2022-11-05T21:09:14,0,18,0,18
2022-11-05T21:18:29,0,18,0,18
2022-11-05T21:27:44,0,18,0,18
2022-11-05T21:37:00,0,18,0,18
2022-11-05T21:46:16,0,18,0,18
2022-11-05T21:55:31,0,18,0,18
2022-11-05T22:04:46,0,18,0,18
2022-11-05T22:14:02,0,18,0,18
2022-11-05T22:23:17,0,18,0,18
2022-11-05T22:32:33,0,18,0,18
2022-11-05T22:41:50,0,18,0,18
2022-11-05T22:51:06,0,18,0,18
2022-11-05T23:00:22,0,18,0,18
2022-11-05T23:09:38,0,18,0,18
2022-11-05T23:18:55,0,18,0,18
2022-11-05T23:28:11,0,18,0,18
2022-11-05T23:37:28,0,18,0,18
2022-11-05T23:46:45,0,18,0,18
2022-11-05T23:56:01,0,18,0,18
2022-11-06T00:05:26,0,18,0,18
2022-11-06T00:14:43,0,18,0,18
2022-11-06T00:23:58,0,18,0,18
2022-11-06T00:33:14,0,18,0,18
2022-11-06T00:42:29,0,18,0,18
2022-11-06T00:51:45,0,18,0,18
2022-11-06T01:01:00,0,18,0,18
2022-11-06T01:10:15,0,18,0,18
2022-11-06T01:19:31,0,18,0,18
2022-11-06T01:28:47,0,18,0,18
2022-11-06T01:38:03,0,18,0,18
2022-11-06T01:47:18,0,18,0,18
2022-11-06T01:56:34,0,18,0,18
2022-11-06T01:05:51,0,18,0,18
2022-11-06T01:15:08,0,18,0,18
2022-11-06T01:24:23,0,18,0,18
2022-11-06T01:33:39,0,18,0,18
2022-11-06T01:42:54,0,18,0,18
2022-11-06T01:52:12,0,18,0,18
2022-11-06T02:01:31,0,18,0,18
2022-11-06T02:10:50,0,18,0,18
2022-11-06T02:20:09,0,18,0,18
2022-11-06T02:29:30,0,18,0,18
2022-11-06T02:38:49,0,18,0,18
2022-11-06T02:48:08,0,18,0,18
2022-11-06T02:57:27,0,18,0,18
2022-11-06T03:06:45,0,18,0,18
2022-11-06T03:16:02,0,18,0,18
2022-11-06T03:25:19,0,18,0,18
2022-11-06T03:34:37,0,18,0,18
2022-11-06T03:43:57,0,18,0,18
2022-11-06T03:53:17,0,18,0,18
2022-11-06T04:02:36,0,18,0,18
2022-11-06T04:17:54,0,18,0,18
2022-11-06T04:27:14,0,18,0,18
2022-11-06T04:36:34,0,18,0,18
2022-11-06T04:47:01,0,18,0,18
2022-11-06T04:56:36,0,18,0,18
2022-11-06T05:05:54,0,18,0,18
2022-11-06T05:15:11,0,18,0,18
2022-11-06T05:24:27,0,18,0,18
2022-11-06T05:33:45,0,18,0,18
2022-11-06T05:42:59,0,18,0,18
2022-11-06T05:52:16,0,18,0,18
2022-11-06T06:01:34,0,18,0,18
2022-11-06T06:10:53,0,18,0,18
2022-11-06T06:20:12,0,18,0,18
2022-11-06T06:29:29,0,18,0,18
2022-11-06T06:38:45,0,18,0,18
2022-11-06T06:48:01,0,18,0,18
2022-11-06T06:57:16,0,18,0,18
2022-11-06T07:06:34,0,18,0,18
2022-11-06T07:15:51,0,18,0,18
2022-11-06T07:25:08,0,18,0,18
2022-11-06T07:34:26,0,18,0,18
2022-11-06T07:43:45,0,18,0,18
2022-11-06T07:53:03,0,18,0,18
2022-11-06T08:02:19,0,18,0,18
2022-11-06T08:11:36,0,18,0,18
2022-11-06T08:20:53,0,18,0,18
2022-11-06T08:30:11,0,18,0,18
2022-11-06T08:39:27,0,18,0,18
2022-11-06T08:48:43,0,18,0,18
2022-11-06T08:58:01,0,18,0,18
2022-11-06T09:07:17,0,18,0,18
2022-11-06T09:16:32,0,18,0,18
2022-11-06T09:25:45,0,18,0,18
2022-11-06T09:34:59,0,18,0,18
2022-11-06T09:44:13,0,18,0,18
2022-11-06T09:53:27,0,18,0,18
2022-11-06T10:02:40,0,18,0,18
2022-11-06T10:11:54,0,18,0,18
2022-11-06T10:21:07,0,18,0,18
2022-11-06T10:30:24,0,18,0,18
2022-11-06T10:39:38,0,18,0,18
2022-11-06T10:48:53,0,18,0,18
2022-11-06T10:58:08,0,18,0,18
2022-11-06T11:07:22,0,18,0,18
2022-11-06T11:16:38,0,18,0,18
2022-11-06T11:25:57,0,18,0,18
