time,enrolled,available,waitlisted,total
2022-11-05T20:13:27,0,1008,0,1008
2022-11-05T20:22:45,0,1008,0,1008
2022-11-05T20:32:01,0,1008,0,1008
2022-11-05T20:41:29,0,1008,0,1008
2022-11-05T20:50:45,0,1008,0,1008
2022-11-05T21:00:01,0,1008,0,1008
2022-11-05T21:09:16,0,1008,0,1008
2022-11-05T21:18:31,0,1008,0,1008
2022-11-05T21:27:47,0,1008,0,1008
2022-11-05T21:37:03,0,1008,0,1008
2022-11-05T21:46:19,0,1008,0,1008
2022-11-05T21:55:34,0,1008,0,1008
2022-11-05T22:04:49,0,1008,0,1008
2022-11-05T22:14:05,0,1008,0,1008
2022-11-05T22:23:20,0,1008,0,1008
2022-11-05T22:32:36,0,1008,0,1008
2022-11-05T22:41:53,0,1008,0,1008
2022-11-05T22:51:09,0,1008,0,1008
2022-11-05T23:00:24,0,1008,0,1008
2022-11-05T23:09:41,0,1008,0,1008
2022-11-05T23:18:57,0,1008,0,1008
2022-11-05T23:28:13,0,1008,0,1008
2022-11-05T23:37:31,0,1008,0,1008
2022-11-05T23:46:47,0,1008,0,1008
2022-11-05T23:56:03,0,1008,0,1008
2022-11-06T00:05:28,0,1008,0,1008
2022-11-06T00:14:45,0,1008,0,1008
2022-11-06T00:24:01,0,1008,0,1008
2022-11-06T00:33:16,0,1008,0,1008
2022-11-06T00:42:32,0,1008,0,1008
2022-11-06T00:51:47,0,1008,0,1008
2022-11-06T01:01:03,0,1008,0,1008
2022-11-06T01:10:18,0,1008,0,1008
2022-11-06T01:19:33,0,1008,0,1008
2022-11-06T01:28:50,0,1008,0,1008
2022-11-06T01:38:05,0,1008,0,1008
2022-11-06T01:47:21,0,1008,0,1008
2022-11-06T01:56:37,0,1008,0,1008
2022-11-06T01:05:53,0,1008,0,1008
2022-11-06T01:15:10,0,1008,0,1008
2022-11-06T01:24:25,0,1008,0,1008
2022-11-06T01:33:42,0,1008,0,1008
2022-11-06T01:42:56,0,1008,0,1008
2022-11-06T01:52:15,0,1008,0,1008
2022-11-06T02:01:34,0,1008,0,1008
2022-11-06T02:10:53,0,1008,0,1008
2022-11-06T02:20:11,0,1008,0,1008
2022-11-06T02:29:32,0,1008,0,1008
2022-11-06T02:38:51,0,1008,0,1008
2022-11-06T02:48:11,0,1008,0,1008
2022-11-06T02:57:29,0,1008,0,1008
2022-11-06T03:06:48,0,1008,0,1008
2022-11-06T03:16:05,0,1008,0,1008
2022-11-06T03:25:21,0,1008,0,1008
2022-11-06T03:34:39,0,1008,0,1008
2022-11-06T03:43:59,0,1008,0,1008
2022-11-06T03:53:19,0,1008,0,1008
2022-11-06T04:02:38,0,1008,0,1008
2022-11-06T04:17:57,0,1008,0,1008
2022-11-06T04:27:17,0,1008,0,1008
2022-11-06T04:36:36,0,1008,0,1008
2022-11-06T04:47:04,0,1008,0,1008
2022-11-06T04:56:39,0,1008,0,1008
2022-11-06T05:05:56,0,1008,0,1008
2022-11-06T05:15:14,0,1008,0,1008
2022-11-06T05:24:30,0,1008,0,1008
2022-11-06T05:33:47,0,1008,0,1008
2022-11-06T05:43:02,0,1008,0,1008
2022-11-06T05:52:19,0,1008,0,1008
2022-11-06T06:01:37,0,1008,0,1008
2022-11-06T06:10:56,0,1008,0,1008
2022-11-06T06:20:14,0,1008,0,1008
2022-11-06T06:29:31,0,1008,0,1008
2022-11-06T06:38:48,0,1008,0,1008
2022-11-06T06:48:03,0,1008,0,1008
2022-11-06T06:57:19,0,1008,0,1008
2022-11-06T07:06:36,0,1008,0,1008
2022-11-06T07:15:54,0,1008,0,1008
2022-11-06T07:25:11,0,1008,0,1008
2022-11-06T07:34:29,0,1008,0,1008
2022-11-06T07:43:48,0,1008,0,1008
2022-11-06T07:53:06,0,1008,0,1008
2022-11-06T08:02:22,0,1008,0,1008
2022-11-06T08:11:39,0,1008,0,1008
2022-11-06T08:20:56,0,1008,0,1008
2022-11-06T08:30:13,0,1008,0,1008
2022-11-06T08:39:30,0,1008,0,1008
2022-11-06T08:48:46,0,1008,0,1008
2022-11-06T08:58:04,0,1008,0,1008
2022-11-06T09:07:19,0,1008,0,1008
2022-11-06T09:16:34,0,1008,0,1008
2022-11-06T09:25:48,0,1008,0,1008
2022-11-06T09:35:01,0,1008,0,1008
2022-11-06T09:44:16,0,1008,0,1008
2022-11-06T09:53:30,0,1008,0,1008
2022-11-06T10:02:43,0,1008,0,1008
2022-11-06T10:11:56,0,1008,0,1008
2022-11-06T10:21:10,0,1008,0,1008
2022-11-06T10:30:26,0,1008,0,1008
2022-11-06T10:39:41,0,1008,0,1008
2022-11-06T10:48:55,0,1008,0,1008
2022-11-06T10:58:11,0,1008,0,1008
2022-11-06T11:07:25,0,1008,0,1008
2022-11-06T11:16:40,0,1008,0,1008
2022-11-06T11:25:59,0,1008,0,1008
2022-11-06T11:35:21,0,1008,0,1008
2022-11-06T11:44:36,0,1008,0,1008
2022-11-06T11:53:50,0,1008,0,1008
2022-11-06T12:03:04,0,1008,0,1008
2022-11-06T12:12:20,0,1008,0,1008
2022-11-06T12:21:45,0,1008,0,1008
2022-11-06T12:30:59,0,1008,0,1008
2022-11-06T12:40:13,0,1008,0,1008
2022-11-06T12:49:28,0,1008,0,1008
2022-11-06T12:58:42,0,1008,0,1008
2022-11-06T13:07:57,0,1008,0,1008
2022-11-06T13:17:13,0,1008,0,1008
2022-11-06T13:26:28,0,1008,0,1008
2022-11-06T13:35:42,0,1008,0,1008
2022-11-06T13:44:55,0,1008,0,1008
2022-11-06T13:54:09,0,1008,0,1008
2022-11-06T14:03:24,0,1008,0,1008
2022-11-06T14:12:40,0,1008,0,1008
2022-11-06T14:22:02,0,1008,0,1008
2022-11-06T14:31:16,0,1008,0,1008
2022-11-06T14:40:31,0,1008,0,1008
2022-11-06T14:49:47,0,1008,0,1008
2022-11-06T14:59:01,0,1008,0,1008
2022-11-06T15:08:15,0,1008,0,1008
2022-11-06T15:17:28,0,1008,0,1008
2022-11-06T15:26:42,0,1008,0,1008
2022-11-06T15:35:56,0,1008,0,1008
2022-11-06T15:45:10,0,1008,0,1008
2022-11-06T15:54:23,0,1008,0,1008
2022-11-06T16:03:35,0,1008,0,1008
2022-11-06T16:12:58,0,1008,0,1008
2022-11-06T16:22:13,0,1008,0,1008
2022-11-06T16:31:30,0,1008,0,1008
2022-11-06T16:40:45,0,1008,0,1008
2022-11-06T16:50:01,0,1008,0,1008
2022-11-06T16:59:16,0,1008,0,1008
2022-11-06T17:08:30,0,1008,0,1008
2022-11-06T17:17:44,0,1008,0,1008
2022-11-06T17:27:00,0,1008,0,1008
2022-11-06T17:36:16,0,1008,0,1008
2022-11-06T17:45:40,0,1008,0,1008
2022-11-06T17:54:54,0,1008,0,1008
2022-11-06T18:04:10,0,1008,0,1008
2022-11-06T18:13:25,0,1008,0,1008
2022-11-06T18:22:41,0,1008,0,1008
2022-11-06T18:31:54,0,1008,0,1008
2022-11-06T18:41:08,0,1008,0,1008
2022-11-06T18:50:21,0,1008,0,1008
2022-11-06T18:59:36,0,1008,0,1008
2022-11-06T19:09:01,0,1008,0,1008
2022-11-06T19:18:15,0,1008,0,1008
2022-11-06T19:27:31,0,1008,0,1008
2022-11-06T19:36:44,0,1008,0,1008
2022-11-06T19:45:57,0,1008,0,1008
2022-11-06T19:55:12,0,1008,0,1008
2022-11-06T20:04:25,0,1008,0,1008
2022-11-06T20:13:39,0,1008,0,1008
2022-11-06T20:22:53,0,1008,0,1008
2022-11-06T20:32:09,0,1008,0,1008
2022-11-06T20:41:31,0,1008,0,1008
2022-11-06T20:50:46,0,1008,0,1008
2022-11-06T21:00:00,0,1008,0,1008
2022-11-06T21:09:15,0,1008,0,1008
2022-11-06T21:18:27,0,1008,0,1008
2022-11-06T21:27:40,0,1008,0,1008
2022-11-06T21:36:53,0,1008,0,1008
2022-11-06T21:46:09,0,1008,0,1008
2022-11-06T21:55:33,0,1008,0,1008
2022-11-06T22:04:49,0,1008,0,1008
2022-11-06T22:14:03,0,1008,0,1008
2022-11-06T22:23:19,0,1008,0,1008
2022-11-06T22:32:34,0,1008,0,1008
2022-11-06T22:41:48,0,1008,0,1008
2022-11-06T22:51:02,0,1008,0,1008
2022-11-06T23:00:18,0,1008,0,1008
2022-11-06T23:09:43,0,1008,0,1008
2022-11-06T23:18:58,0,1008,0,1008
2022-11-06T23:28:15,0,1008,0,1008
2022-11-06T23:37:30,0,1008,0,1008
2022-11-06T23:46:45,0,1008,0,1008
2022-11-06T23:56:01,0,1008,0,1008
2022-11-07T00:07:01,0,1008,0,1008
2022-11-07T00:16:24,0,1008,0,1008
2022-11-07T00:25:52,0,1008,0,1008
2022-11-07T00:35:09,0,1008,0,1008
2022-11-07T00:44:23,0,1008,0,1008
2022-11-07T00:53:38,0,1008,0,1008
2022-11-07T01:02:53,0,1008,0,1008
2022-11-07T01:12:13,0,1008,0,1008
2022-11-07T01:21:30,0,1008,0,1008
2022-11-07T01:30:44,0,1008,0,1008
2022-11-07T01:40:10,0,1008,0,1008
2022-11-07T01:49:24,0,1008,0,1008
2022-11-07T01:58:39,0,1008,0,1008
2022-11-07T02:07:53,0,1008,0,1008
2022-11-07T02:17:08,0,1008,0,1008
2022-11-07T02:26:23,0,1008,0,1008
2022-11-07T02:35:37,0,1008,0,1008
2022-11-07T02:44:51,0,1008,0,1008
2022-11-07T02:54:05,0,1008,0,1008
2022-11-07T03:03:20,0,1008,0,1008
2022-11-07T03:12:34,0,1008,0,1008
2022-11-07T03:21:50,0,1008,0,1008
2022-11-07T03:31:05,0,1008,0,1008
2022-11-07T03:40:21,0,1008,0,1008
2022-11-07T03:49:37,0,1008,0,1008
2022-11-07T03:58:54,0,1008,0,1008
2022-11-07T04:08:12,0,1008,0,1008
2022-11-07T04:25:22,0,1008,0,1008
2022-11-07T04:35:00,0,1008,0,1008
2022-11-07T04:44:18,0,1008,0,1008
2022-11-07T04:53:35,0,1008,0,1008
2022-11-07T05:02:49,0,1008,0,1008
2022-11-07T05:12:04,0,1008,0,1008
2022-11-07T05:21:18,0,1008,0,1008
2022-11-07T05:30:32,0,1008,0,1008
2022-11-07T05:39:46,0,1008,0,1008
2022-11-07T05:49:00,0,1008,0,1008
2022-11-07T05:58:17,0,1008,0,1008
2022-11-07T06:07:34,0,1008,0,1008
2022-11-07T06:16:51,0,1008,0,1008
2022-11-07T06:26:08,0,1008,0,1008
2022-11-07T06:35:26,0,1008,0,1008
2022-11-07T06:44:43,0,1008,0,1008
