time,enrolled,available,waitlisted,total
2022-11-05T20:13:30,0,130,0,130
2022-11-05T20:22:47,0,130,0,130
2022-11-05T20:32:04,0,130,0,130
2022-11-05T20:41:32,0,130,0,130
2022-11-05T20:50:48,0,130,0,130
2022-11-05T21:00:03,0,130,0,130
2022-11-05T21:09:19,0,130,0,130
2022-11-05T21:18:34,0,130,0,130
2022-11-05T21:27:49,0,130,0,130
2022-11-05T21:37:05,0,130,0,130
2022-11-05T21:46:22,0,130,0,130
2022-11-05T21:55:37,0,130,0,130
2022-11-05T22:04:52,0,130,0,130
2022-11-05T22:14:07,0,130,0,130
2022-11-05T22:23:22,0,130,0,130
2022-11-05T22:32:39,0,130,0,130
2022-11-05T22:41:56,0,130,0,130
2022-11-05T22:51:11,0,130,0,130
2022-11-05T23:00:27,0,130,0,130
2022-11-05T23:09:44,0,130,0,130
2022-11-05T23:19:00,0,130,0,130
2022-11-05T23:28:16,0,130,0,130
2022-11-05T23:37:34,0,130,0,130
2022-11-05T23:46:50,0,130,0,130
2022-11-05T23:56:06,0,130,0,130
2022-11-06T00:05:31,0,130,0,130
2022-11-06T00:14:48,0,130,0,130
2022-11-06T00:24:03,0,130,0,130
2022-11-06T00:33:19,0,130,0,130
2022-11-06T00:42:35,0,130,0,130
2022-11-06T00:51:50,0,130,0,130
2022-11-06T01:01:05,0,130,0,130
2022-11-06T01:10:20,0,130,0,130
2022-11-06T01:19:36,0,130,0,130
2022-11-06T01:28:52,0,130,0,130
2022-11-06T01:38:08,0,130,0,130
2022-11-06T01:47:24,0,130,0,130
2022-11-06T01:56:40,0,130,0,130
2022-11-06T01:05:56,0,130,0,130
2022-11-06T01:15:13,0,130,0,130
2022-11-06T01:24:28,0,130,0,130
2022-11-06T01:33:44,0,130,0,130
2022-11-06T01:42:59,0,130,0,130
2022-11-06T01:52:18,0,130,0,130
2022-11-06T02:01:37,0,130,0,130
2022-11-06T02:10:55,0,130,0,130
2022-11-06T02:20:14,0,130,0,130
2022-11-06T02:29:35,0,130,0,130
2022-11-06T02:38:54,0,130,0,130
2022-11-06T02:48:13,0,130,0,130
2022-11-06T02:57:32,0,130,0,130
2022-11-06T03:06:50,0,130,0,130
2022-11-06T03:16:07,0,130,0,130
2022-11-06T03:25:24,0,130,0,130
2022-11-06T03:34:42,0,130,0,130
2022-11-06T03:44:02,0,130,0,130
2022-11-06T03:53:22,0,130,0,130
2022-11-06T04:02:41,0,130,0,130
2022-11-06T04:18:00,0,130,0,130
2022-11-06T04:27:20,0,130,0,130
2022-11-06T04:36:39,0,130,0,130
2022-11-06T04:47:07,0,130,0,130
2022-11-06T04:56:41,0,130,0,130
2022-11-06T05:05:59,0,130,0,130
2022-11-06T05:15:16,0,130,0,130
2022-11-06T05:24:32,0,130,0,130
2022-11-06T05:33:50,0,130,0,130
2022-11-06T05:43:04,0,130,0,130
2022-11-06T05:52:21,0,130,0,130
2022-11-06T06:01:39,0,130,0,130
2022-11-06T06:10:58,0,130,0,130
2022-11-06T06:20:17,0,130,0,130
2022-11-06T06:29:34,0,130,0,130
2022-11-06T06:38:50,0,130,0,130
2022-11-06T06:48:06,0,130,0,130
