time,enrolled,available,waitlisted,total
2022-11-05T20:13:33,0,99,0,99
2022-11-05T20:22:51,0,99,0,99
2022-11-05T20:32:07,0,99,0,99
2022-11-05T20:41:35,0,99,0,99
2022-11-05T20:50:51,0,99,0,99
2022-11-05T21:00:07,0,99,0,99
2022-11-05T21:09:22,0,99,0,99
2022-11-05T21:18:37,0,99,0,99
2022-11-05T21:27:53,0,99,0,99
2022-11-05T21:37:09,0,99,0,99
2022-11-05T21:46:25,0,99,0,99
2022-11-05T21:55:40,0,99,0,99
2022-11-05T22:04:55,0,99,0,99
2022-11-05T22:14:11,0,99,0,99
2022-11-05T22:23:26,0,99,0,99
2022-11-05T22:32:42,0,99,0,99
2022-11-05T22:41:59,0,99,0,99
2022-11-05T22:51:15,0,99,0,99
2022-11-05T23:00:31,0,99,0,99
2022-11-05T23:09:47,0,99,0,99
2022-11-05T23:19:03,0,99,0,99
2022-11-05T23:28:20,0,99,0,99
2022-11-05T23:37:37,0,99,0,99
2022-11-05T23:46:53,0,99,0,99
2022-11-05T23:56:10,0,99,0,99
2022-11-06T00:05:34,0,99,0,99
2022-11-06T00:14:51,0,99,0,99
2022-11-06T00:24:07,0,99,0,99
2022-11-06T00:33:22,0,99,0,99
2022-11-06T00:42:38,0,99,0,99
2022-11-06T00:51:53,0,99,0,99
2022-11-06T01:01:09,0,99,0,99
2022-11-06T01:10:24,0,99,0,99
2022-11-06T01:19:39,0,99,0,99
2022-11-06T01:28:56,0,99,0,99
2022-11-06T01:38:11,0,99,0,99
2022-11-06T01:47:27,0,99,0,99
2022-11-06T01:56:43,0,99,0,99
2022-11-06T01:05:59,0,99,0,99
2022-11-06T01:15:16,0,99,0,99
2022-11-06T01:24:32,0,99,0,99
2022-11-06T01:33:48,0,99,0,99
2022-11-06T01:43:03,0,99,0,99
2022-11-06T01:52:21,0,99,0,99
2022-11-06T02:01:40,0,99,0,99
2022-11-06T02:10:59,0,99,0,99
2022-11-06T02:20:17,0,99,0,99
2022-11-06T02:29:38,0,99,0,99
2022-11-06T02:38:58,0,99,0,99
2022-11-06T02:48:17,0,99,0,99
2022-11-06T02:57:36,0,99,0,99
2022-11-06T03:06:54,0,99,0,99
2022-11-06T03:16:11,0,99,0,99
2022-11-06T03:25:27,0,99,0,99
