time,enrolled,available,waitlisted,total
2022-11-05T20:13:54,0,266,0,266
2022-11-05T20:23:11,0,266,0,266
2022-11-05T20:32:28,0,266,0,266
2022-11-05T20:41:56,0,266,0,266
2022-11-05T20:51:12,0,266,0,266
2022-11-05T21:00:27,0,266,0,266
2022-11-05T21:09:43,0,266,0,266
2022-11-05T21:18:58,0,266,0,266
2022-11-05T21:28:13,0,266,0,266
2022-11-05T21:37:29,0,266,0,266
2022-11-05T21:46:46,0,266,0,266
2022-11-05T21:56:01,0,266,0,266
2022-11-05T22:05:16,0,266,0,266
2022-11-05T22:14:31,0,266,0,266
2022-11-05T22:23:46,0,266,0,266
2022-11-05T22:33:02,0,266,0,266
2022-11-05T22:42:20,0,266,0,266
2022-11-05T22:51:35,0,266,0,266
2022-11-05T23:00:51,0,266,0,266
2022-11-05T23:10:08,0,266,0,266
2022-11-05T23:19:24,0,266,0,266
2022-11-05T23:28:40,0,266,0,266
2022-11-05T23:37:58,0,266,0,266
2022-11-05T23:47:14,0,266,0,266
2022-11-05T23:56:30,0,266,0,266
2022-11-06T00:05:55,0,266,0,266
2022-11-06T00:15:12,0,266,0,266
2022-11-06T00:24:28,0,266,0,266
2022-11-06T00:33:43,0,266,0,266
2022-11-06T00:42:59,0,266,0,266
2022-11-06T00:52:14,0,266,0,266
2022-11-06T01:01:29,0,266,0,266
2022-11-06T01:10:44,0,266,0,266
2022-11-06T01:20:00,0,266,0,266
2022-11-06T01:29:16,0,266,0,266
2022-11-06T01:38:32,0,266,0,266
2022-11-06T01:47:48,0,266,0,266
2022-11-06T01:57:04,0,266,0,266
2022-11-06T01:06:20,0,266,0,266
2022-11-06T01:15:37,0,266,0,266
2022-11-06T01:24:52,0,266,0,266
2022-11-06T01:34:08,0,266,0,266
2022-11-06T01:43:23,0,266,0,266
2022-11-06T01:52:42,0,266,0,266
2022-11-06T02:02:01,0,266,0,266
2022-11-06T02:11:19,0,266,0,266
2022-11-06T02:20:38,0,266,0,266
2022-11-06T02:29:59,0,266,0,266
2022-11-06T02:39:18,0,266,0,266
2022-11-06T02:48:37,0,266,0,266
2022-11-06T02:57:56,0,266,0,266
2022-11-06T03:07:14,0,266,0,266
2022-11-06T03:16:31,0,266,0,266
2022-11-06T03:25:48,0,266,0,266
2022-11-06T03:35:06,0,266,0,266
2022-11-06T03:44:26,0,266,0,266
2022-11-06T03:53:46,0,266,0,266
2022-11-06T04:03:05,0,266,0,266
2022-11-06T04:18:24,0,266,0,266
2022-11-06T04:27:44,0,266,0,266
2022-11-06T04:37:03,0,266,0,266
2022-11-06T04:47:31,0,266,0,266
2022-11-06T04:57:05,0,266,0,266
2022-11-06T05:06:23,0,266,0,266
2022-11-06T05:15:40,0,266,0,266
2022-11-06T05:24:56,0,266,0,266
2022-11-06T05:34:14,0,266,0,266
2022-11-06T05:43:28,0,266,0,266
2022-11-06T05:52:45,0,266,0,266
2022-11-06T06:02:04,0,266,0,266
2022-11-06T06:11:22,0,266,0,266
2022-11-06T06:20:41,0,266,0,266
2022-11-06T06:29:58,0,266,0,266
2022-11-06T06:39:14,0,266,0,266
2022-11-06T06:48:30,0,266,0,266
2022-11-06T06:57:46,0,266,0,266
2022-11-06T07:07:03,0,266,0,266
2022-11-06T07:16:20,0,266,0,266
2022-11-06T07:25:38,0,266,0,266
2022-11-06T07:34:56,0,266,0,266
2022-11-06T07:44:14,0,266,0,266
2022-11-06T07:53:32,0,266,0,266
2022-11-06T08:02:48,0,266,0,266
2022-11-06T08:12:05,0,266,0,266
2022-11-06T08:21:22,0,266,0,266
2022-11-06T08:30:40,0,266,0,266
2022-11-06T08:39:56,0,266,0,266
2022-11-06T08:49:13,0,266,0,266
2022-11-06T08:58:30,0,266,0,266
2022-11-06T09:07:46,0,266,0,266
2022-11-06T09:17:01,0,266,0,266
2022-11-06T09:26:15,0,266,0,266
2022-11-06T09:35:28,0,266,0,266
2022-11-06T09:44:42,0,266,0,266
2022-11-06T09:53:56,0,266,0,266
2022-11-06T10:03:09,0,266,0,266
2022-11-06T10:12:23,0,266,0,266
2022-11-06T10:21:36,0,266,0,266
2022-11-06T10:30:53,0,266,0,266
2022-11-06T10:40:07,0,266,0,266
2022-11-06T10:49:22,0,266,0,266
2022-11-06T10:58:37,0,266,0,266
2022-11-06T11:07:51,0,266,0,266
2022-11-06T11:17:07,0,266,0,266
2022-11-06T11:26:26,0,266,0,266
2022-11-06T11:35:47,0,266,0,266
2022-11-06T11:45:02,0,266,0,266
2022-11-06T11:54:16,0,266,0,266
2022-11-06T12:03:30,0,266,0,266
2022-11-06T12:12:46,0,266,0,266
2022-11-06T12:22:12,0,266,0,266
2022-11-06T12:31:25,0,266,0,266
2022-11-06T12:40:39,0,266,0,266
2022-11-06T12:49:55,0,266,0,266
2022-11-06T12:59:08,0,266,0,266
2022-11-06T13:08:23,0,266,0,266
2022-11-06T13:17:39,0,266,0,266
2022-11-06T13:26:54,0,266,0,266
2022-11-06T13:36:08,0,266,0,266
2022-11-06T13:45:22,0,266,0,266
2022-11-06T13:54:35,0,266,0,266
2022-11-06T14:03:51,0,266,0,266
2022-11-06T14:13:06,0,266,0,266
2022-11-06T14:22:29,0,266,0,266
2022-11-06T14:31:43,0,266,0,266
2022-11-06T14:40:58,0,266,0,266
2022-11-06T14:50:14,0,266,0,266
2022-11-06T14:59:28,0,266,0,266
2022-11-06T15:08:41,0,266,0,266
2022-11-06T15:17:55,0,266,0,266
2022-11-06T15:27:09,0,266,0,266
2022-11-06T15:36:22,0,266,0,266
2022-11-06T15:45:37,0,266,0,266
2022-11-06T15:54:49,0,266,0,266
2022-11-06T16:04:01,0,266,0,266
2022-11-06T16:13:25,0,266,0,266
2022-11-06T16:22:40,0,266,0,266
2022-11-06T16:31:56,0,266,0,266
2022-11-06T16:41:11,0,266,0,266
2022-11-06T16:50:28,0,266,0,266
2022-11-06T16:59:42,0,266,0,266
2022-11-06T17:08:56,0,266,0,266
2022-11-06T17:18:11,0,266,0,266
2022-11-06T17:27:26,0,266,0,266
2022-11-06T17:36:42,0,266,0,266
2022-11-06T17:46:07,0,266,0,266
2022-11-06T17:55:21,0,266,0,266
2022-11-06T18:04:36,0,266,0,266
2022-11-06T18:13:52,0,266,0,266
2022-11-06T18:23:07,0,266,0,266
2022-11-06T18:32:21,0,266,0,266
2022-11-06T18:41:34,0,266,0,266
2022-11-06T18:50:48,0,266,0,266
2022-11-06T19:00:03,0,266,0,266
2022-11-06T19:09:28,0,266,0,266
2022-11-06T19:18:42,0,266,0,266
2022-11-06T19:27:57,0,266,0,266
2022-11-06T19:37:11,0,266,0,266
