time,enrolled,available,waitlisted,total
2022-11-05T20:14:09,0,25,0,25
2022-11-05T20:23:27,0,25,0,25
2022-11-05T20:32:44,0,25,0,25
2022-11-05T20:42:11,0,25,0,25
2022-11-05T20:51:27,0,25,0,25
2022-11-05T21:00:43,0,25,0,25
2022-11-05T21:09:58,0,25,0,25
2022-11-05T21:19:14,0,25,0,25
2022-11-05T21:28:29,0,25,0,25
2022-11-05T21:37:45,0,25,0,25
2022-11-05T21:47:01,0,25,0,25
2022-11-05T21:56:16,0,25,0,25
2022-11-05T22:05:31,0,25,0,25
2022-11-05T22:14:47,0,25,0,25
2022-11-05T22:24:02,0,25,0,25
2022-11-05T22:33:18,0,25,0,25
2022-11-05T22:42:35,0,25,0,25
2022-11-05T22:51:51,0,25,0,25
2022-11-05T23:01:07,0,25,0,25
2022-11-05T23:10:23,0,25,0,25
2022-11-05T23:19:40,0,25,0,25
2022-11-05T23:28:59,0,25,0,25
2022-11-05T23:38:13,0,25,0,25
2022-11-05T23:47:30,0,25,0,25
2022-11-05T23:56:46,0,25,0,25
2022-11-06T00:06:11,0,25,0,25
2022-11-06T00:15:28,0,25,0,25
2022-11-06T00:24:43,0,25,0,25
2022-11-06T00:33:59,0,25,0,25
2022-11-06T00:43:14,0,25,0,25
2022-11-06T00:52:29,0,25,0,25
2022-11-06T01:01:45,0,25,0,25
2022-11-06T01:11:00,0,25,0,25
2022-11-06T01:20:16,0,25,0,25
2022-11-06T01:29:32,0,25,0,25
2022-11-06T01:38:48,0,25,0,25
2022-11-06T01:48:03,0,25,0,25
2022-11-06T01:57:19,0,25,0,25
2022-11-06T01:06:36,0,25,0,25
2022-11-06T01:15:52,0,25,0,25
2022-11-06T01:25:08,0,25,0,25
2022-11-06T01:34:24,0,25,0,25
2022-11-06T01:43:39,0,25,0,25
2022-11-06T01:52:58,0,25,0,25
2022-11-06T02:02:16,0,25,0,25
2022-11-06T02:11:35,0,25,0,25
2022-11-06T02:20:54,0,25,0,25
2022-11-06T02:30:15,0,25,0,25
2022-11-06T02:39:34,0,25,0,25
2022-11-06T02:48:53,0,25,0,25
2022-11-06T02:58:12,0,25,0,25
2022-11-06T03:07:30,0,25,0,25
2022-11-06T03:16:47,0,25,0,25
2022-11-06T03:26:04,0,25,0,25
2022-11-06T03:35:22,0,25,0,25
2022-11-06T03:44:41,0,25,0,25
2022-11-06T03:54:02,0,25,0,25
2022-11-06T04:03:21,0,25,0,25
2022-11-06T04:18:40,0,25,0,25
2022-11-06T04:27:59,0,25,0,25
2022-11-06T04:37:19,0,25,0,25
2022-11-06T04:47:46,0,25,0,25
2022-11-06T04:57:21,0,25,0,25
2022-11-06T05:06:39,0,25,0,25
2022-11-06T05:15:56,0,25,0,25
2022-11-06T05:25:12,0,25,0,25
2022-11-06T05:34:29,0,25,0,25
2022-11-06T05:43:44,0,25,0,25
2022-11-06T05:53:01,0,25,0,25
2022-11-06T06:02:19,0,25,0,25
2022-11-06T06:11:38,0,25,0,25
2022-11-06T06:20:57,0,25,0,25
2022-11-06T06:30:13,0,25,0,25
2022-11-06T06:39:30,0,25,0,25
2022-11-06T06:48:45,0,25,0,25
2022-11-06T06:58:02,0,25,0,25
2022-11-06T07:07:19,0,25,0,25
2022-11-06T07:16:36,0,25,0,25
2022-11-06T07:25:53,0,25,0,25
2022-11-06T07:35:11,0,25,0,25
2022-11-06T07:44:30,0,25,0,25
2022-11-06T07:53:48,0,25,0,25
2022-11-06T08:03:04,0,25,0,25
2022-11-06T08:12:21,0,25,0,25
2022-11-06T08:21:38,0,25,0,25
2022-11-06T08:30:56,0,25,0,25
2022-11-06T08:40:12,0,25,0,25
2022-11-06T08:49:28,0,25,0,25
2022-11-06T08:58:46,0,25,0,25
2022-11-06T09:08:01,0,25,0,25
2022-11-06T09:17:16,0,25,0,25
2022-11-06T09:26:30,0,25,0,25
2022-11-06T09:35:43,0,25,0,25
2022-11-06T09:44:57,0,25,0,25
2022-11-06T09:54:12,0,25,0,25
2022-11-06T10:03:25,0,25,0,25
2022-11-06T10:12:38,0,25,0,25
2022-11-06T10:21:52,0,25,0,25
2022-11-06T10:31:09,0,25,0,25
2022-11-06T10:40:23,0,25,0,25
2022-11-06T10:49:37,0,25,0,25
2022-11-06T10:58:53,0,25,0,25
2022-11-06T11:08:07,0,25,0,25
2022-11-06T11:17:23,0,25,0,25
2022-11-06T11:26:42,0,25,0,25
2022-11-06T11:36:03,0,25,0,25
2022-11-06T11:45:18,0,25,0,25
2022-11-06T11:54:32,0,25,0,25
2022-11-06T12:03:46,0,25,0,25
2022-11-06T12:13:02,0,25,0,25
2022-11-06T12:22:27,0,25,0,25
2022-11-06T12:31:41,0,25,0,25
2022-11-06T12:40:55,0,25,0,25
2022-11-06T12:50:10,0,25,0,25
2022-11-06T12:59:24,0,25,0,25
2022-11-06T13:08:39,0,25,0,25
2022-11-06T13:17:55,0,25,0,25
2022-11-06T13:27:10,0,25,0,25
2022-11-06T13:36:24,0,25,0,25
2022-11-06T13:45:37,0,25,0,25
2022-11-06T13:54:51,0,25,0,25
2022-11-06T14:04:07,0,25,0,25
2022-11-06T14:13:22,0,25,0,25
2022-11-06T14:22:44,0,25,0,25
2022-11-06T14:31:58,0,25,0,25
2022-11-06T14:41:14,0,25,0,25
2022-11-06T14:50:29,0,25,0,25
2022-11-06T14:59:43,0,25,0,25
2022-11-06T15:08:57,0,25,0,25
2022-11-06T15:18:10,0,25,0,25
2022-11-06T15:27:24,0,25,0,25
2022-11-06T15:36:37,0,25,0,25
2022-11-06T15:45:52,0,25,0,25
2022-11-06T15:55:04,0,25,0,25
2022-11-06T16:04:17,0,25,0,25
2022-11-06T16:13:41,0,25,0,25
2022-11-06T16:22:56,0,25,0,25
2022-11-06T16:32:12,0,25,0,25
2022-11-06T16:41:27,0,25,0,25
2022-11-06T16:50:43,0,25,0,25
2022-11-06T16:59:58,0,25,0,25
2022-11-06T17:09:12,0,25,0,25
2022-11-06T17:18:27,0,25,0,25
2022-11-06T17:27:42,0,25,0,25
2022-11-06T17:36:58,0,25,0,25
2022-11-06T17:46:22,0,25,0,25
2022-11-06T17:55:37,0,25,0,25
2022-11-06T18:04:52,0,25,0,25
2022-11-06T18:14:08,0,25,0,25
2022-11-06T18:23:23,0,25,0,25
2022-11-06T18:32:37,0,25,0,25
2022-11-06T18:41:50,0,25,0,25
2022-11-06T18:51:04,0,25,0,25
2022-11-06T19:00:18,0,25,0,25
2022-11-06T19:09:43,0,25,0,25
2022-11-06T19:18:57,0,25,0,25
2022-11-06T19:28:13,0,25,0,25
2022-11-06T19:37:27,0,25,0,25
2022-11-06T19:46:39,0,25,0,25
2022-11-06T19:55:54,0,25,0,25
2022-11-06T20:05:07,0,25,0,25
2022-11-06T20:14:21,0,25,0,25
2022-11-06T20:23:36,0,25,0,25
2022-11-06T20:32:51,0,25,0,25
2022-11-06T20:42:13,0,25,0,25
2022-11-06T20:51:28,0,25,0,25
