time,enrolled,available,waitlisted,total
2022-11-05T20:14:10,0,40,0,40
2022-11-05T20:23:27,0,40,0,40
2022-11-05T20:32:44,0,40,0,40
2022-11-05T20:42:12,0,40,0,40
2022-11-05T20:51:28,0,40,0,40
2022-11-05T21:00:43,0,40,0,40
2022-11-05T21:09:59,0,40,0,40
2022-11-05T21:19:14,0,40,0,40
2022-11-05T21:28:29,0,40,0,40
2022-11-05T21:37:45,0,40,0,40
2022-11-05T21:47:02,0,40,0,40
2022-11-05T21:56:17,0,40,0,40
2022-11-05T22:05:32,0,40,0,40
2022-11-05T22:14:47,0,40,0,40
2022-11-05T22:24:02,0,40,0,40
2022-11-05T22:33:19,0,40,0,40
2022-11-05T22:42:36,0,40,0,40
2022-11-05T22:51:51,0,40,0,40
2022-11-05T23:01:07,0,40,0,40
2022-11-05T23:10:24,0,40,0,40
2022-11-05T23:19:40,0,40,0,40
2022-11-05T23:28:59,0,40,0,40
2022-11-05T23:38:14,0,40,0,40
2022-11-05T23:47:30,0,40,0,40
2022-11-05T23:56:46,0,40,0,40
2022-11-06T00:06:11,0,40,0,40
2022-11-06T00:15:28,0,40,0,40
2022-11-06T00:24:44,0,40,0,40
2022-11-06T00:33:59,0,40,0,40
2022-11-06T00:43:15,0,40,0,40
2022-11-06T00:52:30,0,40,0,40
2022-11-06T01:01:45,0,40,0,40
2022-11-06T01:11:01,0,40,0,40
2022-11-06T01:20:16,0,40,0,40
2022-11-06T01:29:32,0,40,0,40
2022-11-06T01:38:48,0,40,0,40
2022-11-06T01:48:04,0,40,0,40
2022-11-06T01:57:20,0,40,0,40
2022-11-06T01:06:36,0,40,0,40
2022-11-06T01:15:53,0,40,0,40
2022-11-06T01:25:08,0,40,0,40
2022-11-06T01:34:24,0,40,0,40
2022-11-06T01:43:39,0,40,0,40
2022-11-06T01:52:58,0,40,0,40
2022-11-06T02:02:17,0,40,0,40
2022-11-06T02:11:35,0,40,0,40
2022-11-06T02:20:54,0,40,0,40
2022-11-06T02:30:15,0,40,0,40
2022-11-06T02:39:34,0,40,0,40
2022-11-06T02:48:53,0,40,0,40
2022-11-06T02:58:12,0,40,0,40
2022-11-06T03:07:30,0,40,0,40
2022-11-06T03:16:47,0,40,0,40
2022-11-06T03:26:04,0,40,0,40
2022-11-06T03:35:22,0,40,0,40
2022-11-06T03:44:42,0,40,0,40
2022-11-06T03:54:02,0,40,0,40
2022-11-06T04:03:21,0,40,0,40
2022-11-06T04:18:40,0,40,0,40
2022-11-06T04:28:00,0,40,0,40
2022-11-06T04:37:19,0,40,0,40
2022-11-06T04:47:47,0,40,0,40
2022-11-06T04:57:22,0,40,0,40
2022-11-06T05:06:39,0,40,0,40
2022-11-06T05:15:56,0,40,0,40
2022-11-06T05:25:12,0,40,0,40
2022-11-06T05:34:30,0,40,0,40
2022-11-06T05:43:45,0,40,0,40
2022-11-06T05:53:01,0,40,0,40
2022-11-06T06:02:20,0,40,0,40
2022-11-06T06:11:39,0,40,0,40
2022-11-06T06:20:58,0,40,0,40
2022-11-06T06:30:14,0,40,0,40
2022-11-06T06:39:30,0,40,0,40
2022-11-06T06:48:46,0,40,0,40
2022-11-06T06:58:02,0,40,0,40
2022-11-06T07:07:19,0,40,0,40
2022-11-06T07:16:36,0,40,0,40
2022-11-06T07:25:54,0,40,0,40
2022-11-06T07:35:12,0,40,0,40
2022-11-06T07:44:30,0,40,0,40
2022-11-06T07:53:49,0,40,0,40
2022-11-06T08:03:05,0,40,0,40
2022-11-06T08:12:21,0,40,0,40
2022-11-06T08:21:39,0,40,0,40
2022-11-06T08:30:56,0,40,0,40
2022-11-06T08:40:13,0,40,0,40
2022-11-06T08:49:29,0,40,0,40
2022-11-06T08:58:46,0,40,0,40
2022-11-06T09:08:02,0,40,0,40
2022-11-06T09:17:17,0,40,0,40
2022-11-06T09:26:31,0,40,0,40
2022-11-06T09:35:44,0,40,0,40
2022-11-06T09:44:58,0,40,0,40
2022-11-06T09:54:12,0,40,0,40
2022-11-06T10:03:25,0,40,0,40
2022-11-06T10:12:39,0,40,0,40
2022-11-06T10:21:53,0,40,0,40
2022-11-06T10:31:09,0,40,0,40
2022-11-06T10:40:23,0,40,0,40
2022-11-06T10:49:38,0,40,0,40
2022-11-06T10:58:53,0,40,0,40
2022-11-06T11:08:07,0,40,0,40
2022-11-06T11:17:23,0,40,0,40
2022-11-06T11:26:42,0,40,0,40
2022-11-06T11:36:04,0,40,0,40
2022-11-06T11:45:18,0,40,0,40
2022-11-06T11:54:32,0,40,0,40
2022-11-06T12:03:46,0,40,0,40
2022-11-06T12:13:02,0,40,0,40
2022-11-06T12:22:28,0,40,0,40
2022-11-06T12:31:41,0,40,0,40
2022-11-06T12:40:55,0,40,0,40
2022-11-06T12:50:11,0,40,0,40
2022-11-06T12:59:24,0,40,0,40
2022-11-06T13:08:39,0,40,0,40
2022-11-06T13:17:55,0,40,0,40
2022-11-06T13:27:11,0,40,0,40
2022-11-06T13:36:24,0,40,0,40
2022-11-06T13:45:38,0,40,0,40
2022-11-06T13:54:51,0,40,0,40
2022-11-06T14:04:07,0,40,0,40
2022-11-06T14:13:22,0,40,0,40
2022-11-06T14:22:45,0,40,0,40
2022-11-06T14:31:59,0,40,0,40
2022-11-06T14:41:14,0,40,0,40
2022-11-06T14:50:30,0,40,0,40
2022-11-06T14:59:44,0,40,0,40
2022-11-06T15:08:57,0,40,0,40
2022-11-06T15:18:11,0,40,0,40
2022-11-06T15:27:25,0,40,0,40
2022-11-06T15:36:38,0,40,0,40
2022-11-06T15:45:53,0,40,0,40
2022-11-06T15:55:05,0,40,0,40
2022-11-06T16:04:17,0,40,0,40
2022-11-06T16:13:41,0,40,0,40
2022-11-06T16:22:56,0,40,0,40
2022-11-06T16:32:12,0,40,0,40
2022-11-06T16:41:28,0,40,0,40
2022-11-06T16:50:43,0,40,0,40
2022-11-06T16:59:58,0,40,0,40
2022-11-06T17:09:13,0,40,0,40
2022-11-06T17:18:27,0,40,0,40
2022-11-06T17:27:43,0,40,0,40
2022-11-06T17:36:58,0,40,0,40
2022-11-06T17:46:23,0,40,0,40
2022-11-06T17:55:37,0,40,0,40
2022-11-06T18:04:53,0,40,0,40
2022-11-06T18:14:08,0,40,0,40
2022-11-06T18:23:23,0,40,0,40
2022-11-06T18:32:37,0,40,0,40
2022-11-06T18:41:50,0,40,0,40
2022-11-06T18:51:04,0,40,0,40
2022-11-06T19:00:19,0,40,0,40
2022-11-06T19:09:44,0,40,0,40
2022-11-06T19:18:58,0,40,0,40
2022-11-06T19:28:13,0,40,0,40
2022-11-06T19:37:27,0,40,0,40
2022-11-06T19:46:40,0,40,0,40
2022-11-06T19:55:54,0,40,0,40
2022-11-06T20:05:07,0,40,0,40
