time,enrolled,available,waitlisted,total
2022-11-05T20:14:12,0,25,0,25
2022-11-05T20:23:30,0,25,0,25
2022-11-05T20:32:46,0,25,0,25
2022-11-05T20:42:14,0,25,0,25
2022-11-05T20:51:30,0,25,0,25
2022-11-05T21:00:45,0,25,0,25
2022-11-05T21:10:00,0,25,0,25
2022-11-05T21:19:16,0,25,0,25
2022-11-05T21:28:31,0,25,0,25
2022-11-05T21:37:47,0,25,0,25
2022-11-05T21:47:03,0,25,0,25
2022-11-05T21:56:18,0,25,0,25
2022-11-05T22:05:34,0,25,0,25
2022-11-05T22:14:49,0,25,0,25
2022-11-05T22:24:04,0,25,0,25
2022-11-05T22:33:20,0,25,0,25
2022-11-05T22:42:38,0,25,0,25
2022-11-05T22:51:53,0,25,0,25
2022-11-05T23:01:09,0,25,0,25
2022-11-05T23:10:26,0,25,0,25
2022-11-05T23:19:42,0,25,0,25
2022-11-05T23:29:01,0,25,0,25
2022-11-05T23:38:15,0,25,0,25
2022-11-05T23:47:32,0,25,0,25
2022-11-05T23:56:48,0,25,0,25
2022-11-06T00:06:13,0,25,0,25
2022-11-06T00:15:30,0,25,0,25
2022-11-06T00:24:45,0,25,0,25
2022-11-06T00:34:01,0,25,0,25
2022-11-06T00:43:17,0,25,0,25
2022-11-06T00:52:32,0,25,0,25
2022-11-06T01:01:47,0,25,0,25
2022-11-06T01:11:02,0,25,0,25
2022-11-06T01:20:18,0,25,0,25
2022-11-06T01:29:34,0,25,0,25
2022-11-06T01:38:50,0,25,0,25
2022-11-06T01:48:05,0,25,0,25
2022-11-06T01:57:21,0,25,0,25
2022-11-06T01:06:38,0,25,0,25
2022-11-06T01:15:55,0,25,0,25
2022-11-06T01:25:10,0,25,0,25
2022-11-06T01:34:26,0,25,0,25
2022-11-06T01:43:41,0,25,0,25
2022-11-06T01:53:00,0,25,0,25
2022-11-06T02:02:19,0,25,0,25
2022-11-06T02:11:37,0,25,0,25
2022-11-06T02:20:56,0,25,0,25
2022-11-06T02:30:17,0,25,0,25
2022-11-06T02:39:36,0,25,0,25
2022-11-06T02:48:55,0,25,0,25
2022-11-06T02:58:14,0,25,0,25
2022-11-06T03:07:32,0,25,0,25
2022-11-06T03:16:49,0,25,0,25
2022-11-06T03:26:06,0,25,0,25
2022-11-06T03:35:24,0,25,0,25
2022-11-06T03:44:44,0,25,0,25
2022-11-06T03:54:04,0,25,0,25
2022-11-06T04:03:23,0,25,0,25
2022-11-06T04:18:42,0,25,0,25
2022-11-06T04:28:02,0,25,0,25
2022-11-06T04:37:21,0,25,0,25
2022-11-06T04:47:49,0,25,0,25
2022-11-06T04:57:23,0,25,0,25
2022-11-06T05:06:41,0,25,0,25
2022-11-06T05:15:58,0,25,0,25
2022-11-06T05:25:14,0,25,0,25
2022-11-06T05:34:32,0,25,0,25
2022-11-06T05:43:46,0,25,0,25
2022-11-06T05:53:03,0,25,0,25
2022-11-06T06:02:21,0,25,0,25
2022-11-06T06:11:40,0,25,0,25
2022-11-06T06:20:59,0,25,0,25
2022-11-06T06:30:16,0,25,0,25
2022-11-06T06:39:32,0,25,0,25
2022-11-06T06:48:48,0,25,0,25
2022-11-06T06:58:04,0,25,0,25
2022-11-06T07:07:21,0,25,0,25
2022-11-06T07:16:38,0,25,0,25
2022-11-06T07:25:55,0,25,0,25
2022-11-06T07:35:14,0,25,0,25
2022-11-06T07:44:32,0,25,0,25
2022-11-06T07:53:50,0,25,0,25
2022-11-06T08:03:06,0,25,0,25
2022-11-06T08:12:23,0,25,0,25
2022-11-06T08:21:40,0,25,0,25
2022-11-06T08:30:58,0,25,0,25
2022-11-06T08:40:14,0,25,0,25
2022-11-06T08:49:30,0,25,0,25
2022-11-06T08:58:48,0,25,0,25
