time,enrolled,available,waitlisted,total
2022-11-05T20:14:15,0,32,0,32
2022-11-05T20:23:33,0,32,0,32
2022-11-05T20:32:49,0,32,0,32
2022-11-05T20:42:17,0,32,0,32
2022-11-05T20:51:33,0,32,0,32
2022-11-05T21:00:48,0,32,0,32
2022-11-05T21:10:03,0,32,0,32
2022-11-05T21:19:19,0,32,0,32
2022-11-05T21:28:34,0,32,0,32
2022-11-05T21:37:50,0,32,0,32
2022-11-05T21:47:06,0,32,0,32
2022-11-05T21:56:22,0,32,0,32
2022-11-05T22:05:37,0,32,0,32
2022-11-05T22:14:52,0,32,0,32
2022-11-05T22:24:07,0,32,0,32
2022-11-05T22:33:23,0,32,0,32
2022-11-05T22:42:41,0,32,0,32
2022-11-05T22:51:56,0,32,0,32
2022-11-05T23:01:12,0,32,0,32
2022-11-05T23:10:29,0,32,0,32
2022-11-05T23:19:45,0,32,0,32
2022-11-05T23:29:04,0,32,0,32
2022-11-05T23:38:18,0,32,0,32
2022-11-05T23:47:35,0,32,0,32
2022-11-05T23:56:51,0,32,0,32
2022-11-06T00:06:16,0,32,0,32
2022-11-06T00:15:33,0,32,0,32
2022-11-06T00:24:48,0,32,0,32
2022-11-06T00:34:04,0,32,0,32
2022-11-06T00:43:20,0,32,0,32
2022-11-06T00:52:35,0,32,0,32
2022-11-06T01:01:50,0,32,0,32
2022-11-06T01:11:05,0,32,0,32
2022-11-06T01:20:21,0,32,0,32
2022-11-06T01:29:37,0,32,0,32
2022-11-06T01:38:53,0,32,0,32
2022-11-06T01:48:08,0,32,0,32
2022-11-06T01:57:25,0,32,0,32
2022-11-06T01:06:41,0,32,0,32
2022-11-06T01:15:58,0,32,0,32
2022-11-06T01:25:13,0,32,0,32
2022-11-06T01:34:29,0,32,0,32
2022-11-06T01:43:44,0,32,0,32
2022-11-06T01:53:03,0,32,0,32
2022-11-06T02:02:22,0,32,0,32
2022-11-06T02:11:40,0,32,0,32
2022-11-06T02:20:59,0,32,0,32
2022-11-06T02:30:20,0,32,0,32
2022-11-06T02:39:39,0,32,0,32
2022-11-06T02:48:58,0,32,0,32
2022-11-06T02:58:17,0,32,0,32
2022-11-06T03:07:35,0,32,0,32
2022-11-06T03:16:52,0,32,0,32
2022-11-06T03:26:09,0,32,0,32
2022-11-06T03:35:27,0,32,0,32
2022-11-06T03:44:47,0,32,0,32
2022-11-06T03:54:07,0,32,0,32
2022-11-06T04:03:26,0,32,0,32
2022-11-06T04:18:45,0,32,0,32
2022-11-06T04:28:05,0,32,0,32
2022-11-06T04:37:24,0,32,0,32
2022-11-06T04:47:52,0,32,0,32
2022-11-06T04:57:26,0,32,0,32
2022-11-06T05:06:44,0,32,0,32
2022-11-06T05:16:01,0,32,0,32
2022-11-06T05:25:17,0,32,0,32
2022-11-06T05:34:35,0,32,0,32
2022-11-06T05:43:49,0,32,0,32
2022-11-06T05:53:06,0,32,0,32
2022-11-06T06:02:25,0,32,0,32
2022-11-06T06:11:43,0,32,0,32
2022-11-06T06:21:02,0,32,0,32
2022-11-06T06:30:19,0,32,0,32
2022-11-06T06:39:35,0,32,0,32
2022-11-06T06:48:51,0,32,0,32
2022-11-06T06:58:07,0,32,0,32
2022-11-06T07:07:24,0,32,0,32
2022-11-06T07:16:41,0,32,0,32
2022-11-06T07:25:58,0,32,0,32
2022-11-06T07:35:17,0,32,0,32
2022-11-06T07:44:35,0,32,0,32
2022-11-06T07:53:53,0,32,0,32
2022-11-06T08:03:09,0,32,0,32
2022-11-06T08:12:26,0,32,0,32
2022-11-06T08:21:43,0,32,0,32
2022-11-06T08:31:01,0,32,0,32
2022-11-06T08:40:17,0,32,0,32
2022-11-06T08:49:33,0,32,0,32
2022-11-06T08:58:51,0,32,0,32
2022-11-06T09:08:07,0,32,0,32
2022-11-06T09:17:21,0,32,0,32
2022-11-06T09:26:35,0,32,0,32
2022-11-06T09:35:48,0,32,0,32
2022-11-06T09:45:03,0,32,0,32
2022-11-06T09:54:17,0,32,0,32
2022-11-06T10:03:30,0,32,0,32
2022-11-06T10:12:43,0,32,0,32
2022-11-06T10:21:57,0,32,0,32
2022-11-06T10:31:14,0,32,0,32
2022-11-06T10:40:28,0,32,0,32
2022-11-06T10:49:43,0,32,0,32
2022-11-06T10:58:58,0,32,0,32
2022-11-06T11:08:12,0,32,0,32
2022-11-06T11:17:28,0,32,0,32
2022-11-06T11:26:47,0,32,0,32
2022-11-06T11:36:08,0,32,0,32
2022-11-06T11:45:23,0,32,0,32
2022-11-06T11:54:37,0,32,0,32
2022-11-06T12:03:51,0,32,0,32
2022-11-06T12:13:07,0,32,0,32
2022-11-06T12:22:33,0,32,0,32
2022-11-06T12:31:46,0,32,0,32
2022-11-06T12:41:00,0,32,0,32
2022-11-06T12:50:15,0,32,0,32
2022-11-06T12:59:29,0,32,0,32
2022-11-06T13:08:44,0,32,0,32
2022-11-06T13:18:00,0,32,0,32
2022-11-06T13:27:15,0,32,0,32
2022-11-06T13:36:29,0,32,0,32
2022-11-06T13:45:43,0,32,0,32
2022-11-06T13:54:56,0,32,0,32
2022-11-06T14:04:12,0,32,0,32
2022-11-06T14:13:27,0,32,0,32
2022-11-06T14:22:50,0,32,0,32
2022-11-06T14:32:03,0,32,0,32
2022-11-06T14:41:19,0,32,0,32
2022-11-06T14:50:35,0,32,0,32
2022-11-06T14:59:48,0,32,0,32
2022-11-06T15:09:02,0,32,0,32
2022-11-06T15:18:15,0,32,0,32
2022-11-06T15:27:29,0,32,0,32
2022-11-06T15:36:43,0,32,0,32
2022-11-06T15:45:57,0,32,0,32
2022-11-06T15:55:10,0,32,0,32
2022-11-06T16:04:22,0,32,0,32
2022-11-06T16:13:46,0,32,0,32
2022-11-06T16:23:01,0,32,0,32
2022-11-06T16:32:17,0,32,0,32
2022-11-06T16:41:32,0,32,0,32
2022-11-06T16:50:48,0,32,0,32
2022-11-06T17:00:03,0,32,0,32
2022-11-06T17:09:17,0,32,0,32
2022-11-06T17:18:32,0,32,0,32
2022-11-06T17:27:47,0,32,0,32
2022-11-06T17:37:03,0,32,0,32
2022-11-06T17:46:28,0,32,0,32
2022-11-06T17:55:42,0,32,0,32
2022-11-06T18:04:57,0,32,0,32
2022-11-06T18:14:13,0,32,0,32
2022-11-06T18:23:28,0,32,0,32
2022-11-06T18:32:42,0,32,0,32
2022-11-06T18:41:55,0,32,0,32
2022-11-06T18:51:09,0,32,0,32
2022-11-06T19:00:23,0,32,0,32
2022-11-06T19:09:48,0,32,0,32
2022-11-06T19:19:03,0,32,0,32
2022-11-06T19:28:18,0,32,0,32
2022-11-06T19:37:32,0,32,0,32
2022-11-06T19:46:45,0,32,0,32
2022-11-06T19:55:59,0,32,0,32
2022-11-06T20:05:12,0,32,0,32
2022-11-06T20:14:27,0,32,0,32
2022-11-06T20:23:41,0,32,0,32
2022-11-06T20:32:56,0,32,0,32
2022-11-06T20:42:19,0,32,0,32
2022-11-06T20:51:33,0,32,0,32
2022-11-06T21:00:47,0,32,0,32
2022-11-06T21:10:02,0,32,0,32
2022-11-06T21:19:14,0,32,0,32
2022-11-06T21:28:27,0,32,0,32
2022-11-06T21:37:41,0,32,0,32
2022-11-06T21:46:56,0,32,0,32
2022-11-06T21:56:20,0,32,0,32
2022-11-06T22:05:36,0,32,0,32
2022-11-06T22:14:51,0,32,0,32
2022-11-06T22:24:06,0,32,0,32
2022-11-06T22:33:21,0,32,0,32
2022-11-06T22:42:36,0,32,0,32
2022-11-06T22:51:49,0,32,0,32
2022-11-06T23:01:05,0,32,0,32
2022-11-06T23:10:31,0,32,0,32
2022-11-06T23:19:46,0,32,0,32
2022-11-06T23:29:02,0,32,0,32
2022-11-06T23:38:18,0,32,0,32
2022-11-06T23:47:33,0,32,0,32
2022-11-06T23:56:48,0,32,0,32
2022-11-07T00:07:49,0,32,0,32
2022-11-07T00:17:11,0,32,0,32
2022-11-07T00:26:39,0,32,0,32
2022-11-07T00:35:57,0,32,0,32
2022-11-07T00:45:11,0,32,0,32
2022-11-07T00:54:26,0,32,0,32
2022-11-07T01:03:40,0,32,0,32
2022-11-07T01:13:01,0,32,0,32
2022-11-07T01:22:17,0,32,0,32
2022-11-07T01:31:32,0,32,0,32
2022-11-07T01:40:57,0,32,0,32
2022-11-07T01:50:12,0,32,0,32
2022-11-07T01:59:26,0,32,0,32
2022-11-07T02:08:40,0,32,0,32
2022-11-07T02:17:55,0,32,0,32
2022-11-07T02:27:10,0,32,0,32
2022-11-07T02:36:24,0,32,0,32
2022-11-07T02:45:38,0,32,0,32
2022-11-07T02:54:52,0,32,0,32
2022-11-07T03:04:07,0,32,0,32
2022-11-07T03:13:22,0,32,0,32
2022-11-07T03:22:37,0,32,0,32
2022-11-07T03:31:53,0,32,0,32
2022-11-07T03:41:08,0,32,0,32
2022-11-07T03:50:24,0,32,0,32
2022-11-07T03:59:42,0,32,0,32
2022-11-07T04:09:00,0,32,0,32
2022-11-07T04:26:09,0,32,0,32
2022-11-07T04:35:48,0,32,0,32
2022-11-07T04:45:06,0,32,0,32
2022-11-07T04:54:22,0,32,0,32
2022-11-07T05:03:36,0,32,0,32
2022-11-07T05:12:51,0,32,0,32
2022-11-07T05:22:05,0,32,0,32
2022-11-07T05:31:19,0,32,0,32
2022-11-07T05:40:33,0,32,0,32
2022-11-07T05:49:48,0,32,0,32
2022-11-07T05:59:04,0,32,0,32
2022-11-07T06:08:22,0,32,0,32
2022-11-07T06:17:38,0,32,0,32
2022-11-07T06:26:56,0,32,0,32
2022-11-07T06:36:14,0,32,0,32
2022-11-07T06:45:30,0,32,0,32
2022-11-07T06:54:46,0,32,0,32
2022-11-07T07:04:03,0,32,0,32
2022-11-07T07:13:20,0,32,0,32
2022-11-07T07:22:37,0,32,0,32
2022-11-07T07:31:54,0,32,0,32
2022-11-07T07:41:12,0,32,0,32
2022-11-07T07:50:29,0,32,0,32
2022-11-07T07:59:50,0,32,0,32
2022-11-07T08:09:09,0,32,0,32
2022-11-07T08:18:28,0,32,0,32
2022-11-07T08:27:47,0,32,0,32
2022-11-07T08:37:14,0,32,0,32
2022-11-07T08:46:32,0,32,0,32
2022-11-07T08:55:49,0,32,0,32
2022-11-07T09:05:07,0,32,0,32
2022-11-07T09:14:30,0,32,0,32
2022-11-07T09:23:49,0,32,0,32
2022-11-07T09:33:09,0,32,0,32
2022-11-07T09:42:45,0,32,0,32
2022-11-07T09:52:05,0,32,0,32
2022-11-07T10:01:23,0,32,0,32
2022-11-07T10:10:42,0,32,0,32
2022-11-07T10:20:01,0,32,0,32
2022-11-07T10:29:21,0,32,0,32
2022-11-07T10:38:54,0,32,0,32
2022-11-07T10:48:12,0,32,0,32
2022-11-07T10:57:31,0,32,0,32
2022-11-07T11:06:51,0,32,0,32
2022-11-07T11:16:13,0,32,0,32
2022-11-07T11:25:44,0,32,0,32
2022-11-07T11:35:04,0,32,0,32
2022-11-07T11:44:25,0,32,0,32
2022-11-07T11:53:42,0,32,0,32
