time,enrolled,available,waitlisted,total
2022-11-05T20:14:25,0,32,0,32
2022-11-05T20:23:43,0,32,0,32
2022-11-05T20:32:59,0,32,0,32
2022-11-05T20:42:27,0,32,0,32
2022-11-05T20:51:43,0,32,0,32
2022-11-05T21:00:58,0,32,0,32
2022-11-05T21:10:13,0,32,0,32
2022-11-05T21:19:29,0,32,0,32
2022-11-05T21:28:44,0,32,0,32
2022-11-05T21:38:00,0,32,0,32
2022-11-05T21:47:16,0,32,0,32
2022-11-05T21:56:32,0,32,0,32
2022-11-05T22:05:46,0,32,0,32
2022-11-05T22:15:02,0,32,0,32
2022-11-05T22:24:17,0,32,0,32
2022-11-05T22:33:33,0,32,0,32
2022-11-05T22:42:51,0,32,0,32
2022-11-05T22:52:06,0,32,0,32
2022-11-05T23:01:22,0,32,0,32
2022-11-05T23:10:39,0,32,0,32
2022-11-05T23:19:55,0,32,0,32
2022-11-05T23:29:14,0,32,0,32
2022-11-05T23:38:28,0,32,0,32
2022-11-05T23:47:45,0,32,0,32
2022-11-05T23:57:01,0,32,0,32
2022-11-06T00:06:26,0,32,0,32
2022-11-06T00:15:43,0,32,0,32
2022-11-06T00:24:58,0,32,0,32
2022-11-06T00:34:14,0,32,0,32
2022-11-06T00:43:30,0,32,0,32
2022-11-06T00:52:44,0,32,0,32
2022-11-06T01:02:00,0,32,0,32
2022-11-06T01:11:15,0,32,0,32
2022-11-06T01:20:31,0,32,0,32
2022-11-06T01:29:47,0,32,0,32
2022-11-06T01:39:03,0,32,0,32
2022-11-06T01:48:18,0,32,0,32
2022-11-06T01:57:35,0,32,0,32
2022-11-06T01:06:51,0,32,0,32
2022-11-06T01:16:08,0,32,0,32
2022-11-06T01:25:23,0,32,0,32
2022-11-06T01:34:39,0,32,0,32
2022-11-06T01:43:54,0,32,0,32
2022-11-06T01:53:13,0,32,0,32
2022-11-06T02:02:32,0,32,0,32
2022-11-06T02:11:50,0,32,0,32
2022-11-06T02:21:09,0,32,0,32
2022-11-06T02:30:30,0,32,0,32
2022-11-06T02:39:49,0,32,0,32
2022-11-06T02:49:08,0,32,0,32
2022-11-06T02:58:27,0,32,0,32
2022-11-06T03:07:45,0,32,0,32
2022-11-06T03:17:02,0,32,0,32
2022-11-06T03:26:19,0,32,0,32
2022-11-06T03:35:37,0,32,0,32
2022-11-06T03:44:57,0,32,0,32
2022-11-06T03:54:17,0,32,0,32
2022-11-06T04:03:36,0,32,0,32
2022-11-06T04:18:55,0,32,0,32
2022-11-06T04:28:15,0,32,0,32
2022-11-06T04:37:34,0,32,0,32
2022-11-06T04:48:02,0,32,0,32
2022-11-06T04:57:36,0,32,0,32
2022-11-06T05:06:54,0,32,0,32
2022-11-06T05:16:11,0,32,0,32
2022-11-06T05:25:27,0,32,0,32
2022-11-06T05:34:45,0,32,0,32
2022-11-06T05:43:59,0,32,0,32
2022-11-06T05:53:16,0,32,0,32
2022-11-06T06:02:35,0,32,0,32
2022-11-06T06:11:53,0,32,0,32
2022-11-06T06:21:12,0,32,0,32
2022-11-06T06:30:29,0,32,0,32
2022-11-06T06:39:45,0,32,0,32
2022-11-06T06:49:01,0,32,0,32
2022-11-06T06:58:17,0,32,0,32
2022-11-06T07:07:34,0,32,0,32
2022-11-06T07:16:51,0,32,0,32
2022-11-06T07:26:08,0,32,0,32
2022-11-06T07:35:27,0,32,0,32
2022-11-06T07:44:45,0,32,0,32
2022-11-06T07:54:03,0,32,0,32
2022-11-06T08:03:19,0,32,0,32
2022-11-06T08:12:36,0,32,0,32
2022-11-06T08:21:53,0,32,0,32
2022-11-06T08:31:11,0,32,0,32
2022-11-06T08:40:27,0,32,0,32
2022-11-06T08:49:43,0,32,0,32
2022-11-06T08:59:01,0,32,0,32
2022-11-06T09:08:16,0,32,0,32
2022-11-06T09:17:31,0,32,0,32
2022-11-06T09:26:45,0,32,0,32
2022-11-06T09:35:58,0,32,0,32
2022-11-06T09:45:13,0,32,0,32
2022-11-06T09:54:27,0,32,0,32
2022-11-06T10:03:40,0,32,0,32
2022-11-06T10:12:53,0,32,0,32
2022-11-06T10:22:07,0,32,0,32
2022-11-06T10:31:24,0,32,0,32
2022-11-06T10:40:38,0,32,0,32
2022-11-06T10:49:53,0,32,0,32
2022-11-06T10:59:08,0,32,0,32
2022-11-06T11:08:22,0,32,0,32
2022-11-06T11:17:38,0,32,0,32
2022-11-06T11:26:57,0,32,0,32
2022-11-06T11:36:18,0,32,0,32
2022-11-06T11:45:33,0,32,0,32
2022-11-06T11:54:47,0,32,0,32
2022-11-06T12:04:01,0,32,0,32
2022-11-06T12:13:17,0,32,0,32
2022-11-06T12:22:43,0,32,0,32
2022-11-06T12:31:56,0,32,0,32
2022-11-06T12:41:10,0,32,0,32
2022-11-06T12:50:25,0,32,0,32
2022-11-06T12:59:39,0,32,0,32
2022-11-06T13:08:54,0,32,0,32
2022-11-06T13:18:10,0,32,0,32
2022-11-06T13:27:25,0,32,0,32
2022-11-06T13:36:39,0,32,0,32
2022-11-06T13:45:52,0,32,0,32
2022-11-06T13:55:06,0,32,0,32
2022-11-06T14:04:22,0,32,0,32
2022-11-06T14:13:37,0,32,0,32
2022-11-06T14:23:00,0,32,0,32
2022-11-06T14:32:13,0,32,0,32
2022-11-06T14:41:29,0,32,0,32
2022-11-06T14:50:45,0,32,0,32
2022-11-06T14:59:58,0,32,0,32
2022-11-06T15:09:12,0,32,0,32
2022-11-06T15:18:25,0,32,0,32
2022-11-06T15:27:39,0,32,0,32
2022-11-06T15:36:53,0,32,0,32
2022-11-06T15:46:07,0,32,0,32
2022-11-06T15:55:20,0,32,0,32
2022-11-06T16:04:32,0,32,0,32
2022-11-06T16:13:56,0,32,0,32
2022-11-06T16:23:11,0,32,0,32
2022-11-06T16:32:27,0,32,0,32
2022-11-06T16:41:42,0,32,0,32
2022-11-06T16:50:58,0,32,0,32
2022-11-06T17:00:13,0,32,0,32
2022-11-06T17:09:27,0,32,0,32
2022-11-06T17:18:42,0,32,0,32
2022-11-06T17:27:57,0,32,0,32
2022-11-06T17:37:13,0,32,0,32
2022-11-06T17:46:38,0,32,0,32
2022-11-06T17:55:52,0,32,0,32
2022-11-06T18:05:07,0,32,0,32
2022-11-06T18:14:23,0,32,0,32
2022-11-06T18:23:38,0,32,0,32
2022-11-06T18:32:52,0,32,0,32
2022-11-06T18:42:05,0,32,0,32
2022-11-06T18:51:19,0,32,0,32
2022-11-06T19:00:33,0,32,0,32
2022-11-06T19:09:58,0,32,0,32
2022-11-06T19:19:13,0,32,0,32
2022-11-06T19:28:28,0,32,0,32
2022-11-06T19:37:42,0,32,0,32
2022-11-06T19:46:55,0,32,0,32
2022-11-06T19:56:09,0,32,0,32
2022-11-06T20:05:22,0,32,0,32
2022-11-06T20:14:37,0,32,0,32
2022-11-06T20:23:51,0,32,0,32
2022-11-06T20:33:06,0,32,0,32
2022-11-06T20:42:28,0,32,0,32
2022-11-06T20:51:43,0,32,0,32
2022-11-06T21:00:57,0,32,0,32
2022-11-06T21:10:12,0,32,0,32
2022-11-06T21:19:24,0,32,0,32
2022-11-06T21:28:37,0,32,0,32
2022-11-06T21:37:51,0,32,0,32
2022-11-06T21:47:06,0,32,0,32
2022-11-06T21:56:30,0,32,0,32
2022-11-06T22:05:46,0,32,0,32
2022-11-06T22:15:01,0,32,0,32
2022-11-06T22:24:16,0,32,0,32
2022-11-06T22:33:31,0,32,0,32
2022-11-06T22:42:45,0,32,0,32
2022-11-06T22:51:59,0,32,0,32
2022-11-06T23:01:15,0,32,0,32
2022-11-06T23:10:41,0,32,0,32
2022-11-06T23:19:56,0,32,0,32
2022-11-06T23:29:12,0,32,0,32
2022-11-06T23:38:28,0,32,0,32
2022-11-06T23:47:43,0,32,0,32
2022-11-06T23:56:58,0,32,0,32
2022-11-07T00:07:59,0,32,0,32
2022-11-07T00:17:21,0,32,0,32
2022-11-07T00:26:49,0,32,0,32
2022-11-07T00:36:07,0,32,0,32
2022-11-07T00:45:20,0,32,0,32
2022-11-07T00:54:36,0,32,0,32
2022-11-07T01:03:50,0,32,0,32
2022-11-07T01:13:11,0,32,0,32
2022-11-07T01:22:27,0,32,0,32
2022-11-07T01:31:42,0,32,0,32
2022-11-07T01:41:07,0,32,0,32
2022-11-07T01:50:22,0,32,0,32
2022-11-07T01:59:36,0,32,0,32
2022-11-07T02:08:50,0,32,0,32
2022-11-07T02:18:05,0,32,0,32
2022-11-07T02:27:20,0,32,0,32
2022-11-07T02:36:34,0,32,0,32
2022-11-07T02:45:48,0,32,0,32
2022-11-07T02:55:02,0,32,0,32
2022-11-07T03:04:17,0,32,0,32
2022-11-07T03:13:32,0,32,0,32
2022-11-07T03:22:47,0,32,0,32
2022-11-07T03:32:03,0,32,0,32
2022-11-07T03:41:18,0,32,0,32
2022-11-07T03:50:34,0,32,0,32
2022-11-07T03:59:52,0,32,0,32
2022-11-07T04:09:10,0,32,0,32
2022-11-07T04:26:19,0,32,0,32
2022-11-07T04:35:58,0,32,0,32
2022-11-07T04:45:16,0,32,0,32
2022-11-07T04:54:32,0,32,0,32
2022-11-07T05:03:46,0,32,0,32
2022-11-07T05:13:01,0,32,0,32
2022-11-07T05:22:15,0,32,0,32
2022-11-07T05:31:29,0,32,0,32
2022-11-07T05:40:43,0,32,0,32
2022-11-07T05:49:58,0,32,0,32
2022-11-07T05:59:14,0,32,0,32
2022-11-07T06:08:32,0,32,0,32
2022-11-07T06:17:48,0,32,0,32
2022-11-07T06:27:06,0,32,0,32
