time,enrolled,available,waitlisted,total
2022-11-05T20:14:33,0,45,0,45
2022-11-05T20:23:51,0,45,0,45
2022-11-05T20:33:07,0,45,0,45
2022-11-05T20:42:35,0,45,0,45
2022-11-05T20:51:51,0,45,0,45
2022-11-05T21:01:07,0,45,0,45
2022-11-05T21:10:22,0,45,0,45
2022-11-05T21:19:37,0,45,0,45
2022-11-05T21:28:53,0,45,0,45
2022-11-05T21:38:09,0,45,0,45
2022-11-05T21:47:25,0,45,0,45
2022-11-05T21:56:40,0,45,0,45
2022-11-05T22:05:55,0,45,0,45
2022-11-05T22:15:11,0,45,0,45
2022-11-05T22:24:26,0,45,0,45
2022-11-05T22:33:42,0,45,0,45
2022-11-05T22:42:59,0,45,0,45
2022-11-05T22:52:15,0,45,0,45
2022-11-05T23:01:31,0,45,0,45
2022-11-05T23:10:47,0,45,0,45
2022-11-05T23:20:04,0,45,0,45
2022-11-05T23:29:23,0,45,0,45
2022-11-05T23:38:37,0,45,0,45
2022-11-05T23:47:54,0,45,0,45
2022-11-05T23:57:09,0,45,0,45
2022-11-06T00:06:35,0,45,0,45
2022-11-06T00:15:51,0,45,0,45
2022-11-06T00:25:07,0,45,0,45
2022-11-06T00:34:22,0,45,0,45
2022-11-06T00:43:38,0,45,0,45
2022-11-06T00:52:53,0,45,0,45
2022-11-06T01:02:08,0,45,0,45
2022-11-06T01:11:24,0,45,0,45
2022-11-06T01:20:39,0,45,0,45
2022-11-06T01:29:56,0,45,0,45
2022-11-06T01:39:12,0,45,0,45
2022-11-06T01:48:27,0,45,0,45
2022-11-06T01:57:43,0,45,0,45
2022-11-06T01:07:00,0,45,0,45
2022-11-06T01:16:16,0,45,0,45
2022-11-06T01:25:32,0,45,0,45
2022-11-06T01:34:48,0,45,0,45
2022-11-06T01:44:03,0,45,0,45
2022-11-06T01:53:22,0,45,0,45
2022-11-06T02:02:40,0,45,0,45
2022-11-06T02:11:59,0,45,0,45
2022-11-06T02:21:18,0,45,0,45
2022-11-06T02:30:39,0,45,0,45
2022-11-06T02:39:58,0,45,0,45
2022-11-06T02:49:17,0,45,0,45
2022-11-06T02:58:36,0,45,0,45
2022-11-06T03:07:55,0,45,0,45
2022-11-06T03:17:11,0,45,0,45
2022-11-06T03:26:28,0,45,0,45
2022-11-06T03:35:46,0,45,0,45
2022-11-06T03:45:05,0,45,0,45
2022-11-06T03:54:26,0,45,0,45
2022-11-06T04:03:45,0,45,0,45
2022-11-06T04:19:04,0,45,0,45
2022-11-06T04:28:23,0,45,0,45
2022-11-06T04:37:43,0,45,0,45
2022-11-06T04:48:11,0,45,0,45
2022-11-06T04:57:45,0,45,0,45
2022-11-06T05:07:02,0,45,0,45
2022-11-06T05:16:20,0,45,0,45
2022-11-06T05:25:36,0,45,0,45
2022-11-06T05:34:53,0,45,0,45
2022-11-06T05:44:08,0,45,0,45
2022-11-06T05:53:25,0,45,0,45
2022-11-06T06:02:43,0,45,0,45
2022-11-06T06:12:02,0,45,0,45
2022-11-06T06:21:21,0,45,0,45
2022-11-06T06:30:38,0,45,0,45
2022-11-06T06:39:54,0,45,0,45
2022-11-06T06:49:09,0,45,0,45
2022-11-06T06:58:26,0,45,0,45
2022-11-06T07:07:43,0,45,0,45
2022-11-06T07:17:00,0,45,0,45
2022-11-06T07:26:17,0,45,0,45
2022-11-06T07:35:35,0,45,0,45
2022-11-06T07:44:54,0,45,0,45
2022-11-06T07:54:12,0,45,0,45
2022-11-06T08:03:28,0,45,0,45
2022-11-06T08:12:45,0,45,0,45
2022-11-06T08:22:02,0,45,0,45
2022-11-06T08:31:20,0,45,0,45
2022-11-06T08:40:36,0,45,0,45
2022-11-06T08:49:52,0,45,0,45
2022-11-06T08:59:10,0,45,0,45
2022-11-06T09:08:25,0,45,0,45
2022-11-06T09:17:40,0,45,0,45
2022-11-06T09:26:54,0,45,0,45
2022-11-06T09:36:07,0,45,0,45
2022-11-06T09:45:21,0,45,0,45
2022-11-06T09:54:36,0,45,0,45
2022-11-06T10:03:49,0,45,0,45
2022-11-06T10:13:02,0,45,0,45
2022-11-06T10:22:16,0,45,0,45
2022-11-06T10:31:33,0,45,0,45
2022-11-06T10:40:46,0,45,0,45
2022-11-06T10:50:01,0,45,0,45
2022-11-06T10:59:17,0,45,0,45
2022-11-06T11:08:31,0,45,0,45
2022-11-06T11:17:47,0,45,0,45
2022-11-06T11:27:06,0,45,0,45
2022-11-06T11:36:27,0,45,0,45
2022-11-06T11:45:42,0,45,0,45
2022-11-06T11:54:56,0,45,0,45
2022-11-06T12:04:10,0,45,0,45
2022-11-06T12:13:26,0,45,0,45
2022-11-06T12:22:51,0,45,0,45
2022-11-06T12:32:05,0,45,0,45
2022-11-06T12:41:19,0,45,0,45
2022-11-06T12:50:34,0,45,0,45
2022-11-06T12:59:48,0,45,0,45
2022-11-06T13:09:03,0,45,0,45
2022-11-06T13:18:19,0,45,0,45
2022-11-06T13:27:34,0,45,0,45
2022-11-06T13:36:48,0,45,0,45
2022-11-06T13:46:01,0,45,0,45
2022-11-06T13:55:15,0,45,0,45
2022-11-06T14:04:30,0,45,0,45
2022-11-06T14:13:45,0,45,0,45
2022-11-06T14:23:08,0,45,0,45
2022-11-06T14:32:22,0,45,0,45
2022-11-06T14:41:38,0,45,0,45
2022-11-06T14:50:53,0,45,0,45
2022-11-06T15:00:07,0,45,0,45
2022-11-06T15:09:20,0,45,0,45
2022-11-06T15:18:34,0,45,0,45
2022-11-06T15:27:48,0,45,0,45
2022-11-06T15:37:01,0,45,0,45
2022-11-06T15:46:16,0,45,0,45
2022-11-06T15:55:28,0,45,0,45
2022-11-06T16:04:41,0,45,0,45
2022-11-06T16:14:04,0,45,0,45
2022-11-06T16:23:19,0,45,0,45
2022-11-06T16:32:36,0,45,0,45
2022-11-06T16:41:51,0,45,0,45
2022-11-06T16:51:07,0,45,0,45
2022-11-06T17:00:22,0,45,0,45
2022-11-06T17:09:36,0,45,0,45
2022-11-06T17:18:51,0,45,0,45
2022-11-06T17:28:06,0,45,0,45
2022-11-06T17:37:22,0,45,0,45
2022-11-06T17:46:46,0,45,0,45
2022-11-06T17:56:01,0,45,0,45
2022-11-06T18:05:16,0,45,0,45
2022-11-06T18:14:32,0,45,0,45
2022-11-06T18:23:47,0,45,0,45
2022-11-06T18:33:00,0,45,0,45
2022-11-06T18:42:14,0,45,0,45
2022-11-06T18:51:27,0,45,0,45
2022-11-06T19:00:42,0,45,0,45
2022-11-06T19:10:07,0,45,0,45
2022-11-06T19:19:21,0,45,0,45
2022-11-06T19:28:37,0,45,0,45
2022-11-06T19:37:50,0,45,0,45
2022-11-06T19:47:03,0,45,0,45
2022-11-06T19:56:17,0,45,0,45
2022-11-06T20:05:31,0,45,0,45
2022-11-06T20:14:45,0,45,0,45
2022-11-06T20:23:59,0,45,0,45
2022-11-06T20:33:15,0,45,0,45
2022-11-06T20:42:37,0,45,0,45
2022-11-06T20:51:52,0,45,0,45
2022-11-06T21:01:06,0,45,0,45
2022-11-06T21:10:20,0,45,0,45
2022-11-06T21:19:33,0,45,0,45
2022-11-06T21:28:46,0,45,0,45
2022-11-06T21:37:59,0,45,0,45
2022-11-06T21:47:15,0,45,0,45
2022-11-06T21:56:39,0,45,0,45
2022-11-06T22:05:54,0,45,0,45
2022-11-06T22:15:09,0,45,0,45
2022-11-06T22:24:24,0,45,0,45
2022-11-06T22:33:40,0,45,0,45
2022-11-06T22:42:54,0,45,0,45
2022-11-06T22:52:08,0,45,0,45
2022-11-06T23:01:24,0,45,0,45
2022-11-06T23:10:49,0,45,0,45
2022-11-06T23:20:05,0,45,0,45
2022-11-06T23:29:21,0,45,0,45
2022-11-06T23:38:36,0,45,0,45
2022-11-06T23:47:51,0,45,0,45
2022-11-06T23:57:07,0,45,0,45
2022-11-07T00:08:07,0,45,0,45
2022-11-07T00:17:30,0,45,0,45
2022-11-07T00:26:58,0,45,0,45
2022-11-07T00:36:16,0,45,0,45
2022-11-07T00:45:29,0,45,0,45
2022-11-07T00:54:44,0,45,0,45
2022-11-07T01:03:58,0,45,0,45
2022-11-07T01:13:19,0,45,0,45
2022-11-07T01:22:36,0,45,0,45
2022-11-07T01:31:51,0,45,0,45
2022-11-07T01:41:16,0,45,0,45
2022-11-07T01:50:30,0,45,0,45
2022-11-07T01:59:45,0,45,0,45
2022-11-07T02:08:59,0,45,0,45
2022-11-07T02:18:14,0,45,0,45
2022-11-07T02:27:29,0,45,0,45
2022-11-07T02:36:43,0,45,0,45
2022-11-07T02:45:57,0,45,0,45
2022-11-07T02:55:11,0,45,0,45
2022-11-07T03:04:26,0,45,0,45
2022-11-07T03:13:41,0,45,0,45
2022-11-07T03:22:56,0,45,0,45
2022-11-07T03:32:11,0,45,0,45
2022-11-07T03:41:27,0,45,0,45
2022-11-07T03:50:43,0,45,0,45
2022-11-07T04:00:00,0,45,0,45
2022-11-07T04:09:19,0,45,0,45
2022-11-07T04:26:28,0,45,0,45
2022-11-07T04:36:07,0,45,0,45
2022-11-07T04:45:24,0,45,0,45
2022-11-07T04:54:41,0,45,0,45
2022-11-07T05:03:55,0,45,0,45
2022-11-07T05:13:10,0,45,0,45
2022-11-07T05:22:24,0,45,0,45
2022-11-07T05:31:38,0,45,0,45
2022-11-07T05:40:52,0,45,0,45
2022-11-07T05:50:07,0,45,0,45
2022-11-07T05:59:23,0,45,0,45
2022-11-07T06:08:40,0,45,0,45
2022-11-07T06:17:57,0,45,0,45
2022-11-07T06:27:15,0,45,0,45
