time,enrolled,available,waitlisted,total
2022-11-05T20:14:52,0,30,0,30
2022-11-05T20:24:10,0,30,0,30
2022-11-05T20:33:27,0,30,0,30
2022-11-05T20:42:54,0,30,0,30
2022-11-05T20:52:10,0,30,0,30
2022-11-05T21:01:26,0,30,0,30
2022-11-05T21:10:41,0,30,0,30
2022-11-05T21:19:56,0,30,0,30
2022-11-05T21:29:12,0,30,0,30
2022-11-05T21:38:28,0,30,0,30
2022-11-05T21:47:44,0,30,0,30
2022-11-05T21:56:59,0,30,0,30
2022-11-05T22:06:14,0,30,0,30
2022-11-05T22:15:30,0,30,0,30
2022-11-05T22:24:45,0,30,0,30
2022-11-05T22:34:01,0,30,0,30
2022-11-05T22:43:18,0,30,0,30
2022-11-05T22:52:34,0,30,0,30
2022-11-05T23:01:50,0,30,0,30
2022-11-05T23:11:06,0,30,0,30
2022-11-05T23:20:23,0,30,0,30
2022-11-05T23:29:42,0,30,0,30
2022-11-05T23:38:56,0,30,0,30
2022-11-05T23:48:13,0,30,0,30
2022-11-05T23:57:29,0,30,0,30
2022-11-06T00:06:54,0,30,0,30
2022-11-06T00:16:11,0,30,0,30
2022-11-06T00:25:26,0,30,0,30
2022-11-06T00:34:42,0,30,0,30
2022-11-06T00:43:57,0,30,0,30
2022-11-06T00:53:13,0,30,0,30
2022-11-06T01:02:28,0,30,0,30
2022-11-06T01:11:43,0,30,0,30
2022-11-06T01:20:59,0,30,0,30
2022-11-06T01:30:15,0,30,0,30
2022-11-06T01:39:31,0,30,0,30
2022-11-06T01:48:46,0,30,0,30
2022-11-06T01:58:02,0,30,0,30
2022-11-06T01:07:19,0,30,0,30
2022-11-06T01:16:36,0,30,0,30
2022-11-06T01:25:51,0,30,0,30
2022-11-06T01:35:07,0,30,0,30
2022-11-06T01:44:22,0,30,0,30
2022-11-06T01:53:41,0,30,0,30
2022-11-06T02:03:00,0,30,0,30
2022-11-06T02:12:18,0,30,0,30
2022-11-06T02:21:37,0,30,0,30
2022-11-06T02:30:58,0,30,0,30
2022-11-06T02:40:17,0,30,0,30
2022-11-06T02:49:36,0,30,0,30
2022-11-06T02:58:55,0,30,0,30
2022-11-06T03:08:14,0,30,0,30
2022-11-06T03:17:30,0,30,0,30
2022-11-06T03:26:47,0,30,0,30
2022-11-06T03:36:06,0,30,0,30
2022-11-06T03:45:25,0,30,0,30
2022-11-06T03:54:45,0,30,0,30
2022-11-06T04:04:04,0,30,0,30
