time,enrolled,available,waitlisted,total
2022-11-05T20:14:43,0,716,0,716
2022-11-05T20:24:01,0,716,0,716
2022-11-05T20:33:17,0,716,0,716
2022-11-05T20:42:45,0,716,0,716
2022-11-05T20:52:01,0,716,0,716
2022-11-05T21:01:16,0,716,0,716
2022-11-05T21:10:32,0,716,0,716
2022-11-05T21:19:47,0,716,0,716
2022-11-05T21:29:02,0,716,0,716
2022-11-05T21:38:18,0,716,0,716
2022-11-05T21:47:35,0,716,0,716
2022-11-05T21:56:50,0,716,0,716
2022-11-05T22:06:05,0,716,0,716
2022-11-05T22:15:20,0,716,0,716
2022-11-05T22:24:35,0,716,0,716
2022-11-05T22:33:52,0,716,0,716
2022-11-05T22:43:09,0,716,0,716
2022-11-05T22:52:24,0,716,0,716
2022-11-05T23:01:40,0,716,0,716
2022-11-05T23:10:57,0,716,0,716
2022-11-05T23:20:13,0,716,0,716
2022-11-05T23:29:32,0,716,0,716
2022-11-05T23:38:47,0,716,0,716
2022-11-05T23:48:03,0,716,0,716
2022-11-05T23:57:19,0,716,0,716
2022-11-06T00:06:44,0,716,0,716
2022-11-06T00:16:01,0,716,0,716
2022-11-06T00:25:17,0,716,0,716
2022-11-06T00:34:32,0,716,0,716
2022-11-06T00:43:48,0,716,0,716
2022-11-06T00:53:03,0,716,0,716
2022-11-06T01:02:18,0,716,0,716
2022-11-06T01:11:33,0,716,0,716
2022-11-06T01:20:49,0,716,0,716
2022-11-06T01:30:05,0,716,0,716
2022-11-06T01:39:21,0,716,0,716
2022-11-06T01:48:37,0,716,0,716
2022-11-06T01:57:53,0,716,0,716
2022-11-06T01:07:09,0,716,0,716
2022-11-06T01:16:26,0,716,0,716
2022-11-06T01:25:41,0,716,0,716
2022-11-06T01:34:57,0,716,0,716
2022-11-06T01:44:12,0,716,0,716
2022-11-06T01:53:31,0,716,0,716
2022-11-06T02:02:50,0,716,0,716
2022-11-06T02:12:09,0,716,0,716
2022-11-06T02:21:28,0,716,0,716
2022-11-06T02:30:48,0,716,0,716
2022-11-06T02:40:07,0,716,0,716
2022-11-06T02:49:27,0,716,0,716
2022-11-06T02:58:45,0,716,0,716
2022-11-06T03:08:04,0,716,0,716
2022-11-06T03:17:20,0,716,0,716
2022-11-06T03:26:37,0,716,0,716
2022-11-06T03:35:56,0,716,0,716
2022-11-06T03:45:15,0,716,0,716
2022-11-06T03:54:35,0,716,0,716
2022-11-06T04:03:54,0,716,0,716
2022-11-06T04:19:14,0,716,0,716
2022-11-06T04:28:33,0,716,0,716
2022-11-06T04:37:52,0,716,0,716
2022-11-06T04:48:20,0,716,0,716
2022-11-06T04:57:55,0,716,0,716
2022-11-06T05:07:12,0,716,0,716
2022-11-06T05:16:30,0,716,0,716
2022-11-06T05:25:45,0,716,0,716
2022-11-06T05:35:03,0,716,0,716
2022-11-06T05:44:18,0,716,0,716
2022-11-06T05:53:35,0,716,0,716
2022-11-06T06:02:53,0,716,0,716
2022-11-06T06:12:12,0,716,0,716
2022-11-06T06:21:31,0,716,0,716
2022-11-06T06:30:47,0,716,0,716
