time,enrolled,available,waitlisted,total
2022-11-05T20:15:19,0,1020,0,1020
2022-11-05T20:24:36,0,1020,0,1020
2022-11-05T20:33:53,0,1020,0,1020
2022-11-05T20:43:21,0,1020,0,1020
2022-11-05T20:52:37,0,1020,0,1020
2022-11-05T21:01:53,0,1020,0,1020
2022-11-05T21:11:07,0,1020,0,1020
2022-11-05T21:20:22,0,1020,0,1020
2022-11-05T21:29:38,0,1020,0,1020
2022-11-05T21:38:54,0,1020,0,1020
2022-11-05T21:48:10,0,1020,0,1020
2022-11-05T21:57:26,0,1020,0,1020
2022-11-05T22:06:41,0,1020,0,1020
2022-11-05T22:15:56,0,1020,0,1020
2022-11-05T22:25:11,0,1020,0,1020
2022-11-05T22:34:28,0,1020,0,1020
2022-11-05T22:43:45,0,1020,0,1020
2022-11-05T22:53:00,0,1020,0,1020
2022-11-05T23:02:16,0,1020,0,1020
2022-11-05T23:11:33,0,1020,0,1020
2022-11-05T23:20:49,0,1020,0,1020
2022-11-05T23:30:08,0,1020,0,1020
2022-11-05T23:39:22,0,1020,0,1020
2022-11-05T23:48:39,0,1020,0,1020
2022-11-05T23:57:55,0,1020,0,1020
2022-11-06T00:07:20,0,1020,0,1020
2022-11-06T00:16:37,0,1020,0,1020
2022-11-06T00:25:52,0,1020,0,1020
2022-11-06T00:35:08,0,1020,0,1020
2022-11-06T00:44:23,0,1020,0,1020
2022-11-06T00:53:39,0,1020,0,1020
2022-11-06T01:02:54,0,1020,0,1020
2022-11-06T01:12:09,0,1020,0,1020
2022-11-06T01:21:25,0,1020,0,1020
2022-11-06T01:30:41,0,1020,0,1020
2022-11-06T01:39:57,0,1020,0,1020
2022-11-06T01:49:12,0,1020,0,1020
2022-11-06T01:58:29,0,1020,0,1020
2022-11-06T01:07:45,0,1020,0,1020
2022-11-06T01:17:02,0,1020,0,1020
2022-11-06T01:26:17,0,1020,0,1020
2022-11-06T01:35:33,0,1020,0,1020
2022-11-06T01:44:48,0,1020,0,1020
2022-11-06T01:54:07,0,1020,0,1020
2022-11-06T02:03:26,0,1020,0,1020
2022-11-06T02:12:45,0,1020,0,1020
2022-11-06T02:22:04,0,1020,0,1020
2022-11-06T02:31:24,0,1020,0,1020
2022-11-06T02:40:43,0,1020,0,1020
2022-11-06T02:50:02,0,1020,0,1020
2022-11-06T02:59:21,0,1020,0,1020
2022-11-06T03:08:40,0,1020,0,1020
2022-11-06T03:17:56,0,1020,0,1020
2022-11-06T03:27:13,0,1020,0,1020
2022-11-06T03:36:32,0,1020,0,1020
2022-11-06T03:45:51,0,1020,0,1020
2022-11-06T03:55:12,0,1020,0,1020
2022-11-06T04:04:30,0,1020,0,1020
2022-11-06T04:19:50,0,1020,0,1020
2022-11-06T04:29:09,0,1020,0,1020
2022-11-06T04:38:28,0,1020,0,1020
2022-11-06T04:48:56,0,1020,0,1020
2022-11-06T04:58:31,0,1020,0,1020
2022-11-06T05:07:48,0,1020,0,1020
2022-11-06T05:17:05,0,1020,0,1020
2022-11-06T05:26:22,0,1020,0,1020
2022-11-06T05:35:39,0,1020,0,1020
2022-11-06T05:44:53,0,1020,0,1020
2022-11-06T05:54:11,0,1020,0,1020
2022-11-06T06:03:29,0,1020,0,1020
2022-11-06T06:12:48,0,1020,0,1020
2022-11-06T06:22:07,0,1020,0,1020
2022-11-06T06:31:23,0,1020,0,1020
2022-11-06T06:40:39,0,1020,0,1020
2022-11-06T06:49:55,0,1020,0,1020
2022-11-06T06:59:11,0,1020,0,1020
2022-11-06T07:08:28,0,1020,0,1020
2022-11-06T07:17:45,0,1020,0,1020
2022-11-06T07:27:03,0,1020,0,1020
2022-11-06T07:36:21,0,1020,0,1020
2022-11-06T07:45:40,0,1020,0,1020
2022-11-06T07:54:57,0,1020,0,1020
2022-11-06T08:04:14,0,1020,0,1020
2022-11-06T08:13:30,0,1020,0,1020
2022-11-06T08:22:47,0,1020,0,1020
2022-11-06T08:32:05,0,1020,0,1020
2022-11-06T08:41:21,0,1020,0,1020
2022-11-06T08:50:38,0,1020,0,1020
2022-11-06T08:59:55,0,1020,0,1020
2022-11-06T09:09:10,0,1020,0,1020
2022-11-06T09:18:25,0,1020,0,1020
2022-11-06T09:27:39,0,1020,0,1020
2022-11-06T09:36:52,0,1020,0,1020
2022-11-06T09:46:06,0,1020,0,1020
2022-11-06T09:55:21,0,1020,0,1020
2022-11-06T10:04:34,0,1020,0,1020
2022-11-06T10:13:47,0,1020,0,1020
2022-11-06T10:23:01,0,1020,0,1020
2022-11-06T10:32:18,0,1020,0,1020
2022-11-06T10:41:32,0,1020,0,1020
2022-11-06T10:50:47,0,1020,0,1020
2022-11-06T11:00:02,0,1020,0,1020
2022-11-06T11:09:16,0,1020,0,1020
2022-11-06T11:18:32,0,1020,0,1020
2022-11-06T11:27:52,0,1020,0,1020
2022-11-06T11:37:12,0,1020,0,1020
2022-11-06T11:46:27,0,1020,0,1020
2022-11-06T11:55:41,0,1020,0,1020
2022-11-06T12:04:55,0,1020,0,1020
