time,enrolled,available,waitlisted,total
2022-11-05T20:15:25,0,270,0,270
2022-11-05T20:24:42,0,270,0,270
2022-11-05T20:33:59,0,270,0,270
2022-11-05T20:43:27,0,270,0,270
2022-11-05T20:52:43,0,270,0,270
2022-11-05T21:01:59,0,270,0,270
2022-11-05T21:11:13,0,270,0,270
2022-11-05T21:20:29,0,270,0,270
2022-11-05T21:29:44,0,270,0,270
2022-11-05T21:39:01,0,270,0,270
2022-11-05T21:48:16,0,270,0,270
2022-11-05T21:57:32,0,270,0,270
2022-11-05T22:06:47,0,270,0,270
2022-11-05T22:16:02,0,270,0,270
2022-11-05T22:25:17,0,270,0,270
2022-11-05T22:34:34,0,270,0,270
2022-11-05T22:43:51,0,270,0,270
2022-11-05T22:53:06,0,270,0,270
2022-11-05T23:02:22,0,270,0,270
2022-11-05T23:11:39,0,270,0,270
2022-11-05T23:20:55,0,270,0,270
2022-11-05T23:30:14,0,270,0,270
2022-11-05T23:39:29,0,270,0,270
2022-11-05T23:48:45,0,270,0,270
2022-11-05T23:58:01,0,270,0,270
2022-11-06T00:07:26,0,270,0,270
2022-11-06T00:16:43,0,270,0,270
2022-11-06T00:25:59,0,270,0,270
2022-11-06T00:35:14,0,270,0,270
2022-11-06T00:44:29,0,270,0,270
2022-11-06T00:53:45,0,270,0,270
2022-11-06T01:03:00,0,270,0,270
2022-11-06T01:12:15,0,270,0,270
2022-11-06T01:21:31,0,270,0,270
2022-11-06T01:30:47,0,270,0,270
2022-11-06T01:40:03,0,270,0,270
2022-11-06T01:49:18,0,270,0,270
2022-11-06T01:58:35,0,270,0,270
2022-11-06T01:07:51,0,270,0,270
2022-11-06T01:17:08,0,270,0,270
2022-11-06T01:26:23,0,270,0,270
2022-11-06T01:35:39,0,270,0,270
2022-11-06T01:44:54,0,270,0,270
2022-11-06T01:54:13,0,270,0,270
2022-11-06T02:03:32,0,270,0,270
2022-11-06T02:12:51,0,270,0,270
2022-11-06T02:22:10,0,270,0,270
2022-11-06T02:31:30,0,270,0,270
2022-11-06T02:40:50,0,270,0,270
2022-11-06T02:50:09,0,270,0,270
2022-11-06T02:59:28,0,270,0,270
2022-11-06T03:08:46,0,270,0,270
2022-11-06T03:18:02,0,270,0,270
2022-11-06T03:27:19,0,270,0,270
2022-11-06T03:36:38,0,270,0,270
2022-11-06T03:45:57,0,270,0,270
2022-11-06T03:55:18,0,270,0,270
2022-11-06T04:04:36,0,270,0,270
2022-11-06T04:19:56,0,270,0,270
2022-11-06T04:29:15,0,270,0,270
2022-11-06T04:38:34,0,270,0,270
2022-11-06T04:49:02,0,270,0,270
2022-11-06T04:58:37,0,270,0,270
2022-11-06T05:07:54,0,270,0,270
2022-11-06T05:17:11,0,270,0,270
2022-11-06T05:26:28,0,270,0,270
2022-11-06T05:35:45,0,270,0,270
2022-11-06T05:44:59,0,270,0,270
2022-11-06T05:54:17,0,270,0,270
2022-11-06T06:03:35,0,270,0,270
2022-11-06T06:12:54,0,270,0,270
2022-11-06T06:22:13,0,270,0,270
2022-11-06T06:31:29,0,270,0,270
2022-11-06T06:40:45,0,270,0,270
2022-11-06T06:50:01,0,270,0,270
2022-11-06T06:59:17,0,270,0,270
2022-11-06T07:08:34,0,270,0,270
2022-11-06T07:17:52,0,270,0,270
2022-11-06T07:27:09,0,270,0,270
2022-11-06T07:36:27,0,270,0,270
2022-11-06T07:45:46,0,270,0,270
2022-11-06T07:55:03,0,270,0,270
2022-11-06T08:04:20,0,270,0,270
2022-11-06T08:13:36,0,270,0,270
2022-11-06T08:22:53,0,270,0,270
2022-11-06T08:32:11,0,270,0,270
2022-11-06T08:41:27,0,270,0,270
2022-11-06T08:50:44,0,270,0,270
2022-11-06T09:00:01,0,270,0,270
2022-11-06T09:09:16,0,270,0,270
2022-11-06T09:18:31,0,270,0,270
2022-11-06T09:27:45,0,270,0,270
2022-11-06T09:36:58,0,270,0,270
2022-11-06T09:46:13,0,270,0,270
2022-11-06T09:55:27,0,270,0,270
2022-11-06T10:04:40,0,270,0,270
2022-11-06T10:13:53,0,270,0,270
2022-11-06T10:23:07,0,270,0,270
2022-11-06T10:32:24,0,270,0,270
2022-11-06T10:41:38,0,270,0,270
2022-11-06T10:50:53,0,270,0,270
2022-11-06T11:00:08,0,270,0,270
2022-11-06T11:09:22,0,270,0,270
2022-11-06T11:18:38,0,270,0,270
2022-11-06T11:27:58,0,270,0,270
2022-11-06T11:37:19,0,270,0,270
2022-11-06T11:46:33,0,270,0,270
2022-11-06T11:55:47,0,270,0,270
2022-11-06T12:05:01,0,270,0,270
2022-11-06T12:14:17,0,270,0,270
2022-11-06T12:23:42,0,270,0,270
2022-11-06T12:32:56,0,270,0,270
2022-11-06T12:42:10,0,270,0,270
2022-11-06T12:51:26,0,270,0,270
2022-11-06T13:00:39,0,270,0,270
2022-11-06T13:09:54,0,270,0,270
2022-11-06T13:19:10,0,270,0,270
2022-11-06T13:28:25,0,270,0,270
2022-11-06T13:37:39,0,270,0,270
2022-11-06T13:46:52,0,270,0,270
2022-11-06T13:56:06,0,270,0,270
2022-11-06T14:05:22,0,270,0,270
2022-11-06T14:14:37,0,270,0,270
2022-11-06T14:24:00,0,270,0,270
2022-11-06T14:33:13,0,270,0,270
2022-11-06T14:42:29,0,270,0,270
2022-11-06T14:51:45,0,270,0,270
2022-11-06T15:00:58,0,270,0,270
2022-11-06T15:10:12,0,270,0,270
2022-11-06T15:19:25,0,270,0,270
2022-11-06T15:28:39,0,270,0,270
2022-11-06T15:37:53,0,270,0,270
2022-11-06T15:47:07,0,270,0,270
2022-11-06T15:56:20,0,270,0,270
2022-11-06T16:05:32,0,270,0,270
2022-11-06T16:14:56,0,270,0,270
2022-11-06T16:24:11,0,270,0,270
2022-11-06T16:33:27,0,270,0,270
2022-11-06T16:42:43,0,270,0,270
2022-11-06T16:51:58,0,270,0,270
2022-11-06T17:01:13,0,270,0,270
2022-11-06T17:10:27,0,270,0,270
2022-11-06T17:19:42,0,270,0,270
2022-11-06T17:28:57,0,270,0,270
2022-11-06T17:38:13,0,270,0,270
2022-11-06T17:47:38,0,270,0,270
2022-11-06T17:56:52,0,270,0,270
2022-11-06T18:06:07,0,270,0,270
2022-11-06T18:15:23,0,270,0,270
2022-11-06T18:24:38,0,270,0,270
2022-11-06T18:33:51,0,270,0,270
2022-11-06T18:43:05,0,270,0,270
2022-11-06T18:52:19,0,270,0,270
2022-11-06T19:01:34,0,270,0,270
2022-11-06T19:10:58,0,270,0,270
2022-11-06T19:20:13,0,270,0,270
2022-11-06T19:29:28,0,270,0,270
2022-11-06T19:38:41,0,270,0,270
2022-11-06T19:47:55,0,270,0,270
2022-11-06T19:57:09,0,270,0,270
2022-11-06T20:06:23,0,270,0,270
2022-11-06T20:15:37,0,270,0,270
2022-11-06T20:24:52,0,270,0,270
2022-11-06T20:34:06,0,270,0,270
2022-11-06T20:43:29,0,270,0,270
2022-11-06T20:52:43,0,270,0,270
2022-11-06T21:01:57,0,270,0,270
2022-11-06T21:11:12,0,270,0,270
2022-11-06T21:20:24,0,270,0,270
2022-11-06T21:29:37,0,270,0,270
2022-11-06T21:38:51,0,270,0,270
2022-11-06T21:48:06,0,270,0,270
2022-11-06T21:57:30,0,270,0,270
2022-11-06T22:06:46,0,270,0,270
2022-11-06T22:16:01,0,270,0,270
2022-11-06T22:25:16,0,270,0,270
2022-11-06T22:34:31,0,270,0,270
2022-11-06T22:43:45,0,270,0,270
2022-11-06T22:53:00,0,270,0,270
2022-11-06T23:02:15,0,270,0,270
2022-11-06T23:11:41,0,270,0,270
2022-11-06T23:20:56,0,270,0,270
2022-11-06T23:30:13,0,270,0,270
2022-11-06T23:39:28,0,270,0,270
2022-11-06T23:48:43,0,270,0,270
2022-11-06T23:57:59,0,270,0,270
2022-11-07T00:09:00,0,270,0,270
2022-11-07T00:18:21,0,270,0,270
2022-11-07T00:27:49,0,270,0,270
2022-11-07T00:37:07,0,270,0,270
2022-11-07T00:46:21,0,270,0,270
2022-11-07T00:55:36,0,270,0,270
2022-11-07T01:04:50,0,270,0,270
2022-11-07T01:14:11,0,270,0,270
2022-11-07T01:23:27,0,270,0,270
2022-11-07T01:32:42,0,270,0,270
2022-11-07T01:42:07,0,270,0,270
2022-11-07T01:51:21,0,270,0,270
2022-11-07T02:00:36,0,270,0,270
2022-11-07T02:09:51,0,270,0,270
2022-11-07T02:19:05,0,270,0,270
2022-11-07T02:28:20,0,270,0,270
2022-11-07T02:37:35,0,270,0,270
2022-11-07T02:46:48,0,270,0,270
2022-11-07T02:56:02,0,270,0,270
2022-11-07T03:05:17,0,270,0,270
2022-11-07T03:14:32,0,270,0,270
2022-11-07T03:23:47,0,270,0,270
2022-11-07T03:33:03,0,270,0,270
2022-11-07T03:42:19,0,270,0,270
2022-11-07T03:51:34,0,270,0,270
2022-11-07T04:00:52,0,270,0,270
2022-11-07T04:10:10,0,270,0,270
2022-11-07T04:27:20,0,270,0,270
2022-11-07T04:36:58,0,270,0,270
2022-11-07T04:46:16,0,270,0,270
2022-11-07T04:55:32,0,270,0,270
2022-11-07T05:04:46,0,270,0,270
2022-11-07T05:14:01,0,270,0,270
2022-11-07T05:23:15,0,270,0,270
2022-11-07T05:32:29,0,270,0,270
2022-11-07T05:41:43,0,270,0,270
2022-11-07T05:50:58,0,270,0,270
2022-11-07T06:00:15,0,270,0,270
2022-11-07T06:09:32,0,270,0,270
2022-11-07T06:18:49,0,270,0,270
2022-11-07T06:28:07,0,270,0,270
2022-11-07T06:37:24,0,270,0,270
2022-11-07T06:46:40,0,270,0,270
2022-11-07T06:55:56,0,270,0,270
2022-11-07T07:05:13,0,270,0,270
2022-11-07T07:14:30,0,270,0,270
2022-11-07T07:23:48,0,270,0,270
2022-11-07T07:33:05,0,270,0,270
2022-11-07T07:42:22,0,270,0,270
2022-11-07T07:51:40,0,270,0,270
2022-11-07T08:01:01,0,270,0,270
2022-11-07T08:10:20,0,270,0,270
2022-11-07T08:19:38,0,270,0,270
2022-11-07T08:28:57,0,270,0,270
2022-11-07T08:38:25,0,270,0,270
2022-11-07T08:47:42,0,270,0,270
2022-11-07T08:57:00,0,270,0,270
2022-11-07T09:06:18,0,270,0,270
2022-11-07T09:15:40,0,270,0,270
2022-11-07T09:25:00,0,270,0,270
2022-11-07T09:34:20,0,270,0,270
2022-11-07T09:43:56,0,270,0,270
2022-11-07T09:53:15,0,270,0,270
2022-11-07T10:02:34,0,270,0,270
2022-11-07T10:11:53,0,270,0,270
2022-11-07T10:21:11,0,270,0,270
2022-11-07T10:30:31,0,270,0,270
2022-11-07T10:40:04,0,270,0,270
2022-11-07T10:49:22,0,270,0,270
2022-11-07T10:58:42,0,270,0,270
2022-11-07T11:08:02,0,270,0,270
2022-11-07T11:17:24,0,270,0,270
2022-11-07T11:26:54,0,270,0,270
2022-11-07T11:36:15,0,270,0,270
2022-11-07T11:45:35,0,270,0,270
2022-11-07T11:54:52,0,270,0,270
2022-11-07T12:04:10,0,270,0,270
2022-11-07T12:13:40,0,270,0,270
2022-11-07T12:23:00,0,270,0,270
2022-11-07T12:32:20,0,270,0,270
2022-11-07T12:41:40,0,270,0,270
2022-11-07T12:51:09,0,270,0,270
2022-11-07T13:00:31,0,270,0,270
2022-11-07T13:09:49,0,270,0,270
2022-11-07T13:19:11,0,270,0,270
2022-11-07T13:28:42,0,270,0,270
2022-11-07T13:38:03,0,270,0,270
2022-11-07T13:47:25,1,269,0,270
2022-11-07T13:56:56,1,269,0,270
2022-11-07T14:06:16,1,269,0,270
2022-11-07T14:15:35,1,269,0,270
2022-11-07T14:24:56,2,268,0,270
2022-11-07T14:34:25,2,268,0,270
2022-11-07T14:43:45,2,268,0,270
2022-11-07T14:53:03,2,268,0,270
2022-11-07T15:02:22,2,268,0,270
2022-11-07T15:11:42,2,268,0,270
2022-11-07T15:21:12,2,268,0,270
2022-11-07T15:30:31,2,268,0,270
2022-11-07T15:39:50,2,268,0,270
2022-11-07T15:49:07,2,268,0,270
2022-11-07T15:58:36,2,268,0,270
2022-11-07T16:07:55,2,268,0,270
2022-11-07T16:17:13,2,268,0,270
