time,enrolled,available,waitlisted,total
2022-11-05T20:15:27,0,40,0,40
2022-11-05T20:24:45,0,40,0,40
2022-11-05T20:34:01,0,40,0,40
2022-11-05T20:43:29,0,40,0,40
2022-11-05T20:52:45,0,40,0,40
2022-11-05T21:02:01,0,40,0,40
2022-11-05T21:11:16,0,40,0,40
2022-11-05T21:20:31,0,40,0,40
2022-11-05T21:29:47,0,40,0,40
2022-11-05T21:39:03,0,40,0,40
2022-11-05T21:48:19,0,40,0,40
2022-11-05T21:57:34,0,40,0,40
2022-11-05T22:06:49,0,40,0,40
2022-11-05T22:16:04,0,40,0,40
2022-11-05T22:25:19,0,40,0,40
2022-11-05T22:34:36,0,40,0,40
2022-11-05T22:43:53,0,40,0,40
2022-11-05T22:53:08,0,40,0,40
2022-11-05T23:02:25,0,40,0,40
2022-11-05T23:11:41,0,40,0,40
2022-11-05T23:20:57,0,40,0,40
2022-11-05T23:30:16,0,40,0,40
2022-11-05T23:39:31,0,40,0,40
2022-11-05T23:48:47,0,40,0,40
2022-11-05T23:58:03,0,40,0,40
2022-11-06T00:07:29,0,40,0,40
2022-11-06T00:16:45,0,40,0,40
2022-11-06T00:26:01,0,40,0,40
2022-11-06T00:35:16,0,40,0,40
2022-11-06T00:44:32,0,40,0,40
2022-11-06T00:53:47,0,40,0,40
2022-11-06T01:03:02,0,40,0,40
2022-11-06T01:12:17,0,40,0,40
2022-11-06T01:21:33,0,40,0,40
2022-11-06T01:30:49,0,40,0,40
2022-11-06T01:40:05,0,40,0,40
2022-11-06T01:49:21,0,40,0,40
2022-11-06T01:58:37,0,40,0,40
2022-11-06T01:07:54,0,40,0,40
2022-11-06T01:17:10,0,40,0,40
2022-11-06T01:26:25,0,40,0,40
2022-11-06T01:35:42,0,40,0,40
2022-11-06T01:44:56,0,40,0,40
2022-11-06T01:54:16,0,40,0,40
2022-11-06T02:03:34,0,40,0,40
2022-11-06T02:12:53,0,40,0,40
2022-11-06T02:22:12,0,40,0,40
2022-11-06T02:31:33,0,40,0,40
2022-11-06T02:40:52,0,40,0,40
2022-11-06T02:50:11,0,40,0,40
2022-11-06T02:59:30,0,40,0,40
2022-11-06T03:08:48,0,40,0,40
2022-11-06T03:18:04,0,40,0,40
2022-11-06T03:27:21,0,40,0,40
2022-11-06T03:36:40,0,40,0,40
2022-11-06T03:45:59,0,40,0,40
2022-11-06T03:55:20,0,40,0,40
2022-11-06T04:04:39,0,40,0,40
2022-11-06T04:19:58,0,40,0,40
2022-11-06T04:29:17,0,40,0,40
2022-11-06T04:38:36,0,40,0,40
2022-11-06T04:49:05,0,40,0,40
2022-11-06T04:58:39,0,40,0,40
2022-11-06T05:07:56,0,40,0,40
2022-11-06T05:17:14,0,40,0,40
2022-11-06T05:26:31,0,40,0,40
2022-11-06T05:35:47,0,40,0,40
2022-11-06T05:45:01,0,40,0,40
2022-11-06T05:54:19,0,40,0,40
2022-11-06T06:03:37,0,40,0,40
2022-11-06T06:12:56,0,40,0,40
2022-11-06T06:22:15,0,40,0,40
2022-11-06T06:31:31,0,40,0,40
2022-11-06T06:40:47,0,40,0,40
2022-11-06T06:50:03,0,40,0,40
2022-11-06T06:59:19,0,40,0,40
2022-11-06T07:08:36,0,40,0,40
2022-11-06T07:17:54,0,40,0,40
2022-11-06T07:27:11,0,40,0,40
2022-11-06T07:36:29,0,40,0,40
2022-11-06T07:45:48,0,40,0,40
2022-11-06T07:55:06,0,40,0,40
2022-11-06T08:04:22,0,40,0,40
2022-11-06T08:13:39,0,40,0,40
2022-11-06T08:22:55,0,40,0,40
2022-11-06T08:32:13,0,40,0,40
2022-11-06T08:41:30,0,40,0,40
2022-11-06T08:50:46,0,40,0,40
2022-11-06T09:00:04,0,40,0,40
2022-11-06T09:09:18,0,40,0,40
2022-11-06T09:18:33,0,40,0,40
2022-11-06T09:27:47,0,40,0,40
2022-11-06T09:37:00,0,40,0,40
2022-11-06T09:46:15,0,40,0,40
2022-11-06T09:55:29,0,40,0,40
2022-11-06T10:04:42,0,40,0,40
2022-11-06T10:13:55,0,40,0,40
2022-11-06T10:23:09,0,40,0,40
2022-11-06T10:32:26,0,40,0,40
2022-11-06T10:41:41,0,40,0,40
2022-11-06T10:50:55,0,40,0,40
2022-11-06T11:00:10,0,40,0,40
2022-11-06T11:09:24,0,40,0,40
2022-11-06T11:18:40,0,40,0,40
2022-11-06T11:28:00,0,40,0,40
2022-11-06T11:37:21,0,40,0,40
2022-11-06T11:46:35,0,40,0,40
2022-11-06T11:55:50,0,40,0,40
2022-11-06T12:05:03,0,40,0,40
2022-11-06T12:14:19,0,40,0,40
2022-11-06T12:23:45,0,40,0,40
2022-11-06T12:32:58,0,40,0,40
2022-11-06T12:42:13,0,40,0,40
2022-11-06T12:51:28,0,40,0,40
2022-11-06T13:00:42,0,40,0,40
2022-11-06T13:09:56,0,40,0,40
2022-11-06T13:19:12,0,40,0,40
2022-11-06T13:28:28,0,40,0,40
2022-11-06T13:37:41,0,40,0,40
2022-11-06T13:46:55,0,40,0,40
2022-11-06T13:56:08,0,40,0,40
2022-11-06T14:05:24,0,40,0,40
2022-11-06T14:14:39,0,40,0,40
2022-11-06T14:24:02,0,40,0,40
2022-11-06T14:33:15,0,40,0,40
2022-11-06T14:42:32,0,40,0,40
2022-11-06T14:51:47,0,40,0,40
2022-11-06T15:01:00,0,40,0,40
2022-11-06T15:10:14,0,40,0,40
2022-11-06T15:19:27,0,40,0,40
2022-11-06T15:28:42,0,40,0,40
2022-11-06T15:37:55,0,40,0,40
2022-11-06T15:47:10,0,40,0,40
2022-11-06T15:56:22,0,40,0,40
2022-11-06T16:05:34,0,40,0,40
2022-11-06T16:14:58,0,40,0,40
2022-11-06T16:24:13,0,40,0,40
2022-11-06T16:33:29,0,40,0,40
2022-11-06T16:42:45,0,40,0,40
2022-11-06T16:52:00,0,40,0,40
2022-11-06T17:01:15,0,40,0,40
2022-11-06T17:10:30,0,40,0,40
2022-11-06T17:19:44,0,40,0,40
2022-11-06T17:28:59,0,40,0,40
2022-11-06T17:38:15,0,40,0,40
2022-11-06T17:47:40,0,40,0,40
2022-11-06T17:56:54,0,40,0,40
2022-11-06T18:06:09,0,40,0,40
2022-11-06T18:15:25,0,40,0,40
2022-11-06T18:24:40,0,40,0,40
2022-11-06T18:33:54,0,40,0,40
2022-11-06T18:43:07,0,40,0,40
2022-11-06T18:52:21,0,40,0,40
2022-11-06T19:01:36,0,40,0,40
2022-11-06T19:11:00,0,40,0,40
2022-11-06T19:20:15,0,40,0,40
2022-11-06T19:29:30,0,40,0,40
2022-11-06T19:38:44,0,40,0,40
2022-11-06T19:47:57,0,40,0,40
2022-11-06T19:57:11,0,40,0,40
2022-11-06T20:06:25,0,40,0,40
2022-11-06T20:15:39,0,40,0,40
2022-11-06T20:24:55,0,40,0,40
2022-11-06T20:34:08,0,40,0,40
2022-11-06T20:43:31,0,40,0,40
2022-11-06T20:52:45,0,40,0,40
2022-11-06T21:02:00,0,40,0,40
2022-11-06T21:11:14,0,40,0,40
2022-11-06T21:20:26,0,40,0,40
2022-11-06T21:29:39,0,40,0,40
2022-11-06T21:38:53,0,40,0,40
2022-11-06T21:48:08,0,40,0,40
2022-11-06T21:57:32,0,40,0,40
2022-11-06T22:06:48,0,40,0,40
2022-11-06T22:16:03,0,40,0,40
2022-11-06T22:25:18,0,40,0,40
2022-11-06T22:34:34,0,40,0,40
2022-11-06T22:43:48,0,40,0,40
2022-11-06T22:53:02,0,40,0,40
2022-11-06T23:02:18,0,40,0,40
2022-11-06T23:11:43,0,40,0,40
2022-11-06T23:20:58,0,40,0,40
2022-11-06T23:30:15,0,40,0,40
2022-11-06T23:39:30,0,40,0,40
2022-11-06T23:48:45,0,40,0,40
2022-11-06T23:58:01,0,40,0,40
2022-11-07T00:09:02,0,40,0,40
2022-11-07T00:18:24,0,40,0,40
2022-11-07T00:27:51,0,40,0,40
2022-11-07T00:37:09,0,40,0,40
2022-11-07T00:46:23,0,40,0,40
2022-11-07T00:55:38,0,40,0,40
2022-11-07T01:04:52,0,40,0,40
2022-11-07T01:14:13,0,40,0,40
2022-11-07T01:23:29,0,40,0,40
2022-11-07T01:32:44,0,40,0,40
2022-11-07T01:42:09,0,40,0,40
2022-11-07T01:51:24,0,40,0,40
2022-11-07T02:00:38,0,40,0,40
2022-11-07T02:09:53,0,40,0,40
2022-11-07T02:19:07,0,40,0,40
2022-11-07T02:28:22,0,40,0,40
2022-11-07T02:37:37,0,40,0,40
2022-11-07T02:46:50,0,40,0,40
2022-11-07T02:56:04,0,40,0,40
2022-11-07T03:05:19,0,40,0,40
2022-11-07T03:14:34,0,40,0,40
2022-11-07T03:23:49,0,40,0,40
2022-11-07T03:33:05,0,40,0,40
2022-11-07T03:42:21,0,40,0,40
2022-11-07T03:51:36,0,40,0,40
2022-11-07T04:00:54,0,40,0,40
2022-11-07T04:10:12,0,40,0,40
2022-11-07T04:27:22,0,40,0,40
2022-11-07T04:37:00,0,40,0,40
2022-11-07T04:46:18,0,40,0,40
2022-11-07T04:55:34,0,40,0,40
2022-11-07T05:04:49,0,40,0,40
2022-11-07T05:14:04,0,40,0,40
2022-11-07T05:23:17,0,40,0,40
2022-11-07T05:32:31,0,40,0,40
2022-11-07T05:41:45,0,40,0,40
2022-11-07T05:51:00,0,40,0,40
2022-11-07T06:00:17,0,40,0,40
2022-11-07T06:09:34,0,40,0,40
2022-11-07T06:18:51,0,40,0,40
2022-11-07T06:28:09,0,40,0,40
2022-11-07T06:37:26,0,40,0,40
2022-11-07T06:46:42,0,40,0,40
2022-11-07T06:55:58,0,40,0,40
2022-11-07T07:05:15,0,40,0,40
2022-11-07T07:14:32,0,40,0,40
2022-11-07T07:23:50,0,40,0,40
2022-11-07T07:33:07,0,40,0,40
2022-11-07T07:42:24,0,40,0,40
2022-11-07T07:51:42,0,40,0,40
2022-11-07T08:01:03,0,40,0,40
2022-11-07T08:10:22,0,40,0,40
2022-11-07T08:19:40,0,40,0,40
2022-11-07T08:28:59,0,40,0,40
2022-11-07T08:38:27,0,40,0,40
2022-11-07T08:47:45,0,40,0,40
2022-11-07T08:57:02,0,40,0,40
2022-11-07T09:06:20,0,40,0,40
2022-11-07T09:15:42,0,40,0,40
2022-11-07T09:25:02,0,40,0,40
2022-11-07T09:34:22,0,40,0,40
2022-11-07T09:43:58,0,40,0,40
2022-11-07T09:53:18,0,40,0,40
2022-11-07T10:02:36,0,40,0,40
2022-11-07T10:11:55,0,40,0,40
2022-11-07T10:21:14,0,40,0,40
2022-11-07T10:30:34,0,40,0,40
2022-11-07T10:40:06,0,40,0,40
2022-11-07T10:49:25,0,40,0,40
2022-11-07T10:58:44,0,40,0,40
2022-11-07T11:08:04,0,40,0,40
2022-11-07T11:17:26,0,40,0,40
2022-11-07T11:26:56,0,40,0,40
2022-11-07T11:36:17,0,40,0,40
2022-11-07T11:45:37,0,40,0,40
2022-11-07T11:54:54,0,40,0,40
2022-11-07T12:04:13,0,40,0,40
2022-11-07T12:13:42,0,40,0,40
2022-11-07T12:23:02,0,40,0,40
2022-11-07T12:32:22,0,40,0,40
2022-11-07T12:41:42,0,40,0,40
2022-11-07T12:51:12,0,40,0,40
2022-11-07T13:00:33,0,40,0,40
2022-11-07T13:09:51,0,40,0,40
2022-11-07T13:19:13,0,40,0,40
2022-11-07T13:28:44,0,40,0,40
2022-11-07T13:38:06,0,40,0,40
2022-11-07T13:47:27,0,40,0,40
2022-11-07T13:56:58,0,40,0,40
2022-11-07T14:06:18,0,40,0,40
2022-11-07T14:15:37,0,40,0,40
2022-11-07T14:24:58,0,40,0,40
2022-11-07T14:34:27,0,40,0,40
2022-11-07T14:43:47,0,40,0,40
2022-11-07T14:53:05,0,40,0,40
2022-11-07T15:02:24,0,40,0,40
2022-11-07T15:11:44,0,40,0,40
2022-11-07T15:21:14,0,40,0,40
2022-11-07T15:30:34,0,40,0,40
2022-11-07T15:39:52,0,40,0,40
2022-11-07T15:49:09,0,40,0,40
2022-11-07T15:58:38,0,40,0,40
2022-11-07T16:07:57,0,40,0,40
2022-11-07T16:17:15,0,40,0,40
2022-11-07T16:26:33,0,40,0,40
2022-11-07T16:36:01,0,40,0,40
2022-11-07T16:45:19,0,40,0,40
2022-11-07T16:54:37,0,40,0,40
2022-11-07T17:03:56,0,40,0,40
2022-11-07T17:13:19,0,40,0,40
2022-11-07T17:22:48,0,40,0,40
2022-11-07T17:32:06,0,40,0,40
2022-11-07T17:41:24,0,40,0,40
2022-11-07T17:50:41,0,40,0,40
2022-11-07T18:00:01,0,40,0,40
2022-11-07T18:09:30,0,40,0,40
2022-11-07T18:18:47,0,40,0,40
2022-11-07T18:28:05,0,40,0,40
2022-11-07T18:37:32,0,40,0,40
2022-11-07T18:46:48,0,40,0,40
2022-11-07T18:56:07,0,40,0,40
2022-11-07T19:05:24,0,40,0,40
2022-11-07T19:14:50,0,40,0,40
2022-11-07T19:24:09,0,40,0,40
2022-11-07T19:33:27,0,40,0,40
2022-11-07T19:42:46,0,40,0,40
2022-11-07T19:52:04,0,40,0,40
2022-11-07T20:01:21,0,40,0,40
2022-11-07T20:10:51,0,40,0,40
2022-11-07T20:20:08,0,40,0,40
2022-11-07T20:29:25,0,40,0,40
2022-11-07T20:38:42,0,40,0,40
2022-11-07T20:48:01,0,40,0,40
2022-11-07T20:57:29,0,40,0,40
2022-11-07T21:06:47,0,40,0,40
2022-11-07T21:16:03,0,40,0,40
