time,enrolled,available,waitlisted,total
2022-11-05T20:15:29,0,95,0,95
2022-11-05T20:24:46,0,95,0,95
2022-11-05T20:34:03,0,95,0,95
2022-11-05T20:43:31,0,95,0,95
2022-11-05T20:52:47,0,95,0,95
2022-11-05T21:02:03,0,95,0,95
2022-11-05T21:11:17,0,95,0,95
2022-11-05T21:20:32,0,95,0,95
2022-11-05T21:29:48,0,95,0,95
2022-11-05T21:39:04,0,95,0,95
2022-11-05T21:48:20,0,95,0,95
2022-11-05T21:57:36,0,95,0,95
2022-11-05T22:06:51,0,95,0,95
2022-11-05T22:16:06,0,95,0,95
2022-11-05T22:25:21,0,95,0,95
2022-11-05T22:34:38,0,95,0,95
2022-11-05T22:43:55,0,95,0,95
2022-11-05T22:53:10,0,95,0,95
2022-11-05T23:02:26,0,95,0,95
2022-11-05T23:11:43,0,95,0,95
2022-11-05T23:20:59,0,95,0,95
2022-11-05T23:30:18,0,95,0,95
2022-11-05T23:39:32,0,95,0,95
2022-11-05T23:48:49,0,95,0,95
2022-11-05T23:58:05,0,95,0,95
2022-11-06T00:07:30,0,95,0,95
2022-11-06T00:16:47,0,95,0,95
2022-11-06T00:26:02,0,95,0,95
2022-11-06T00:35:18,0,95,0,95
2022-11-06T00:44:33,0,95,0,95
2022-11-06T00:53:49,0,95,0,95
2022-11-06T01:03:04,0,95,0,95
2022-11-06T01:12:19,0,95,0,95
2022-11-06T01:21:35,0,95,0,95
2022-11-06T01:30:51,0,95,0,95
2022-11-06T01:40:07,0,95,0,95
2022-11-06T01:49:22,0,95,0,95
2022-11-06T01:58:38,0,95,0,95
2022-11-06T01:07:56,0,95,0,95
2022-11-06T01:17:12,0,95,0,95
2022-11-06T01:26:27,0,95,0,95
2022-11-06T01:35:43,0,95,0,95
2022-11-06T01:44:58,0,95,0,95
2022-11-06T01:54:17,0,95,0,95
2022-11-06T02:03:36,0,95,0,95
2022-11-06T02:12:55,0,95,0,95
2022-11-06T02:22:14,0,95,0,95
2022-11-06T02:31:34,0,95,0,95
2022-11-06T02:40:53,0,95,0,95
2022-11-06T02:50:13,0,95,0,95
2022-11-06T02:59:32,0,95,0,95
2022-11-06T03:08:50,0,95,0,95
2022-11-06T03:18:06,0,95,0,95
2022-11-06T03:27:23,0,95,0,95
2022-11-06T03:36:42,0,95,0,95
2022-11-06T03:46:01,0,95,0,95
2022-11-06T03:55:22,0,95,0,95
2022-11-06T04:04:40,0,95,0,95
2022-11-06T04:20:00,0,95,0,95
2022-11-06T04:29:19,0,95,0,95
2022-11-06T04:38:38,0,95,0,95
2022-11-06T04:49:06,0,95,0,95
2022-11-06T04:58:41,0,95,0,95
2022-11-06T05:07:58,0,95,0,95
2022-11-06T05:17:15,0,95,0,95
2022-11-06T05:26:32,0,95,0,95
2022-11-06T05:35:49,0,95,0,95
2022-11-06T05:45:03,0,95,0,95
2022-11-06T05:54:21,0,95,0,95
2022-11-06T06:03:39,0,95,0,95
2022-11-06T06:12:58,0,95,0,95
2022-11-06T06:22:17,0,95,0,95
2022-11-06T06:31:33,0,95,0,95
2022-11-06T06:40:49,0,95,0,95
2022-11-06T06:50:05,0,95,0,95
2022-11-06T06:59:21,0,95,0,95
2022-11-06T07:08:38,0,95,0,95
2022-11-06T07:17:55,0,95,0,95
2022-11-06T07:27:13,0,95,0,95
2022-11-06T07:36:31,0,95,0,95
2022-11-06T07:45:50,0,95,0,95
2022-11-06T07:55:07,0,95,0,95
