time,enrolled,available,waitlisted,total
2022-11-05T20:15:37,0,55,0,55
2022-11-05T20:24:54,0,55,0,55
2022-11-05T20:34:11,0,55,0,55
2022-11-05T20:43:38,0,55,0,55
2022-11-05T20:52:54,0,55,0,55
2022-11-05T21:02:10,0,55,0,55
2022-11-05T21:11:25,0,55,0,55
2022-11-05T21:20:40,0,55,0,55
2022-11-05T21:29:56,0,55,0,55
2022-11-05T21:39:12,0,55,0,55
2022-11-05T21:48:28,0,55,0,55
2022-11-05T21:57:43,0,55,0,55
2022-11-05T22:06:58,0,55,0,55
2022-11-05T22:16:14,0,55,0,55
2022-11-05T22:25:29,0,55,0,55
2022-11-05T22:34:45,0,55,0,55
2022-11-05T22:44:02,0,55,0,55
2022-11-05T22:53:18,0,55,0,55
2022-11-05T23:02:34,0,55,0,55
2022-11-05T23:11:50,0,55,0,55
2022-11-05T23:21:07,0,55,0,55
2022-11-05T23:30:26,0,55,0,55
2022-11-05T23:39:40,0,55,0,55
2022-11-05T23:48:57,0,55,0,55
2022-11-05T23:58:13,0,55,0,55
2022-11-06T00:07:38,0,55,0,55
2022-11-06T00:16:55,0,55,0,55
2022-11-06T00:26:10,0,55,0,55
2022-11-06T00:35:25,0,55,0,55
2022-11-06T00:44:41,0,55,0,55
2022-11-06T00:53:57,0,55,0,55
2022-11-06T01:03:12,0,55,0,55
2022-11-06T01:12:27,0,55,0,55
2022-11-06T01:21:43,0,55,0,55
2022-11-06T01:30:59,0,55,0,55
2022-11-06T01:40:15,0,55,0,55
2022-11-06T01:49:30,0,55,0,55
2022-11-06T01:58:46,0,55,0,55
2022-11-06T01:08:04,0,55,0,55
2022-11-06T01:17:19,0,55,0,55
2022-11-06T01:26:35,0,55,0,55
2022-11-06T01:35:51,0,55,0,55
2022-11-06T01:45:07,0,55,0,55
2022-11-06T01:54:25,0,55,0,55
2022-11-06T02:03:44,0,55,0,55
2022-11-06T02:13:02,0,55,0,55
2022-11-06T02:22:22,0,55,0,55
2022-11-06T02:31:42,0,55,0,55
