time,enrolled,available,waitlisted,total
2022-11-05T20:15:49,0,360,0,360
2022-11-05T20:25:06,0,360,0,360
2022-11-05T20:34:23,0,360,0,360
2022-11-05T20:43:51,0,360,0,360
2022-11-05T20:53:07,0,360,0,360
2022-11-05T21:02:23,0,360,0,360
2022-11-05T21:11:37,0,360,0,360
2022-11-05T21:20:52,0,360,0,360
2022-11-05T21:30:09,0,360,0,360
2022-11-05T21:39:24,0,360,0,360
2022-11-05T21:48:41,0,360,0,360
2022-11-05T21:57:56,0,360,0,360
2022-11-05T22:07:11,0,360,0,360
2022-11-05T22:16:26,0,360,0,360
2022-11-05T22:25:41,0,360,0,360
2022-11-05T22:34:58,0,360,0,360
2022-11-05T22:44:15,0,360,0,360
2022-11-05T22:53:30,0,360,0,360
2022-11-05T23:02:46,0,360,0,360
2022-11-05T23:12:03,0,360,0,360
2022-11-05T23:21:19,0,360,0,360
2022-11-05T23:30:38,0,360,0,360
2022-11-05T23:39:52,0,360,0,360
2022-11-05T23:49:09,0,360,0,360
2022-11-05T23:58:25,0,360,0,360
2022-11-06T00:07:50,0,360,0,360
2022-11-06T00:17:07,0,360,0,360
2022-11-06T00:26:23,0,360,0,360
2022-11-06T00:35:38,0,360,0,360
2022-11-06T00:44:54,0,360,0,360
2022-11-06T00:54:09,0,360,0,360
2022-11-06T01:03:24,0,360,0,360
2022-11-06T01:12:39,0,360,0,360
2022-11-06T01:21:55,0,360,0,360
2022-11-06T01:31:11,0,360,0,360
2022-11-06T01:40:27,0,360,0,360
2022-11-06T01:49:42,0,360,0,360
2022-11-06T01:58:59,0,360,0,360
2022-11-06T01:08:16,0,360,0,360
2022-11-06T01:17:32,0,360,0,360
2022-11-06T01:26:47,0,360,0,360
2022-11-06T01:36:03,0,360,0,360
2022-11-06T01:45:19,0,360,0,360
2022-11-06T01:54:37,0,360,0,360
2022-11-06T02:03:56,0,360,0,360
2022-11-06T02:13:15,0,360,0,360
2022-11-06T02:22:34,0,360,0,360
2022-11-06T02:31:55,0,360,0,360
2022-11-06T02:41:14,0,360,0,360
2022-11-06T02:50:33,0,360,0,360
2022-11-06T02:59:52,0,360,0,360
2022-11-06T03:09:10,0,360,0,360
2022-11-06T03:18:26,0,360,0,360
2022-11-06T03:27:43,0,360,0,360
2022-11-06T03:37:02,0,360,0,360
2022-11-06T03:46:22,0,360,0,360
2022-11-06T03:55:42,0,360,0,360
2022-11-06T04:05:00,0,360,0,360
2022-11-06T04:20:20,0,360,0,360
2022-11-06T04:29:39,0,360,0,360
2022-11-06T04:38:58,0,360,0,360
2022-11-06T04:49:26,0,360,0,360
2022-11-06T04:59:01,0,360,0,360
2022-11-06T05:08:18,0,360,0,360
2022-11-06T05:17:35,0,360,0,360
2022-11-06T05:26:52,0,360,0,360
2022-11-06T05:36:09,0,360,0,360
2022-11-06T05:45:23,0,360,0,360
2022-11-06T05:54:41,0,360,0,360
2022-11-06T06:04:00,0,360,0,360
2022-11-06T06:13:18,0,360,0,360
2022-11-06T06:22:37,0,360,0,360
2022-11-06T06:31:53,0,360,0,360
2022-11-06T06:41:09,0,360,0,360
2022-11-06T06:50:25,0,360,0,360
2022-11-06T06:59:41,0,360,0,360
2022-11-06T07:08:58,0,360,0,360
2022-11-06T07:18:15,0,360,0,360
2022-11-06T07:27:33,0,360,0,360
2022-11-06T07:36:51,0,360,0,360
2022-11-06T07:46:10,0,360,0,360
2022-11-06T07:55:27,0,360,0,360
2022-11-06T08:04:44,0,360,0,360
2022-11-06T08:14:01,0,360,0,360
2022-11-06T08:23:17,0,360,0,360
2022-11-06T08:32:35,0,360,0,360
2022-11-06T08:41:51,0,360,0,360
2022-11-06T08:51:08,0,360,0,360
2022-11-06T09:00:25,0,360,0,360
2022-11-06T09:09:40,0,360,0,360
2022-11-06T09:18:55,0,360,0,360
2022-11-06T09:28:09,0,360,0,360
2022-11-06T09:37:22,0,360,0,360
2022-11-06T09:46:36,0,360,0,360
2022-11-06T09:55:51,0,360,0,360
2022-11-06T10:05:04,0,360,0,360
2022-11-06T10:14:17,0,360,0,360
2022-11-06T10:23:31,0,360,0,360
2022-11-06T10:32:48,0,360,0,360
2022-11-06T10:42:02,0,360,0,360
2022-11-06T10:51:17,0,360,0,360
2022-11-06T11:00:32,0,360,0,360
2022-11-06T11:09:46,0,360,0,360
2022-11-06T11:19:02,0,360,0,360
2022-11-06T11:28:22,0,360,0,360
2022-11-06T11:37:42,0,360,0,360
2022-11-06T11:46:57,0,360,0,360
2022-11-06T11:56:11,0,360,0,360
2022-11-06T12:05:25,0,360,0,360
2022-11-06T12:14:41,0,360,0,360
2022-11-06T12:24:06,0,360,0,360
2022-11-06T12:33:20,0,360,0,360
2022-11-06T12:42:35,0,360,0,360
2022-11-06T12:51:49,0,360,0,360
2022-11-06T13:01:03,0,360,0,360
2022-11-06T13:10:18,0,360,0,360
2022-11-06T13:19:34,0,360,0,360
2022-11-06T13:28:49,0,360,0,360
2022-11-06T13:38:03,0,360,0,360
2022-11-06T13:47:16,0,360,0,360
2022-11-06T13:56:30,0,360,0,360
2022-11-06T14:05:46,0,360,0,360
2022-11-06T14:15:01,0,360,0,360
2022-11-06T14:24:24,0,360,0,360
2022-11-06T14:33:37,0,360,0,360
2022-11-06T14:42:53,0,360,0,360
2022-11-06T14:52:09,0,360,0,360
2022-11-06T15:01:22,0,360,0,360
2022-11-06T15:10:36,0,360,0,360
2022-11-06T15:19:49,0,360,0,360
2022-11-06T15:29:03,0,360,0,360
2022-11-06T15:38:16,0,360,0,360
2022-11-06T15:47:31,0,360,0,360
2022-11-06T15:56:43,0,360,0,360
2022-11-06T16:05:56,0,360,0,360
2022-11-06T16:15:20,0,360,0,360
2022-11-06T16:24:35,0,360,0,360
2022-11-06T16:33:51,0,360,0,360
2022-11-06T16:43:06,0,360,0,360
2022-11-06T16:52:22,0,360,0,360
2022-11-06T17:01:37,0,360,0,360
2022-11-06T17:10:51,0,360,0,360
2022-11-06T17:20:06,0,360,0,360
2022-11-06T17:29:21,0,360,0,360
2022-11-06T17:38:37,0,360,0,360
2022-11-06T17:48:01,0,360,0,360
2022-11-06T17:57:16,0,360,0,360
2022-11-06T18:06:31,0,360,0,360
2022-11-06T18:15:47,0,360,0,360
2022-11-06T18:25:02,0,360,0,360
2022-11-06T18:34:15,0,360,0,360
2022-11-06T18:43:29,0,360,0,360
2022-11-06T18:52:43,0,360,0,360
2022-11-06T19:01:58,0,360,0,360
2022-11-06T19:11:22,0,360,0,360
2022-11-06T19:20:37,0,360,0,360
2022-11-06T19:29:52,0,360,0,360
2022-11-06T19:39:05,0,360,0,360
2022-11-06T19:48:19,0,360,0,360
2022-11-06T19:57:33,0,360,0,360
2022-11-06T20:06:47,0,360,0,360
2022-11-06T20:16:01,0,360,0,360
2022-11-06T20:25:16,0,360,0,360
2022-11-06T20:34:30,0,360,0,360
2022-11-06T20:43:53,0,360,0,360
2022-11-06T20:53:07,0,360,0,360
2022-11-06T21:02:21,0,360,0,360
2022-11-06T21:11:35,0,360,0,360
2022-11-06T21:20:48,0,360,0,360
2022-11-06T21:30:01,0,360,0,360
2022-11-06T21:39:15,0,360,0,360
2022-11-06T21:48:30,0,360,0,360
2022-11-06T21:57:54,0,360,0,360
2022-11-06T22:07:10,0,360,0,360
2022-11-06T22:16:25,0,360,0,360
2022-11-06T22:25:40,0,360,0,360
2022-11-06T22:34:55,0,360,0,360
2022-11-06T22:44:09,0,360,0,360
2022-11-06T22:53:23,0,360,0,360
2022-11-06T23:02:39,0,360,0,360
2022-11-06T23:12:05,0,360,0,360
2022-11-06T23:21:20,0,360,0,360
2022-11-06T23:30:36,0,360,0,360
2022-11-06T23:39:52,0,360,0,360
2022-11-06T23:49:07,0,360,0,360
2022-11-06T23:58:23,0,360,0,360
2022-11-07T00:09:24,0,360,0,360
2022-11-07T00:18:45,0,360,0,360
