time,enrolled,available,waitlisted,total
2022-11-05T20:16:09,0,50,0,50
2022-11-05T20:25:26,0,50,0,50
2022-11-05T20:34:43,0,50,0,50
2022-11-05T20:44:10,0,50,0,50
2022-11-05T20:53:26,0,50,0,50
2022-11-05T21:02:42,0,50,0,50
2022-11-05T21:11:57,0,50,0,50
2022-11-05T21:21:12,0,50,0,50
2022-11-05T21:30:28,0,50,0,50
2022-11-05T21:39:44,0,50,0,50
2022-11-05T21:49:00,0,50,0,50
2022-11-05T21:58:15,0,50,0,50
2022-11-05T22:07:30,0,50,0,50
2022-11-05T22:16:46,0,50,0,50
2022-11-05T22:26:00,0,50,0,50
2022-11-05T22:35:17,0,50,0,50
2022-11-05T22:44:34,0,50,0,50
2022-11-05T22:53:50,0,50,0,50
2022-11-05T23:03:06,0,50,0,50
2022-11-05T23:12:22,0,50,0,50
2022-11-05T23:21:38,0,50,0,50
2022-11-05T23:30:57,0,50,0,50
2022-11-05T23:40:12,0,50,0,50
2022-11-05T23:49:28,0,50,0,50
2022-11-05T23:58:44,0,50,0,50
2022-11-06T00:08:10,0,50,0,50
2022-11-06T00:17:26,0,50,0,50
2022-11-06T00:26:42,0,50,0,50
2022-11-06T00:35:57,0,50,0,50
2022-11-06T00:45:13,0,50,0,50
2022-11-06T00:54:28,0,50,0,50
2022-11-06T01:03:43,0,50,0,50
2022-11-06T01:12:59,0,50,0,50
2022-11-06T01:22:14,0,50,0,50
2022-11-06T01:31:30,0,50,0,50
2022-11-06T01:40:47,0,50,0,50
2022-11-06T01:50:02,0,50,0,50
2022-11-06T01:59:18,0,50,0,50
2022-11-06T01:08:36,0,50,0,50
2022-11-06T01:17:52,0,50,0,50
2022-11-06T01:27:07,0,50,0,50
2022-11-06T01:36:23,0,50,0,50
2022-11-06T01:45:38,0,50,0,50
2022-11-06T01:54:57,0,50,0,50
2022-11-06T02:04:16,0,50,0,50
2022-11-06T02:13:34,0,50,0,50
2022-11-06T02:22:54,0,50,0,50
2022-11-06T02:32:14,0,50,0,50
2022-11-06T02:41:33,0,50,0,50
2022-11-06T02:50:52,0,50,0,50
2022-11-06T03:00:11,0,50,0,50
2022-11-06T03:09:30,0,50,0,50
2022-11-06T03:18:46,0,50,0,50
2022-11-06T03:28:03,0,50,0,50
2022-11-06T03:37:22,0,50,0,50
2022-11-06T03:46:42,0,50,0,50
2022-11-06T03:56:01,0,50,0,50
2022-11-06T04:05:20,0,50,0,50
2022-11-06T04:20:39,0,50,0,50
2022-11-06T04:29:59,0,50,0,50
2022-11-06T04:39:18,0,50,0,50
2022-11-06T04:49:47,0,50,0,50
2022-11-06T04:59:20,0,50,0,50
2022-11-06T05:08:38,0,50,0,50
2022-11-06T05:17:55,0,50,0,50
2022-11-06T05:27:12,0,50,0,50
2022-11-06T05:36:28,0,50,0,50
2022-11-06T05:45:43,0,50,0,50
2022-11-06T05:55:01,0,50,0,50
