time,enrolled,available,waitlisted,total
2022-11-05T20:16:10,0,115,0,115
2022-11-05T20:25:28,0,115,0,115
2022-11-05T20:34:44,0,115,0,115
2022-11-05T20:44:12,0,115,0,115
2022-11-05T20:53:28,0,115,0,115
2022-11-05T21:02:44,0,115,0,115
2022-11-05T21:11:59,0,115,0,115
2022-11-05T21:21:14,0,115,0,115
2022-11-05T21:30:30,0,115,0,115
2022-11-05T21:39:46,0,115,0,115
2022-11-05T21:49:02,0,115,0,115
2022-11-05T21:58:17,0,115,0,115
2022-11-05T22:07:32,0,115,0,115
2022-11-05T22:16:47,0,115,0,115
2022-11-05T22:26:02,0,115,0,115
2022-11-05T22:35:19,0,115,0,115
2022-11-05T22:44:36,0,115,0,115
2022-11-05T22:53:51,0,115,0,115
2022-11-05T23:03:08,0,115,0,115
2022-11-05T23:12:24,0,115,0,115
2022-11-05T23:21:40,0,115,0,115
2022-11-05T23:30:59,0,115,0,115
2022-11-05T23:40:14,0,115,0,115
2022-11-05T23:49:30,0,115,0,115
2022-11-05T23:58:46,0,115,0,115
2022-11-06T00:08:12,0,115,0,115
2022-11-06T00:17:28,0,115,0,115
2022-11-06T00:26:44,0,115,0,115
2022-11-06T00:35:59,0,115,0,115
2022-11-06T00:45:15,0,115,0,115
2022-11-06T00:54:30,0,115,0,115
2022-11-06T01:03:45,0,115,0,115
2022-11-06T01:13:00,0,115,0,115
2022-11-06T01:22:16,0,115,0,115
2022-11-06T01:31:32,0,115,0,115
2022-11-06T01:40:48,0,115,0,115
2022-11-06T01:50:04,0,115,0,115
2022-11-06T01:59:20,0,115,0,115
2022-11-06T01:08:37,0,115,0,115
2022-11-06T01:17:53,0,115,0,115
2022-11-06T01:27:08,0,115,0,115
2022-11-06T01:36:25,0,115,0,115
2022-11-06T01:45:40,0,115,0,115
2022-11-06T01:54:59,0,115,0,115
2022-11-06T02:04:17,0,115,0,115
2022-11-06T02:13:36,0,115,0,115
2022-11-06T02:22:55,0,115,0,115
2022-11-06T02:32:16,0,115,0,115
2022-11-06T02:41:35,0,115,0,115
2022-11-06T02:50:54,0,115,0,115
2022-11-06T03:00:13,0,115,0,115
2022-11-06T03:09:31,0,115,0,115
2022-11-06T03:18:47,0,115,0,115
2022-11-06T03:28:05,0,115,0,115
2022-11-06T03:37:24,0,115,0,115
2022-11-06T03:46:43,0,115,0,115
2022-11-06T03:56:03,0,115,0,115
2022-11-06T04:05:22,0,115,0,115
2022-11-06T04:20:41,0,115,0,115
2022-11-06T04:30:01,0,115,0,115
2022-11-06T04:39:19,0,115,0,115
2022-11-06T04:49:48,0,115,0,115
2022-11-06T04:59:22,0,115,0,115
2022-11-06T05:08:40,0,115,0,115
2022-11-06T05:17:57,0,115,0,115
2022-11-06T05:27:14,0,115,0,115
2022-11-06T05:36:30,0,115,0,115
2022-11-06T05:45:45,0,115,0,115
2022-11-06T05:55:02,0,115,0,115
2022-11-06T06:04:21,0,115,0,115
2022-11-06T06:13:39,0,115,0,115
2022-11-06T06:22:58,0,115,0,115
2022-11-06T06:32:14,0,115,0,115
2022-11-06T06:41:31,0,115,0,115
2022-11-06T06:50:46,0,115,0,115
2022-11-06T07:00:02,0,115,0,115
2022-11-06T07:09:19,0,115,0,115
2022-11-06T07:18:37,0,115,0,115
2022-11-06T07:27:54,0,115,0,115
2022-11-06T07:37:12,0,115,0,115
2022-11-06T07:46:32,0,115,0,115
2022-11-06T07:55:49,0,115,0,115
2022-11-06T08:05:05,0,115,0,115
2022-11-06T08:14:22,0,115,0,115
2022-11-06T08:23:39,0,115,0,115
2022-11-06T08:32:56,0,115,0,115
2022-11-06T08:42:13,0,115,0,115
2022-11-06T08:51:29,0,115,0,115
2022-11-06T09:00:47,0,115,0,115
2022-11-06T09:10:01,0,115,0,115
2022-11-06T09:19:16,0,115,0,115
2022-11-06T09:28:30,0,115,0,115
2022-11-06T09:37:43,0,115,0,115
2022-11-06T09:46:58,0,115,0,115
2022-11-06T09:56:12,0,115,0,115
2022-11-06T10:05:25,0,115,0,115
2022-11-06T10:14:38,0,115,0,115
2022-11-06T10:23:52,0,115,0,115
2022-11-06T10:33:09,0,115,0,115
2022-11-06T10:42:24,0,115,0,115
2022-11-06T10:51:38,0,115,0,115
2022-11-06T11:00:54,0,115,0,115
2022-11-06T11:10:07,0,115,0,115
2022-11-06T11:19:24,0,115,0,115
2022-11-06T11:28:44,0,115,0,115
2022-11-06T11:38:04,0,115,0,115
2022-11-06T11:47:18,0,115,0,115
2022-11-06T11:56:32,0,115,0,115
2022-11-06T12:05:46,0,115,0,115
2022-11-06T12:15:02,0,115,0,115
2022-11-06T12:24:28,0,115,0,115
2022-11-06T12:33:41,0,115,0,115
2022-11-06T12:42:56,0,115,0,115
2022-11-06T12:52:11,0,115,0,115
2022-11-06T13:01:24,0,115,0,115
2022-11-06T13:10:39,0,115,0,115
2022-11-06T13:19:55,0,115,0,115
2022-11-06T13:29:11,0,115,0,115
2022-11-06T13:38:24,0,115,0,115
2022-11-06T13:47:38,0,115,0,115
2022-11-06T13:56:51,0,115,0,115
2022-11-06T14:06:07,0,115,0,115
2022-11-06T14:15:22,0,115,0,115
2022-11-06T14:24:45,0,115,0,115
2022-11-06T14:33:58,0,115,0,115
2022-11-06T14:43:15,0,115,0,115
2022-11-06T14:52:30,0,115,0,115
2022-11-06T15:01:43,0,115,0,115
2022-11-06T15:10:57,0,115,0,115
2022-11-06T15:20:10,0,115,0,115
2022-11-06T15:29:24,0,115,0,115
2022-11-06T15:38:38,0,115,0,115
2022-11-06T15:47:52,0,115,0,115
2022-11-06T15:57:04,0,115,0,115
2022-11-06T16:06:17,0,115,0,115
2022-11-06T16:15:41,0,115,0,115
2022-11-06T16:24:56,0,115,0,115
2022-11-06T16:34:13,0,115,0,115
2022-11-06T16:43:28,0,115,0,115
2022-11-06T16:52:43,0,115,0,115
2022-11-06T17:01:58,0,115,0,115
2022-11-06T17:11:13,0,115,0,115
2022-11-06T17:20:27,0,115,0,115
2022-11-06T17:29:42,0,115,0,115
2022-11-06T17:38:58,0,115,0,115
2022-11-06T17:48:23,0,115,0,115
2022-11-06T17:57:37,0,115,0,115
2022-11-06T18:06:52,0,115,0,115
2022-11-06T18:16:08,0,115,0,115
2022-11-06T18:25:23,0,115,0,115
2022-11-06T18:34:36,0,115,0,115
2022-11-06T18:43:50,0,115,0,115
2022-11-06T18:53:04,0,115,0,115
2022-11-06T19:02:19,0,115,0,115
2022-11-06T19:11:44,0,115,0,115
2022-11-06T19:20:58,0,115,0,115
2022-11-06T19:30:13,0,115,0,115
2022-11-06T19:39:26,0,115,0,115
2022-11-06T19:48:40,0,115,0,115
2022-11-06T19:57:54,0,115,0,115
2022-11-06T20:07:08,0,115,0,115
2022-11-06T20:16:22,0,115,0,115
2022-11-06T20:25:38,0,115,0,115
2022-11-06T20:34:51,0,115,0,115
2022-11-06T20:44:14,0,115,0,115
2022-11-06T20:53:28,0,115,0,115
2022-11-06T21:02:43,0,115,0,115
2022-11-06T21:11:57,0,115,0,115
2022-11-06T21:21:09,0,115,0,115
2022-11-06T21:30:22,0,115,0,115
2022-11-06T21:39:36,0,115,0,115
2022-11-06T21:48:51,0,115,0,115
2022-11-06T21:58:16,0,115,0,115
2022-11-06T22:07:31,0,115,0,115
2022-11-06T22:16:47,0,115,0,115
2022-11-06T22:26:01,0,115,0,115
2022-11-06T22:35:17,0,115,0,115
2022-11-06T22:44:31,0,115,0,115
2022-11-06T22:53:45,0,115,0,115
2022-11-06T23:03:01,0,115,0,115
2022-11-06T23:12:26,0,115,0,115
2022-11-06T23:21:42,0,115,0,115
2022-11-06T23:30:58,0,115,0,115
2022-11-06T23:40:13,0,115,0,115
2022-11-06T23:49:28,0,115,0,115
2022-11-06T23:58:44,0,115,0,115
2022-11-07T00:09:45,0,115,0,115
2022-11-07T00:19:07,0,115,0,115
2022-11-07T00:28:34,0,115,0,115
2022-11-07T00:37:52,0,115,0,115
2022-11-07T00:47:06,0,115,0,115
2022-11-07T00:56:21,0,115,0,115
2022-11-07T01:05:36,0,115,0,115
2022-11-07T01:14:56,0,115,0,115
