time,enrolled,available,waitlisted,total
2022-11-05T20:16:15,0,9999,0,9999
2022-11-05T20:25:32,0,9999,0,9999
2022-11-05T20:34:49,0,9999,0,9999
2022-11-05T20:44:16,0,9999,0,9999
2022-11-05T20:53:32,0,9999,0,9999
2022-11-05T21:02:48,0,9999,0,9999
2022-11-05T21:12:03,0,9999,0,9999
2022-11-05T21:21:18,0,9999,0,9999
2022-11-05T21:30:34,0,9999,0,9999
2022-11-05T21:39:50,0,9999,0,9999
2022-11-05T21:49:06,0,9999,0,9999
2022-11-05T21:58:21,0,9999,0,9999
2022-11-05T22:07:37,0,9999,0,9999
2022-11-05T22:16:52,0,9999,0,9999
2022-11-05T22:26:06,0,9999,0,9999
2022-11-05T22:35:23,0,9999,0,9999
2022-11-05T22:44:40,0,9999,0,9999
2022-11-05T22:53:56,0,9999,0,9999
2022-11-05T23:03:12,0,9999,0,9999
2022-11-05T23:12:28,0,9999,0,9999
2022-11-05T23:21:45,0,9999,0,9999
2022-11-05T23:31:03,0,9999,0,9999
2022-11-05T23:40:18,0,9999,0,9999
2022-11-05T23:49:35,0,9999,0,9999
2022-11-05T23:58:50,0,9999,0,9999
2022-11-06T00:08:16,0,9999,0,9999
2022-11-06T00:17:32,0,9999,0,9999
2022-11-06T00:26:48,0,9999,0,9999
2022-11-06T00:36:03,0,9999,0,9999
2022-11-06T00:45:19,0,9999,0,9999
2022-11-06T00:54:34,0,9999,0,9999
2022-11-06T01:03:49,0,9999,0,9999
2022-11-06T01:13:05,0,9999,0,9999
2022-11-06T01:22:21,0,9999,0,9999
2022-11-06T01:31:36,0,9999,0,9999
2022-11-06T01:40:53,0,9999,0,9999
2022-11-06T01:50:08,0,9999,0,9999
2022-11-06T01:59:24,0,9999,0,9999
2022-11-06T01:08:42,0,9999,0,9999
2022-11-06T01:17:58,0,9999,0,9999
2022-11-06T01:27:13,0,9999,0,9999
2022-11-06T01:36:29,0,9999,0,9999
2022-11-06T01:45:44,0,9999,0,9999
2022-11-06T01:55:03,0,9999,0,9999
2022-11-06T02:04:22,0,9999,0,9999
2022-11-06T02:13:40,0,9999,0,9999
2022-11-06T02:23:00,0,9999,0,9999
2022-11-06T02:32:20,0,9999,0,9999
2022-11-06T02:41:39,0,9999,0,9999
2022-11-06T02:50:58,0,9999,0,9999
2022-11-06T03:00:17,0,9999,0,9999
2022-11-06T03:09:36,0,9999,0,9999
2022-11-06T03:18:52,0,9999,0,9999
2022-11-06T03:28:09,0,9999,0,9999
2022-11-06T03:37:28,0,9999,0,9999
2022-11-06T03:46:48,0,9999,0,9999
2022-11-06T03:56:07,0,9999,0,9999
2022-11-06T04:05:26,0,9999,0,9999
2022-11-06T04:20:46,0,9999,0,9999
2022-11-06T04:30:05,0,9999,0,9999
2022-11-06T04:39:24,0,9999,0,9999
2022-11-06T04:49:53,0,9999,0,9999
2022-11-06T04:59:27,0,9999,0,9999
2022-11-06T05:08:44,0,9999,0,9999
2022-11-06T05:18:01,0,9999,0,9999
2022-11-06T05:27:18,0,9999,0,9999
2022-11-06T05:36:34,0,9999,0,9999
2022-11-06T05:45:49,0,9999,0,9999
2022-11-06T05:55:07,0,9999,0,9999
2022-11-06T06:04:25,0,9999,0,9999
2022-11-06T06:13:44,0,9999,0,9999
2022-11-06T06:23:02,0,9999,0,9999
2022-11-06T06:32:19,0,9999,0,9999
2022-11-06T06:41:35,0,9999,0,9999
2022-11-06T06:50:50,0,9999,0,9999
2022-11-06T07:00:07,0,9999,0,9999
2022-11-06T07:09:24,0,9999,0,9999
2022-11-06T07:18:41,0,9999,0,9999
2022-11-06T07:27:58,0,9999,0,9999
2022-11-06T07:37:17,0,9999,0,9999
2022-11-06T07:46:36,0,9999,0,9999
2022-11-06T07:55:53,0,9999,0,9999
2022-11-06T08:05:09,0,9999,0,9999
2022-11-06T08:14:26,0,9999,0,9999
2022-11-06T08:23:43,0,9999,0,9999
2022-11-06T08:33:01,0,9999,0,9999
2022-11-06T08:42:17,0,9999,0,9999
2022-11-06T08:51:33,0,9999,0,9999
2022-11-06T09:00:51,0,9999,0,9999
2022-11-06T09:10:06,0,9999,0,9999
2022-11-06T09:19:21,0,9999,0,9999
2022-11-06T09:28:34,0,9999,0,9999
2022-11-06T09:37:48,0,9999,0,9999
2022-11-06T09:47:02,0,9999,0,9999
2022-11-06T09:56:17,0,9999,0,9999
2022-11-06T10:05:29,0,9999,0,9999
2022-11-06T10:14:42,0,9999,0,9999
2022-11-06T10:23:56,0,9999,0,9999
2022-11-06T10:33:13,0,9999,0,9999
2022-11-06T10:42:28,0,9999,0,9999
2022-11-06T10:51:42,0,9999,0,9999
2022-11-06T11:00:58,0,9999,0,9999
2022-11-06T11:10:11,0,9999,0,9999
2022-11-06T11:19:28,0,9999,0,9999
2022-11-06T11:28:48,0,9999,0,9999
2022-11-06T11:38:08,0,9999,0,9999
2022-11-06T11:47:22,0,9999,0,9999
2022-11-06T11:56:37,0,9999,0,9999
2022-11-06T12:05:50,0,9999,0,9999
2022-11-06T12:15:06,0,9999,0,9999
2022-11-06T12:24:32,0,9999,0,9999
2022-11-06T12:33:45,0,9999,0,9999
2022-11-06T12:43:00,0,9999,0,9999
2022-11-06T12:52:15,0,9999,0,9999
2022-11-06T13:01:29,0,9999,0,9999
2022-11-06T13:10:43,0,9999,0,9999
2022-11-06T13:20:00,0,9999,0,9999
2022-11-06T13:29:15,0,9999,0,9999
2022-11-06T13:38:28,0,9999,0,9999
2022-11-06T13:47:42,0,9999,0,9999
2022-11-06T13:56:55,0,9999,0,9999
2022-11-06T14:06:11,0,9999,0,9999
2022-11-06T14:15:26,0,9999,0,9999
2022-11-06T14:24:49,0,9999,0,9999
2022-11-06T14:34:03,0,9999,0,9999
2022-11-06T14:43:19,0,9999,0,9999
2022-11-06T14:52:34,0,9999,0,9999
2022-11-06T15:01:47,0,9999,0,9999
2022-11-06T15:11:01,0,9999,0,9999
2022-11-06T15:20:15,0,9999,0,9999
2022-11-06T15:29:29,0,9999,0,9999
2022-11-06T15:38:42,0,9999,0,9999
2022-11-06T15:47:57,0,9999,0,9999
2022-11-06T15:57:09,0,9999,0,9999
2022-11-06T16:06:22,0,9999,0,9999
2022-11-06T16:15:45,0,9999,0,9999
2022-11-06T16:25:00,0,9999,0,9999
2022-11-06T16:34:17,0,9999,0,9999
2022-11-06T16:43:32,0,9999,0,9999
2022-11-06T16:52:48,0,9999,0,9999
2022-11-06T17:02:02,0,9999,0,9999
2022-11-06T17:11:17,0,9999,0,9999
2022-11-06T17:20:31,0,9999,0,9999
2022-11-06T17:29:47,0,9999,0,9999
2022-11-06T17:39:02,0,9999,0,9999
2022-11-06T17:48:27,0,9999,0,9999
2022-11-06T17:57:41,0,9999,0,9999
2022-11-06T18:06:57,0,9999,0,9999
2022-11-06T18:16:13,0,9999,0,9999
2022-11-06T18:25:27,0,9999,0,9999
2022-11-06T18:34:41,0,9999,0,9999
2022-11-06T18:43:54,0,9999,0,9999
2022-11-06T18:53:09,0,9999,0,9999
2022-11-06T19:02:24,0,9999,0,9999
2022-11-06T19:11:48,0,9999,0,9999
2022-11-06T19:21:02,0,9999,0,9999
2022-11-06T19:30:17,0,9999,0,9999
2022-11-06T19:39:31,0,9999,0,9999
2022-11-06T19:48:44,0,9999,0,9999
2022-11-06T19:57:58,0,9999,0,9999
2022-11-06T20:07:12,0,9999,0,9999
2022-11-06T20:16:27,0,9999,0,9999
2022-11-06T20:25:42,0,9999,0,9999
2022-11-06T20:34:55,0,9999,0,9999
2022-11-06T20:44:18,0,9999,0,9999
2022-11-06T20:53:32,0,9999,0,9999
2022-11-06T21:02:47,0,9999,0,9999
2022-11-06T21:12:01,0,9999,0,9999
2022-11-06T21:21:13,0,9999,0,9999
2022-11-06T21:30:27,0,9999,0,9999
2022-11-06T21:39:41,0,9999,0,9999
2022-11-06T21:48:56,0,9999,0,9999
2022-11-06T21:58:20,0,9999,0,9999
2022-11-06T22:07:35,0,9999,0,9999
2022-11-06T22:16:51,0,9999,0,9999
2022-11-06T22:26:05,0,9999,0,9999
2022-11-06T22:35:21,0,9999,0,9999
2022-11-06T22:44:35,0,9999,0,9999
2022-11-06T22:53:49,0,9999,0,9999
2022-11-06T23:03:05,0,9999,0,9999
2022-11-06T23:12:30,0,9999,0,9999
2022-11-06T23:21:46,0,9999,0,9999
2022-11-06T23:31:02,0,9999,0,9999
2022-11-06T23:40:17,0,9999,0,9999
2022-11-06T23:49:33,0,9999,0,9999
2022-11-06T23:58:48,0,9999,0,9999
2022-11-07T00:09:50,0,9999,0,9999
2022-11-07T00:19:11,0,9999,0,9999
2022-11-07T00:28:38,0,9999,0,9999
2022-11-07T00:37:56,0,9999,0,9999
2022-11-07T00:47:10,0,9999,0,9999
2022-11-07T00:56:25,0,9999,0,9999
2022-11-07T01:05:40,0,9999,0,9999
2022-11-07T01:15:01,0,9999,0,9999
2022-11-07T01:24:17,0,9999,0,9999
2022-11-07T01:33:32,0,9999,0,9999
2022-11-07T01:42:56,0,9999,0,9999
2022-11-07T01:52:11,0,9999,0,9999
2022-11-07T02:01:26,0,9999,0,9999
2022-11-07T02:10:40,0,9999,0,9999
2022-11-07T02:19:55,0,9999,0,9999
2022-11-07T02:29:09,0,9999,0,9999
2022-11-07T02:38:24,0,9999,0,9999
2022-11-07T02:47:38,0,9999,0,9999
2022-11-07T02:56:52,0,9999,0,9999
2022-11-07T03:06:07,0,9999,0,9999
2022-11-07T03:15:21,0,9999,0,9999
2022-11-07T03:24:37,0,9999,0,9999
2022-11-07T03:33:52,0,9999,0,9999
2022-11-07T03:43:08,0,9999,0,9999
2022-11-07T03:52:24,0,9999,0,9999
2022-11-07T04:01:41,0,9999,0,9999
2022-11-07T04:10:59,0,9999,0,9999
2022-11-07T04:28:31,0,9999,0,9999
2022-11-07T04:37:48,0,9999,0,9999
2022-11-07T04:47:06,0,9999,0,9999
2022-11-07T04:56:21,0,9999,0,9999
2022-11-07T05:05:36,0,9999,0,9999
2022-11-07T05:14:51,0,9999,0,9999
2022-11-07T05:24:04,0,9999,0,9999
2022-11-07T05:33:18,0,9999,0,9999
2022-11-07T05:42:32,0,9999,0,9999
2022-11-07T05:51:48,0,9999,0,9999
2022-11-07T06:01:04,0,9999,0,9999
2022-11-07T06:10:22,0,9999,0,9999
2022-11-07T06:19:38,0,9999,0,9999
2022-11-07T06:28:57,0,9999,0,9999
2022-11-07T06:38:13,0,9999,0,9999
2022-11-07T06:47:30,0,9999,0,9999
2022-11-07T06:56:46,0,9999,0,9999
2022-11-07T07:06:03,0,9999,0,9999
2022-11-07T07:15:20,0,9999,0,9999
2022-11-07T07:24:37,0,9999,0,9999
2022-11-07T07:33:54,0,9999,0,9999
2022-11-07T07:43:12,0,9999,0,9999
2022-11-07T07:52:32,0,9999,0,9999
2022-11-07T08:01:51,0,9999,0,9999
2022-11-07T08:11:09,0,9999,0,9999
2022-11-07T08:20:28,0,9999,0,9999
2022-11-07T08:29:47,0,9999,0,9999
2022-11-07T08:39:15,0,9999,0,9999
2022-11-07T08:48:32,0,9999,0,9999
2022-11-07T08:57:49,0,9999,0,9999
2022-11-07T09:07:08,0,9999,0,9999
2022-11-07T09:16:30,0,9999,0,9999
2022-11-07T09:25:49,0,9999,0,9999
2022-11-07T09:35:10,0,9999,0,9999
2022-11-07T09:44:46,0,9999,0,9999
2022-11-07T09:54:05,0,9999,0,9999
2022-11-07T10:03:24,0,9999,0,9999
2022-11-07T10:12:42,0,9999,0,9999
2022-11-07T10:22:01,0,9999,0,9999
2022-11-07T10:31:22,0,9999,0,9999
2022-11-07T10:40:54,0,9999,0,9999
2022-11-07T10:50:12,0,9999,0,9999
2022-11-07T10:59:31,0,9999,0,9999
2022-11-07T11:08:52,0,9999,0,9999
2022-11-07T11:18:14,0,9999,0,9999
2022-11-07T11:27:44,0,9999,0,9999
2022-11-07T11:37:05,0,9999,0,9999
2022-11-07T11:46:25,0,9999,0,9999
2022-11-07T11:55:42,0,9999,0,9999
2022-11-07T12:05:00,0,9999,0,9999
2022-11-07T12:14:30,0,9999,0,9999
2022-11-07T12:23:50,0,9999,0,9999
2022-11-07T12:33:10,0,9999,0,9999
2022-11-07T12:42:40,0,9999,0,9999
2022-11-07T12:51:59,0,9999,0,9999
2022-11-07T13:01:21,0,9999,0,9999
