time,enrolled,available,waitlisted,total
2022-11-05T20:16:23,0,50,0,50
2022-11-05T20:25:40,0,50,0,50
2022-11-05T20:34:57,0,50,0,50
2022-11-05T20:44:25,0,50,0,50
2022-11-05T20:53:41,0,50,0,50
2022-11-05T21:02:57,0,50,0,50
2022-11-05T21:12:11,0,50,0,50
2022-11-05T21:21:26,0,50,0,50
2022-11-05T21:30:43,0,50,0,50
2022-11-05T21:39:59,0,50,0,50
2022-11-05T21:49:15,0,50,0,50
2022-11-05T21:58:29,0,50,0,50
2022-11-05T22:07:45,0,50,0,50
2022-11-05T22:17:00,0,50,0,50
2022-11-05T22:26:15,0,50,0,50
2022-11-05T22:35:32,0,50,0,50
2022-11-05T22:44:48,0,50,0,50
2022-11-05T22:54:04,0,50,0,50
2022-11-05T23:03:20,0,50,0,50
2022-11-05T23:12:36,0,50,0,50
2022-11-05T23:21:53,0,50,0,50
2022-11-05T23:31:12,0,50,0,50
2022-11-05T23:40:26,0,50,0,50
2022-11-05T23:49:43,0,50,0,50
2022-11-05T23:58:58,0,50,0,50
2022-11-06T00:08:24,0,50,0,50
2022-11-06T00:17:41,0,50,0,50
2022-11-06T00:26:57,0,50,0,50
2022-11-06T00:36:12,0,50,0,50
2022-11-06T00:45:28,0,50,0,50
2022-11-06T00:54:43,0,50,0,50
2022-11-06T01:03:58,0,50,0,50
2022-11-06T01:13:13,0,50,0,50
2022-11-06T01:22:29,0,50,0,50
2022-11-06T01:31:45,0,50,0,50
2022-11-06T01:41:01,0,50,0,50
2022-11-06T01:50:16,0,50,0,50
2022-11-06T01:59:32,0,50,0,50
2022-11-06T01:08:50,0,50,0,50
2022-11-06T01:18:06,0,50,0,50
2022-11-06T01:27:21,0,50,0,50
2022-11-06T01:36:37,0,50,0,50
2022-11-06T01:45:53,0,50,0,50
2022-11-06T01:55:11,0,50,0,50
2022-11-06T02:04:30,0,50,0,50
2022-11-06T02:13:49,0,50,0,50
2022-11-06T02:23:08,0,50,0,50
2022-11-06T02:32:29,0,50,0,50
2022-11-06T02:41:48,0,50,0,50
2022-11-06T02:51:07,0,50,0,50
2022-11-06T03:00:26,0,50,0,50
2022-11-06T03:09:44,0,50,0,50
2022-11-06T03:19:00,0,50,0,50
2022-11-06T03:28:17,0,50,0,50
2022-11-06T03:37:36,0,50,0,50
2022-11-06T03:46:56,0,50,0,50
2022-11-06T03:56:16,0,50,0,50
2022-11-06T04:05:34,0,50,0,50
2022-11-06T04:20:54,0,50,0,50
2022-11-06T04:30:13,0,50,0,50
2022-11-06T04:39:32,0,50,0,50
2022-11-06T04:50:01,0,50,0,50
2022-11-06T04:59:35,0,50,0,50
2022-11-06T05:08:53,0,50,0,50
2022-11-06T05:18:09,0,50,0,50
2022-11-06T05:27:26,0,50,0,50
2022-11-06T05:36:43,0,50,0,50
2022-11-06T05:45:57,0,50,0,50
2022-11-06T05:55:15,0,50,0,50
2022-11-06T06:04:34,0,50,0,50
2022-11-06T06:13:52,0,50,0,50
2022-11-06T06:23:11,0,50,0,50
2022-11-06T06:32:27,0,50,0,50
2022-11-06T06:41:44,0,50,0,50
2022-11-06T06:50:58,0,50,0,50
2022-11-06T07:00:15,0,50,0,50
2022-11-06T07:09:32,0,50,0,50
2022-11-06T07:18:49,0,50,0,50
2022-11-06T07:28:07,0,50,0,50
2022-11-06T07:37:25,0,50,0,50
2022-11-06T07:46:44,0,50,0,50
2022-11-06T07:56:01,0,50,0,50
2022-11-06T08:05:18,0,50,0,50
2022-11-06T08:14:35,0,50,0,50
2022-11-06T08:23:51,0,50,0,50
2022-11-06T08:33:09,0,50,0,50
2022-11-06T08:42:25,0,50,0,50
2022-11-06T08:51:42,0,50,0,50
2022-11-06T09:00:59,0,50,0,50
2022-11-06T09:10:14,0,50,0,50
2022-11-06T09:19:29,0,50,0,50
2022-11-06T09:28:43,0,50,0,50
2022-11-06T09:37:56,0,50,0,50
2022-11-06T09:47:10,0,50,0,50
2022-11-06T09:56:25,0,50,0,50
2022-11-06T10:05:37,0,50,0,50
2022-11-06T10:14:51,0,50,0,50
2022-11-06T10:24:05,0,50,0,50
2022-11-06T10:33:21,0,50,0,50
2022-11-06T10:42:36,0,50,0,50
2022-11-06T10:51:50,0,50,0,50
2022-11-06T11:01:06,0,50,0,50
2022-11-06T11:10:20,0,50,0,50
2022-11-06T11:19:36,0,50,0,50
2022-11-06T11:28:57,0,50,0,50
2022-11-06T11:38:16,0,50,0,50
2022-11-06T11:47:31,0,50,0,50
2022-11-06T11:56:45,0,50,0,50
2022-11-06T12:05:59,0,50,0,50
2022-11-06T12:15:15,0,50,0,50
2022-11-06T12:24:40,0,50,0,50
2022-11-06T12:33:54,0,50,0,50
