time,enrolled,available,waitlisted,total
2022-11-05T20:16:36,0,175,0,175
2022-11-05T20:25:54,0,175,0,175
2022-11-05T20:35:21,0,175,0,175
2022-11-05T20:44:38,0,175,0,175
2022-11-05T20:53:54,0,175,0,175
2022-11-05T21:03:10,0,175,0,175
2022-11-05T21:12:25,0,175,0,175
2022-11-05T21:21:40,0,175,0,175
2022-11-05T21:30:56,0,175,0,175
2022-11-05T21:40:12,0,175,0,175
2022-11-05T21:49:28,0,175,0,175
2022-11-05T21:58:43,0,175,0,175
2022-11-05T22:07:58,0,175,0,175
2022-11-05T22:17:13,0,175,0,175
2022-11-05T22:26:28,0,175,0,175
2022-11-05T22:35:45,0,175,0,175
2022-11-05T22:45:02,0,175,0,175
2022-11-05T22:54:17,0,175,0,175
2022-11-05T23:03:34,0,175,0,175
2022-11-05T23:12:50,0,175,0,175
2022-11-05T23:22:06,0,175,0,175
2022-11-05T23:31:25,0,175,0,175
2022-11-05T23:40:40,0,175,0,175
2022-11-05T23:49:56,0,175,0,175
2022-11-05T23:59:12,0,175,0,175
2022-11-06T00:08:38,0,175,0,175
2022-11-06T00:17:54,0,175,0,175
2022-11-06T00:27:10,0,175,0,175
2022-11-06T00:36:25,0,175,0,175
2022-11-06T00:45:41,0,175,0,175
2022-11-06T00:54:56,0,175,0,175
2022-11-06T01:04:11,0,175,0,175
2022-11-06T01:13:26,0,175,0,175
2022-11-06T01:22:42,0,175,0,175
2022-11-06T01:31:58,0,175,0,175
2022-11-06T01:41:14,0,175,0,175
2022-11-06T01:50:30,0,175,0,175
2022-11-06T01:59:46,0,175,0,175
2022-11-06T01:09:03,0,175,0,175
2022-11-06T01:18:19,0,175,0,175
2022-11-06T01:27:35,0,175,0,175
2022-11-06T01:36:51,0,175,0,175
2022-11-06T01:46:06,0,175,0,175
2022-11-06T01:55:25,0,175,0,175
2022-11-06T02:04:44,0,175,0,175
2022-11-06T02:14:02,0,175,0,175
2022-11-06T02:23:22,0,175,0,175
2022-11-06T02:32:42,0,175,0,175
2022-11-06T02:42:01,0,175,0,175
2022-11-06T02:51:20,0,175,0,175
2022-11-06T03:00:39,0,175,0,175
2022-11-06T03:09:57,0,175,0,175
2022-11-06T03:19:14,0,175,0,175
2022-11-06T03:28:31,0,175,0,175
2022-11-06T03:37:50,0,175,0,175
2022-11-06T03:47:10,0,175,0,175
2022-11-06T03:56:29,0,175,0,175
2022-11-06T04:21:08,0,175,0,175
2022-11-06T04:30:27,0,175,0,175
2022-11-06T04:39:46,0,175,0,175
