time,enrolled,available,waitlisted,total
2022-11-05T20:16:38,0,30,0,30
2022-11-05T20:25:56,0,30,0,30
2022-11-05T20:35:23,0,30,0,30
2022-11-05T20:44:40,0,30,0,30
2022-11-05T20:53:56,0,30,0,30
2022-11-05T21:03:12,0,30,0,30
2022-11-05T21:12:26,0,30,0,30
2022-11-05T21:21:42,0,30,0,30
2022-11-05T21:30:58,0,30,0,30
2022-11-05T21:40:14,0,30,0,30
2022-11-05T21:49:30,0,30,0,30
2022-11-05T21:58:45,0,30,0,30
2022-11-05T22:08:00,0,30,0,30
2022-11-05T22:17:15,0,30,0,30
2022-11-05T22:26:30,0,30,0,30
2022-11-05T22:35:47,0,30,0,30
2022-11-05T22:45:04,0,30,0,30
2022-11-05T22:54:19,0,30,0,30
2022-11-05T23:03:36,0,30,0,30
2022-11-05T23:12:52,0,30,0,30
2022-11-05T23:22:08,0,30,0,30
2022-11-05T23:31:27,0,30,0,30
2022-11-05T23:40:42,0,30,0,30
2022-11-05T23:49:58,0,30,0,30
2022-11-05T23:59:14,0,30,0,30
2022-11-06T00:08:40,0,30,0,30
2022-11-06T00:17:56,0,30,0,30
2022-11-06T00:27:12,0,30,0,30
2022-11-06T00:36:27,0,30,0,30
2022-11-06T00:45:43,0,30,0,30
2022-11-06T00:54:58,0,30,0,30
2022-11-06T01:04:13,0,30,0,30
2022-11-06T01:13:28,0,30,0,30
2022-11-06T01:22:44,0,30,0,30
2022-11-06T01:32:00,0,30,0,30
2022-11-06T01:41:16,0,30,0,30
2022-11-06T01:50:31,0,30,0,30
2022-11-06T01:59:48,0,30,0,30
2022-11-06T01:09:05,0,30,0,30
2022-11-06T01:18:21,0,30,0,30
2022-11-06T01:27:36,0,30,0,30
2022-11-06T01:36:52,0,30,0,30
2022-11-06T01:46:08,0,30,0,30
2022-11-06T01:55:27,0,30,0,30
2022-11-06T02:04:45,0,30,0,30
2022-11-06T02:14:04,0,30,0,30
2022-11-06T02:23:23,0,30,0,30
2022-11-06T02:32:44,0,30,0,30
2022-11-06T02:42:03,0,30,0,30
2022-11-06T02:51:22,0,30,0,30
