time,enrolled,available,waitlisted,total
2022-11-05T20:16:52,0,9999,0,9999
2022-11-05T20:26:09,0,9999,0,9999
2022-11-05T20:35:37,0,9999,0,9999
2022-11-05T20:44:53,0,9999,0,9999
2022-11-05T20:54:09,0,9999,0,9999
2022-11-05T21:03:25,0,9999,0,9999
2022-11-05T21:12:40,0,9999,0,9999
2022-11-05T21:21:55,0,9999,0,9999
2022-11-05T21:31:11,0,9999,0,9999
2022-11-05T21:40:27,0,9999,0,9999
2022-11-05T21:49:43,0,9999,0,9999
2022-11-05T21:58:58,0,9999,0,9999
2022-11-05T22:08:13,0,9999,0,9999
2022-11-05T22:17:29,0,9999,0,9999
2022-11-05T22:26:43,0,9999,0,9999
2022-11-05T22:36:01,0,9999,0,9999
2022-11-05T22:45:17,0,9999,0,9999
2022-11-05T22:54:33,0,9999,0,9999
2022-11-05T23:03:49,0,9999,0,9999
2022-11-05T23:13:05,0,9999,0,9999
2022-11-05T23:22:22,0,9999,0,9999
2022-11-05T23:31:40,0,9999,0,9999
2022-11-05T23:40:55,0,9999,0,9999
2022-11-05T23:50:11,0,9999,0,9999
2022-11-05T23:59:27,0,9999,0,9999
2022-11-06T00:08:53,0,9999,0,9999
2022-11-06T00:18:09,0,9999,0,9999
2022-11-06T00:27:25,0,9999,0,9999
2022-11-06T00:36:40,0,9999,0,9999
2022-11-06T00:45:56,0,9999,0,9999
2022-11-06T00:55:11,0,9999,0,9999
2022-11-06T01:04:26,0,9999,0,9999
2022-11-06T01:13:41,0,9999,0,9999
2022-11-06T01:22:58,0,9999,0,9999
2022-11-06T01:32:13,0,9999,0,9999
2022-11-06T01:41:30,0,9999,0,9999
2022-11-06T01:50:45,0,9999,0,9999
2022-11-06T01:00:02,0,9999,0,9999
2022-11-06T01:09:19,0,9999,0,9999
2022-11-06T01:18:35,0,9999,0,9999
2022-11-06T01:27:50,0,9999,0,9999
2022-11-06T01:37:06,0,9999,0,9999
2022-11-06T01:46:21,0,9999,0,9999
2022-11-06T01:55:40,0,9999,0,9999
2022-11-06T02:04:59,0,9999,0,9999
2022-11-06T02:14:17,0,9999,0,9999
2022-11-06T02:23:37,0,9999,0,9999
2022-11-06T02:32:57,0,9999,0,9999
2022-11-06T02:42:17,0,9999,0,9999
2022-11-06T02:51:36,0,9999,0,9999
2022-11-06T03:00:55,0,9999,0,9999
2022-11-06T03:10:13,0,9999,0,9999
2022-11-06T03:19:29,0,9999,0,9999
2022-11-06T03:28:46,0,9999,0,9999
2022-11-06T03:38:05,0,9999,0,9999
2022-11-06T03:47:25,0,9999,0,9999
2022-11-06T03:56:44,0,9999,0,9999
2022-11-06T04:21:23,0,9999,0,9999
2022-11-06T04:30:42,0,9999,0,9999
2022-11-06T04:40:01,0,9999,0,9999
2022-11-06T04:50:45,0,9999,0,9999
2022-11-06T05:00:04,0,9999,0,9999
2022-11-06T05:09:21,0,9999,0,9999
2022-11-06T05:18:38,0,9999,0,9999
2022-11-06T05:27:55,0,9999,0,9999
2022-11-06T05:37:11,0,9999,0,9999
2022-11-06T05:46:26,0,9999,0,9999
2022-11-06T05:55:44,0,9999,0,9999
2022-11-06T06:05:03,0,9999,0,9999
2022-11-06T06:14:21,0,9999,0,9999
2022-11-06T06:23:39,0,9999,0,9999
2022-11-06T06:32:56,0,9999,0,9999
2022-11-06T06:42:12,0,9999,0,9999
2022-11-06T06:51:27,0,9999,0,9999
2022-11-06T07:00:44,0,9999,0,9999
2022-11-06T07:10:01,0,9999,0,9999
2022-11-06T07:19:18,0,9999,0,9999
2022-11-06T07:28:36,0,9999,0,9999
2022-11-06T07:37:55,0,9999,0,9999
2022-11-06T07:47:13,0,9999,0,9999
2022-11-06T07:56:30,0,9999,0,9999
2022-11-06T08:05:46,0,9999,0,9999
2022-11-06T08:15:03,0,9999,0,9999
2022-11-06T08:24:20,0,9999,0,9999
2022-11-06T08:33:38,0,9999,0,9999
2022-11-06T08:42:54,0,9999,0,9999
2022-11-06T08:52:10,0,9999,0,9999
2022-11-06T09:01:28,0,9999,0,9999
2022-11-06T09:10:42,0,9999,0,9999
2022-11-06T09:19:58,0,9999,0,9999
2022-11-06T09:29:11,0,9999,0,9999
2022-11-06T09:38:24,0,9999,0,9999
2022-11-06T09:47:39,0,9999,0,9999
2022-11-06T09:56:53,0,9999,0,9999
2022-11-06T10:06:06,0,9999,0,9999
2022-11-06T10:15:19,0,9999,0,9999
2022-11-06T10:24:33,0,9999,0,9999
2022-11-06T10:33:50,0,9999,0,9999
2022-11-06T10:43:05,0,9999,0,9999
2022-11-06T10:52:19,0,9999,0,9999
2022-11-06T11:01:35,0,9999,0,9999
2022-11-06T11:10:48,0,9999,0,9999
2022-11-06T11:20:05,0,9999,0,9999
2022-11-06T11:29:26,0,9999,0,9999
2022-11-06T11:38:45,0,9999,0,9999
2022-11-06T11:47:59,0,9999,0,9999
2022-11-06T11:57:14,0,9999,0,9999
2022-11-06T12:06:27,0,9999,0,9999
2022-11-06T12:15:43,0,9999,0,9999
2022-11-06T12:25:09,0,9999,0,9999
2022-11-06T12:34:22,0,9999,0,9999
2022-11-06T12:43:37,0,9999,0,9999
2022-11-06T12:52:52,0,9999,0,9999
2022-11-06T13:02:06,0,9999,0,9999
2022-11-06T13:11:20,0,9999,0,9999
2022-11-06T13:20:36,0,9999,0,9999
2022-11-06T13:29:52,0,9999,0,9999
2022-11-06T13:39:05,0,9999,0,9999
2022-11-06T13:48:19,0,9999,0,9999
2022-11-06T13:57:32,0,9999,0,9999
2022-11-06T14:06:48,0,9999,0,9999
2022-11-06T14:16:03,0,9999,0,9999
2022-11-06T14:25:26,0,9999,0,9999
2022-11-06T14:34:40,0,9999,0,9999
2022-11-06T14:43:56,0,9999,0,9999
2022-11-06T14:53:11,0,9999,0,9999
2022-11-06T15:02:24,0,9999,0,9999
2022-11-06T15:11:38,0,9999,0,9999
2022-11-06T15:20:51,0,9999,0,9999
2022-11-06T15:30:06,0,9999,0,9999
2022-11-06T15:39:19,0,9999,0,9999
2022-11-06T15:48:33,0,9999,0,9999
2022-11-06T15:57:46,0,9999,0,9999
2022-11-06T16:06:58,0,9999,0,9999
