time,enrolled,available,waitlisted,total
2022-11-05T20:16:55,0,25,0,25
2022-11-05T20:26:13,0,25,0,25
2022-11-05T20:35:40,0,25,0,25
2022-11-05T20:44:57,0,25,0,25
2022-11-05T20:54:13,0,25,0,25
2022-11-05T21:03:29,0,25,0,25
2022-11-05T21:12:43,0,25,0,25
2022-11-05T21:21:58,0,25,0,25
2022-11-05T21:31:15,0,25,0,25
2022-11-05T21:40:31,0,25,0,25
2022-11-05T21:49:47,0,25,0,25
2022-11-05T21:59:01,0,25,0,25
2022-11-05T22:08:17,0,25,0,25
2022-11-05T22:17:32,0,25,0,25
2022-11-05T22:26:47,0,25,0,25
2022-11-05T22:36:04,0,25,0,25
2022-11-05T22:45:21,0,25,0,25
2022-11-05T22:54:36,0,25,0,25
2022-11-05T23:03:52,0,25,0,25
2022-11-05T23:13:09,0,25,0,25
2022-11-05T23:22:25,0,25,0,25
2022-11-05T23:31:44,0,25,0,25
2022-11-05T23:40:59,0,25,0,25
2022-11-05T23:50:15,0,25,0,25
2022-11-05T23:59:31,0,25,0,25
2022-11-06T00:08:57,0,25,0,25
2022-11-06T00:18:13,0,25,0,25
2022-11-06T00:27:29,0,25,0,25
2022-11-06T00:36:44,0,25,0,25
2022-11-06T00:46:00,0,25,0,25
2022-11-06T00:55:15,0,25,0,25
2022-11-06T01:04:30,0,25,0,25
2022-11-06T01:13:45,0,25,0,25
2022-11-06T01:23:01,0,25,0,25
2022-11-06T01:32:17,0,25,0,25
2022-11-06T01:41:33,0,25,0,25
2022-11-06T01:50:48,0,25,0,25
2022-11-06T01:00:05,0,25,0,25
2022-11-06T01:09:22,0,25,0,25
2022-11-06T01:18:38,0,25,0,25
2022-11-06T01:27:53,0,25,0,25
2022-11-06T01:37:09,0,25,0,25
2022-11-06T01:46:25,0,25,0,25
2022-11-06T01:55:44,0,25,0,25
2022-11-06T02:05:02,0,25,0,25
2022-11-06T02:14:21,0,25,0,25
2022-11-06T02:23:41,0,25,0,25
2022-11-06T02:33:01,0,25,0,25
2022-11-06T02:42:20,0,25,0,25
2022-11-06T02:51:39,0,25,0,25
2022-11-06T03:00:58,0,25,0,25
2022-11-06T03:10:16,0,25,0,25
2022-11-06T03:19:32,0,25,0,25
2022-11-06T03:28:49,0,25,0,25
2022-11-06T03:38:09,0,25,0,25
2022-11-06T03:47:29,0,25,0,25
2022-11-06T03:56:48,0,25,0,25
2022-11-06T04:21:27,0,25,0,25
2022-11-06T04:30:46,0,25,0,25
2022-11-06T04:40:04,0,25,0,25
2022-11-06T04:50:49,0,25,0,25
2022-11-06T05:00:07,0,25,0,25
2022-11-06T05:09:25,0,25,0,25
2022-11-06T05:18:42,0,25,0,25
2022-11-06T05:27:58,0,25,0,25
2022-11-06T05:37:15,0,25,0,25
2022-11-06T05:46:30,0,25,0,25
2022-11-06T05:55:47,0,25,0,25
2022-11-06T06:05:06,0,25,0,25
2022-11-06T06:14:24,0,25,0,25
2022-11-06T06:23:43,0,25,0,25
2022-11-06T06:32:59,0,25,0,25
2022-11-06T06:42:16,0,25,0,25
2022-11-06T06:51:31,0,25,0,25
2022-11-06T07:00:47,0,25,0,25
2022-11-06T07:10:04,0,25,0,25
2022-11-06T07:19:22,0,25,0,25
2022-11-06T07:28:39,0,25,0,25
2022-11-06T07:37:58,0,25,0,25
2022-11-06T07:47:17,0,25,0,25
2022-11-06T07:56:34,0,25,0,25
2022-11-06T08:05:50,0,25,0,25
2022-11-06T08:15:07,0,25,0,25
2022-11-06T08:24:24,0,25,0,25
2022-11-06T08:33:41,0,25,0,25
2022-11-06T08:42:58,0,25,0,25
2022-11-06T08:52:14,0,25,0,25
2022-11-06T09:01:32,0,25,0,25
2022-11-06T09:10:46,0,25,0,25
2022-11-06T09:20:01,0,25,0,25
2022-11-06T09:29:15,0,25,0,25
2022-11-06T09:38:28,0,25,0,25
2022-11-06T09:47:42,0,25,0,25
2022-11-06T09:56:57,0,25,0,25
2022-11-06T10:06:10,0,25,0,25
2022-11-06T10:15:23,0,25,0,25
2022-11-06T10:24:37,0,25,0,25
2022-11-06T10:33:53,0,25,0,25
2022-11-06T10:43:08,0,25,0,25
2022-11-06T10:52:22,0,25,0,25
2022-11-06T11:01:38,0,25,0,25
2022-11-06T11:10:52,0,25,0,25
2022-11-06T11:20:09,0,25,0,25
2022-11-06T11:29:29,0,25,0,25
2022-11-06T11:38:48,0,25,0,25
2022-11-06T11:48:03,0,25,0,25
2022-11-06T11:57:17,0,25,0,25
2022-11-06T12:06:31,0,25,0,25
2022-11-06T12:15:47,0,25,0,25
2022-11-06T12:25:12,0,25,0,25
2022-11-06T12:34:26,0,25,0,25
2022-11-06T12:43:41,0,25,0,25
2022-11-06T12:52:55,0,25,0,25
2022-11-06T13:02:09,0,25,0,25
2022-11-06T13:11:24,0,25,0,25
2022-11-06T13:20:40,0,25,0,25
2022-11-06T13:29:55,0,25,0,25
2022-11-06T13:39:08,0,25,0,25
2022-11-06T13:48:22,0,25,0,25
2022-11-06T13:57:36,0,25,0,25
2022-11-06T14:06:52,0,25,0,25
2022-11-06T14:16:07,0,25,0,25
2022-11-06T14:25:30,0,25,0,25
2022-11-06T14:34:43,0,25,0,25
2022-11-06T14:43:59,0,25,0,25
