time,enrolled,available,waitlisted,total
2022-11-05T20:16:58,0,86,0,86
2022-11-05T20:26:15,0,86,0,86
2022-11-05T20:35:43,0,86,0,86
2022-11-05T20:44:59,0,86,0,86
2022-11-05T20:54:16,0,86,0,86
2022-11-05T21:03:31,0,86,0,86
2022-11-05T21:12:46,0,86,0,86
2022-11-05T21:22:01,0,86,0,86
2022-11-05T21:31:17,0,86,0,86
2022-11-05T21:40:34,0,86,0,86
2022-11-05T21:49:49,0,86,0,86
2022-11-05T21:59:04,0,86,0,86
2022-11-05T22:08:20,0,86,0,86
2022-11-05T22:17:35,0,86,0,86
2022-11-05T22:26:49,0,86,0,86
2022-11-05T22:36:07,0,86,0,86
2022-11-05T22:45:23,0,86,0,86
2022-11-05T22:54:39,0,86,0,86
2022-11-05T23:03:55,0,86,0,86
2022-11-05T23:13:11,0,86,0,86
2022-11-05T23:22:28,0,86,0,86
2022-11-05T23:31:46,0,86,0,86
2022-11-05T23:41:01,0,86,0,86
2022-11-05T23:50:18,0,86,0,86
2022-11-05T23:59:33,0,86,0,86
2022-11-06T00:08:59,0,86,0,86
2022-11-06T00:18:15,0,86,0,86
2022-11-06T00:27:31,0,86,0,86
2022-11-06T00:36:46,0,86,0,86
2022-11-06T00:46:02,0,86,0,86
2022-11-06T00:55:17,0,86,0,86
2022-11-06T01:04:33,0,86,0,86
2022-11-06T01:13:48,0,86,0,86
2022-11-06T01:23:04,0,86,0,86
2022-11-06T01:32:19,0,86,0,86
2022-11-06T01:41:36,0,86,0,86
2022-11-06T01:50:51,0,86,0,86
2022-11-06T01:00:08,0,86,0,86
2022-11-06T01:09:25,0,86,0,86
2022-11-06T01:18:41,0,86,0,86
2022-11-06T01:27:56,0,86,0,86
2022-11-06T01:37:12,0,86,0,86
2022-11-06T01:46:27,0,86,0,86
2022-11-06T01:55:47,0,86,0,86
2022-11-06T02:05:05,0,86,0,86
2022-11-06T02:14:23,0,86,0,86
2022-11-06T02:23:43,0,86,0,86
2022-11-06T02:33:04,0,86,0,86
2022-11-06T02:42:23,0,86,0,86
2022-11-06T02:51:42,0,86,0,86
2022-11-06T03:01:01,0,86,0,86
2022-11-06T03:10:19,0,86,0,86
2022-11-06T03:19:35,0,86,0,86
2022-11-06T03:28:52,0,86,0,86
2022-11-06T03:38:11,0,86,0,86
2022-11-06T03:47:31,0,86,0,86
2022-11-06T03:56:51,0,86,0,86
2022-11-06T04:21:29,0,86,0,86
2022-11-06T04:30:49,0,86,0,86
2022-11-06T04:40:07,0,86,0,86
2022-11-06T04:50:51,0,86,0,86
2022-11-06T05:00:10,0,86,0,86
2022-11-06T05:09:27,0,86,0,86
2022-11-06T05:18:44,0,86,0,86
2022-11-06T05:28:01,0,86,0,86
2022-11-06T05:37:17,0,86,0,86
2022-11-06T05:46:32,0,86,0,86
2022-11-06T05:55:50,0,86,0,86
2022-11-06T06:05:09,0,86,0,86
2022-11-06T06:14:27,0,86,0,86
