time,enrolled,available,waitlisted,total
2022-11-05T20:16:59,0,65,0,65
2022-11-05T20:26:16,0,65,0,65
2022-11-05T20:35:43,0,65,0,65
2022-11-05T20:45:00,0,65,0,65
2022-11-05T20:54:16,0,65,0,65
2022-11-05T21:03:32,0,65,0,65
2022-11-05T21:12:46,0,65,0,65
2022-11-05T21:22:01,0,65,0,65
2022-11-05T21:31:18,0,65,0,65
2022-11-05T21:40:34,0,65,0,65
2022-11-05T21:49:50,0,65,0,65
2022-11-05T21:59:04,0,65,0,65
2022-11-05T22:08:20,0,65,0,65
2022-11-05T22:17:35,0,65,0,65
2022-11-05T22:26:50,0,65,0,65
2022-11-05T22:36:07,0,65,0,65
2022-11-05T22:45:24,0,65,0,65
2022-11-05T22:54:39,0,65,0,65
2022-11-05T23:03:56,0,65,0,65
2022-11-05T23:13:12,0,65,0,65
2022-11-05T23:22:29,0,65,0,65
2022-11-05T23:31:47,0,65,0,65
2022-11-05T23:41:02,0,65,0,65
2022-11-05T23:50:18,0,65,0,65
2022-11-05T23:59:34,0,65,0,65
2022-11-06T00:09:00,0,65,0,65
2022-11-06T00:18:16,0,65,0,65
2022-11-06T00:27:32,0,65,0,65
2022-11-06T00:36:47,0,65,0,65
2022-11-06T00:46:03,0,65,0,65
2022-11-06T00:55:18,0,65,0,65
2022-11-06T01:04:33,0,65,0,65
2022-11-06T01:13:48,0,65,0,65
2022-11-06T01:23:04,0,65,0,65
2022-11-06T01:32:20,0,65,0,65
2022-11-06T01:41:36,0,65,0,65
2022-11-06T01:50:51,0,65,0,65
2022-11-06T01:00:08,0,65,0,65
2022-11-06T01:09:25,0,65,0,65
2022-11-06T01:18:41,0,65,0,65
2022-11-06T01:27:56,0,65,0,65
2022-11-06T01:37:12,0,65,0,65
2022-11-06T01:46:28,0,65,0,65
2022-11-06T01:55:47,0,65,0,65
2022-11-06T02:05:05,0,65,0,65
2022-11-06T02:14:24,0,65,0,65
2022-11-06T02:23:44,0,65,0,65
2022-11-06T02:33:04,0,65,0,65
2022-11-06T02:42:23,0,65,0,65
2022-11-06T02:51:42,0,65,0,65
2022-11-06T03:01:01,0,65,0,65
2022-11-06T03:10:19,0,65,0,65
2022-11-06T03:19:35,0,65,0,65
2022-11-06T03:28:52,0,65,0,65
2022-11-06T03:38:12,0,65,0,65
2022-11-06T03:47:32,0,65,0,65
2022-11-06T03:56:51,0,65,0,65
2022-11-06T04:21:30,0,65,0,65
2022-11-06T04:30:49,0,65,0,65
2022-11-06T04:40:07,0,65,0,65
2022-11-06T04:50:52,0,65,0,65
2022-11-06T05:00:10,0,65,0,65
2022-11-06T05:09:28,0,65,0,65
2022-11-06T05:18:45,0,65,0,65
2022-11-06T05:28:01,0,65,0,65
2022-11-06T05:37:18,0,65,0,65
2022-11-06T05:46:33,0,65,0,65
2022-11-06T05:55:50,0,65,0,65
2022-11-06T06:05:09,0,65,0,65
2022-11-06T06:14:27,0,65,0,65
2022-11-06T06:23:46,0,65,0,65
2022-11-06T06:33:02,0,65,0,65
2022-11-06T06:42:19,0,65,0,65
2022-11-06T06:51:34,0,65,0,65
2022-11-06T07:00:50,0,65,0,65
2022-11-06T07:10:07,0,65,0,65
2022-11-06T07:19:25,0,65,0,65
2022-11-06T07:28:42,0,65,0,65
2022-11-06T07:38:01,0,65,0,65
2022-11-06T07:47:20,0,65,0,65
2022-11-06T07:56:37,0,65,0,65
2022-11-06T08:05:53,0,65,0,65
2022-11-06T08:15:10,0,65,0,65
2022-11-06T08:24:27,0,65,0,65
2022-11-06T08:33:44,0,65,0,65
2022-11-06T08:43:01,0,65,0,65
2022-11-06T08:52:17,0,65,0,65
2022-11-06T09:01:35,0,65,0,65
2022-11-06T09:10:49,0,65,0,65
2022-11-06T09:20:04,0,65,0,65
2022-11-06T09:29:18,0,65,0,65
2022-11-06T09:38:31,0,65,0,65
2022-11-06T09:47:45,0,65,0,65
2022-11-06T09:57:00,0,65,0,65
2022-11-06T10:06:13,0,65,0,65
2022-11-06T10:15:26,0,65,0,65
2022-11-06T10:24:40,0,65,0,65
2022-11-06T10:33:56,0,65,0,65
2022-11-06T10:43:11,0,65,0,65
2022-11-06T10:52:25,0,65,0,65
2022-11-06T11:01:41,0,65,0,65
2022-11-06T11:10:55,0,65,0,65
2022-11-06T11:20:12,0,65,0,65
2022-11-06T11:29:32,0,65,0,65
2022-11-06T11:38:51,0,65,0,65
2022-11-06T11:48:06,0,65,0,65
2022-11-06T11:57:20,0,65,0,65
2022-11-06T12:06:34,0,65,0,65
2022-11-06T12:15:50,0,65,0,65
2022-11-06T12:25:15,0,65,0,65
2022-11-06T12:34:29,0,65,0,65
2022-11-06T12:43:44,0,65,0,65
2022-11-06T12:52:58,0,65,0,65
2022-11-06T13:02:12,0,65,0,65
2022-11-06T13:11:27,0,65,0,65
2022-11-06T13:20:43,0,65,0,65
2022-11-06T13:29:58,0,65,0,65
2022-11-06T13:39:11,0,65,0,65
2022-11-06T13:48:25,0,65,0,65
2022-11-06T13:57:39,0,65,0,65
2022-11-06T14:06:55,0,65,0,65
2022-11-06T14:16:10,0,65,0,65
2022-11-06T14:25:33,0,65,0,65
2022-11-06T14:34:46,0,65,0,65
2022-11-06T14:44:02,0,65,0,65
2022-11-06T14:53:17,0,65,0,65
2022-11-06T15:02:31,0,65,0,65
2022-11-06T15:11:44,0,65,0,65
2022-11-06T15:20:58,0,65,0,65
2022-11-06T15:30:12,0,65,0,65
2022-11-06T15:39:25,0,65,0,65
2022-11-06T15:48:40,0,65,0,65
2022-11-06T15:57:52,0,65,0,65
2022-11-06T16:07:05,0,65,0,65
2022-11-06T16:16:28,0,65,0,65
2022-11-06T16:25:44,0,65,0,65
2022-11-06T16:35:01,0,65,0,65
2022-11-06T16:44:16,0,65,0,65
2022-11-06T16:53:31,0,65,0,65
2022-11-06T17:02:46,0,65,0,65
2022-11-06T17:12:00,0,65,0,65
2022-11-06T17:21:15,0,65,0,65
2022-11-06T17:30:31,0,65,0,65
2022-11-06T17:39:46,0,65,0,65
2022-11-06T17:49:10,0,65,0,65
2022-11-06T17:58:25,0,65,0,65
2022-11-06T18:07:40,0,65,0,65
2022-11-06T18:16:56,0,65,0,65
2022-11-06T18:26:11,0,65,0,65
2022-11-06T18:35:24,0,65,0,65
2022-11-06T18:44:38,0,65,0,65
2022-11-06T18:53:53,0,65,0,65
2022-11-06T19:03:07,0,65,0,65
2022-11-06T19:12:31,0,65,0,65
2022-11-06T19:21:45,0,65,0,65
2022-11-06T19:31:01,0,65,0,65
2022-11-06T19:40:14,0,65,0,65
2022-11-06T19:49:28,0,65,0,65
2022-11-06T19:58:41,0,65,0,65
2022-11-06T20:07:56,0,65,0,65
2022-11-06T20:17:10,0,65,0,65
2022-11-06T20:26:25,0,65,0,65
2022-11-06T20:35:38,0,65,0,65
2022-11-06T20:45:02,0,65,0,65
2022-11-06T20:54:16,0,65,0,65
2022-11-06T21:03:31,0,65,0,65
2022-11-06T21:12:44,0,65,0,65
2022-11-06T21:21:57,0,65,0,65
2022-11-06T21:31:10,0,65,0,65
2022-11-06T21:40:24,0,65,0,65
2022-11-06T21:49:39,0,65,0,65
2022-11-06T21:59:03,0,65,0,65
2022-11-06T22:08:19,0,65,0,65
2022-11-06T22:17:34,0,65,0,65
2022-11-06T22:26:49,0,65,0,65
2022-11-06T22:36:04,0,65,0,65
2022-11-06T22:45:18,0,65,0,65
2022-11-06T22:54:33,0,65,0,65
2022-11-06T23:03:49,0,65,0,65
2022-11-06T23:13:14,0,65,0,65
2022-11-06T23:22:29,0,65,0,65
2022-11-06T23:31:45,0,65,0,65
2022-11-06T23:41:01,0,65,0,65
2022-11-06T23:50:17,0,65,0,65
2022-11-06T23:59:32,0,65,0,65
2022-11-07T00:10:36,0,65,0,65
2022-11-07T00:19:54,0,65,0,65
2022-11-07T00:29:22,0,65,0,65
2022-11-07T00:38:40,0,65,0,65
2022-11-07T00:47:54,0,65,0,65
2022-11-07T00:57:08,0,65,0,65
2022-11-07T01:06:24,0,65,0,65
2022-11-07T01:15:44,0,65,0,65
2022-11-07T01:25:00,0,65,0,65
2022-11-07T01:34:15,0,65,0,65
2022-11-07T01:43:40,0,65,0,65
2022-11-07T01:52:55,0,65,0,65
2022-11-07T02:02:09,0,65,0,65
2022-11-07T02:11:23,0,65,0,65
2022-11-07T02:20:39,0,65,0,65
2022-11-07T02:29:52,0,65,0,65
2022-11-07T02:39:07,0,65,0,65
2022-11-07T02:48:21,0,65,0,65
2022-11-07T02:57:35,0,65,0,65
2022-11-07T03:06:50,0,65,0,65
2022-11-07T03:16:05,0,65,0,65
2022-11-07T03:25:20,0,65,0,65
2022-11-07T03:34:36,0,65,0,65
2022-11-07T03:43:52,0,65,0,65
2022-11-07T03:53:08,0,65,0,65
2022-11-07T04:02:25,0,65,0,65
2022-11-07T04:11:43,0,65,0,65
2022-11-07T04:29:15,0,65,0,65
2022-11-07T04:38:31,0,65,0,65
2022-11-07T04:47:49,0,65,0,65
2022-11-07T04:57:04,0,65,0,65
2022-11-07T05:06:20,0,65,0,65
2022-11-07T05:15:34,0,65,0,65
2022-11-07T05:24:48,0,65,0,65
2022-11-07T05:34:02,0,65,0,65
2022-11-07T05:43:16,0,65,0,65
2022-11-07T05:52:31,0,65,0,65
2022-11-07T06:01:48,0,65,0,65
2022-11-07T06:11:05,0,65,0,65
2022-11-07T06:20:22,0,65,0,65
2022-11-07T06:29:40,0,65,0,65
2022-11-07T06:38:57,0,65,0,65
2022-11-07T06:48:14,0,65,0,65
2022-11-07T06:57:29,0,65,0,65
2022-11-07T07:06:46,0,65,0,65
2022-11-07T07:16:03,0,65,0,65
2022-11-07T07:25:21,0,65,0,65
2022-11-07T07:34:38,0,65,0,65
2022-11-07T07:43:56,0,65,0,65
2022-11-07T07:53:16,0,65,0,65
2022-11-07T08:02:35,0,65,0,65
2022-11-07T08:11:54,0,65,0,65
2022-11-07T08:21:11,0,65,0,65
2022-11-07T08:30:40,0,65,0,65
2022-11-07T08:39:59,0,65,0,65
2022-11-07T08:49:16,0,65,0,65
2022-11-07T08:58:33,0,65,0,65
2022-11-07T09:07:51,0,65,0,65
