time,enrolled,available,waitlisted,total
2022-11-05T20:17:09,0,10,0,10
2022-11-05T20:26:26,0,10,0,10
2022-11-05T20:35:53,0,10,0,10
2022-11-05T20:45:10,0,10,0,10
2022-11-05T20:54:26,0,10,0,10
2022-11-05T21:03:42,0,10,0,10
2022-11-05T21:12:56,0,10,0,10
2022-11-05T21:22:11,0,10,0,10
2022-11-05T21:31:28,0,10,0,10
2022-11-05T21:40:44,0,10,0,10
2022-11-05T21:50:00,0,10,0,10
2022-11-05T21:59:14,0,10,0,10
2022-11-05T22:08:30,0,10,0,10
2022-11-05T22:17:45,0,10,0,10
2022-11-05T22:27:00,0,10,0,10
2022-11-05T22:36:17,0,10,0,10
2022-11-05T22:45:34,0,10,0,10
2022-11-05T22:54:49,0,10,0,10
2022-11-05T23:04:06,0,10,0,10
2022-11-05T23:13:22,0,10,0,10
2022-11-05T23:22:39,0,10,0,10
2022-11-05T23:31:57,0,10,0,10
2022-11-05T23:41:12,0,10,0,10
2022-11-05T23:50:28,0,10,0,10
2022-11-05T23:59:44,0,10,0,10
2022-11-06T00:09:10,0,10,0,10
2022-11-06T00:18:26,0,10,0,10
2022-11-06T00:27:42,0,10,0,10
2022-11-06T00:36:57,0,10,0,10
2022-11-06T00:46:13,0,10,0,10
2022-11-06T00:55:28,0,10,0,10
2022-11-06T01:04:43,0,10,0,10
2022-11-06T01:13:58,0,10,0,10
2022-11-06T01:23:14,0,10,0,10
2022-11-06T01:32:30,0,10,0,10
2022-11-06T01:41:46,0,10,0,10
2022-11-06T01:51:01,0,10,0,10
2022-11-06T01:00:18,0,10,0,10
2022-11-06T01:09:35,0,10,0,10
2022-11-06T01:18:51,0,10,0,10
2022-11-06T01:28:06,0,10,0,10
2022-11-06T01:37:22,0,10,0,10
2022-11-06T01:46:38,0,10,0,10
2022-11-06T01:55:57,0,10,0,10
2022-11-06T02:05:15,0,10,0,10
2022-11-06T02:14:34,0,10,0,10
2022-11-06T02:23:54,0,10,0,10
2022-11-06T02:33:14,0,10,0,10
2022-11-06T02:42:33,0,10,0,10
2022-11-06T02:51:52,0,10,0,10
2022-11-06T03:01:11,0,10,0,10
2022-11-06T03:10:29,0,10,0,10
2022-11-06T03:19:45,0,10,0,10
2022-11-06T03:29:02,0,10,0,10
2022-11-06T03:38:22,0,10,0,10
2022-11-06T03:47:42,0,10,0,10
2022-11-06T03:57:01,0,10,0,10
2022-11-06T04:21:40,0,10,0,10
2022-11-06T04:30:59,0,10,0,10
2022-11-06T04:40:17,0,10,0,10
2022-11-06T04:51:02,0,10,0,10
2022-11-06T05:00:20,0,10,0,10
2022-11-06T05:09:38,0,10,0,10
2022-11-06T05:18:55,0,10,0,10
2022-11-06T05:28:11,0,10,0,10
2022-11-06T05:37:28,0,10,0,10
2022-11-06T05:46:43,0,10,0,10
2022-11-06T05:56:00,0,10,0,10
2022-11-06T06:05:19,0,10,0,10
2022-11-06T06:14:37,0,10,0,10
2022-11-06T06:23:56,0,10,0,10
2022-11-06T06:33:12,0,10,0,10
2022-11-06T06:42:29,0,10,0,10
2022-11-06T06:51:44,0,10,0,10
2022-11-06T07:01:00,0,10,0,10
2022-11-06T07:10:17,0,10,0,10
2022-11-06T07:19:35,0,10,0,10
2022-11-06T07:28:52,0,10,0,10
2022-11-06T07:38:11,0,10,0,10
2022-11-06T07:47:30,0,10,0,10
2022-11-06T07:56:47,0,10,0,10
2022-11-06T08:06:03,0,10,0,10
2022-11-06T08:15:20,0,10,0,10
2022-11-06T08:24:37,0,10,0,10
2022-11-06T08:33:54,0,10,0,10
2022-11-06T08:43:11,0,10,0,10
2022-11-06T08:52:27,0,10,0,10
2022-11-06T09:01:45,0,10,0,10
2022-11-06T09:10:59,0,10,0,10
2022-11-06T09:20:14,0,10,0,10
2022-11-06T09:29:28,0,10,0,10
2022-11-06T09:38:41,0,10,0,10
2022-11-06T09:47:55,0,10,0,10
2022-11-06T09:57:10,0,10,0,10
2022-11-06T10:06:23,0,10,0,10
2022-11-06T10:15:36,0,10,0,10
2022-11-06T10:24:50,0,10,0,10
2022-11-06T10:34:06,0,10,0,10
2022-11-06T10:43:21,0,10,0,10
2022-11-06T10:52:35,0,10,0,10
2022-11-06T11:01:51,0,10,0,10
2022-11-06T11:11:05,0,10,0,10
2022-11-06T11:20:22,0,10,0,10
2022-11-06T11:29:42,0,10,0,10
2022-11-06T11:39:01,0,10,0,10
2022-11-06T11:48:16,0,10,0,10
2022-11-06T11:57:30,0,10,0,10
2022-11-06T12:06:44,0,10,0,10
2022-11-06T12:16:00,0,10,0,10
2022-11-06T12:25:25,0,10,0,10
2022-11-06T12:34:39,0,10,0,10
2022-11-06T12:43:54,0,10,0,10
2022-11-06T12:53:08,0,10,0,10
2022-11-06T13:02:22,0,10,0,10
2022-11-06T13:11:37,0,10,0,10
2022-11-06T13:20:53,0,10,0,10
2022-11-06T13:30:08,0,10,0,10
2022-11-06T13:39:21,0,10,0,10
2022-11-06T13:48:35,0,10,0,10
2022-11-06T13:57:49,0,10,0,10
2022-11-06T14:07:05,0,10,0,10
2022-11-06T14:16:20,0,10,0,10
2022-11-06T14:25:43,0,10,0,10
2022-11-06T14:34:56,0,10,0,10
2022-11-06T14:44:12,0,10,0,10
2022-11-06T14:53:27,0,10,0,10
2022-11-06T15:02:41,0,10,0,10
2022-11-06T15:11:54,0,10,0,10
2022-11-06T15:21:08,0,10,0,10
2022-11-06T15:30:22,0,10,0,10
2022-11-06T15:39:35,0,10,0,10
2022-11-06T15:48:50,0,10,0,10
2022-11-06T15:58:02,0,10,0,10
2022-11-06T16:07:15,0,10,0,10
2022-11-06T16:16:38,0,10,0,10
2022-11-06T16:25:54,0,10,0,10
2022-11-06T16:35:10,0,10,0,10
2022-11-06T16:44:26,0,10,0,10
2022-11-06T16:53:41,0,10,0,10
2022-11-06T17:02:56,0,10,0,10
2022-11-06T17:12:10,0,10,0,10
2022-11-06T17:21:25,0,10,0,10
2022-11-06T17:30:40,0,10,0,10
2022-11-06T17:39:56,0,10,0,10
2022-11-06T17:49:20,0,10,0,10
2022-11-06T17:58:35,0,10,0,10
2022-11-06T18:07:50,0,10,0,10
2022-11-06T18:17:06,0,10,0,10
