time,enrolled,available,waitlisted,total
2022-11-05T20:17:10,0,30,0,30
2022-11-05T20:26:27,0,30,0,30
2022-11-05T20:35:54,0,30,0,30
2022-11-05T20:45:10,0,30,0,30
2022-11-05T20:54:26,0,30,0,30
2022-11-05T21:03:42,0,30,0,30
2022-11-05T21:12:57,0,30,0,30
2022-11-05T21:22:12,0,30,0,30
2022-11-05T21:31:28,0,30,0,30
2022-11-05T21:40:44,0,30,0,30
2022-11-05T21:50:00,0,30,0,30
2022-11-05T21:59:15,0,30,0,30
2022-11-05T22:08:30,0,30,0,30
2022-11-05T22:17:46,0,30,0,30
2022-11-05T22:27:00,0,30,0,30
2022-11-05T22:36:18,0,30,0,30
2022-11-05T22:45:34,0,30,0,30
2022-11-05T22:54:50,0,30,0,30
2022-11-05T23:04:06,0,30,0,30
2022-11-05T23:13:22,0,30,0,30
2022-11-05T23:22:39,0,30,0,30
2022-11-05T23:31:57,0,30,0,30
2022-11-05T23:41:12,0,30,0,30
2022-11-05T23:50:29,0,30,0,30
2022-11-05T23:59:44,0,30,0,30
2022-11-06T00:09:10,0,30,0,30
2022-11-06T00:18:26,0,30,0,30
2022-11-06T00:27:42,0,30,0,30
2022-11-06T00:36:57,0,30,0,30
2022-11-06T00:46:13,0,30,0,30
2022-11-06T00:55:28,0,30,0,30
2022-11-06T01:04:43,0,30,0,30
2022-11-06T01:13:58,0,30,0,30
2022-11-06T01:23:15,0,30,0,30
2022-11-06T01:32:30,0,30,0,30
2022-11-06T01:41:47,0,30,0,30
2022-11-06T01:51:02,0,30,0,30
2022-11-06T01:00:18,0,30,0,30
2022-11-06T01:09:35,0,30,0,30
2022-11-06T01:18:52,0,30,0,30
2022-11-06T01:28:07,0,30,0,30
2022-11-06T01:37:23,0,30,0,30
2022-11-06T01:46:38,0,30,0,30
2022-11-06T01:55:57,0,30,0,30
2022-11-06T02:05:16,0,30,0,30
2022-11-06T02:14:34,0,30,0,30
2022-11-06T02:23:54,0,30,0,30
2022-11-06T02:33:15,0,30,0,30
2022-11-06T02:42:34,0,30,0,30
2022-11-06T02:51:53,0,30,0,30
2022-11-06T03:01:11,0,30,0,30
2022-11-06T03:10:30,0,30,0,30
2022-11-06T03:19:46,0,30,0,30
2022-11-06T03:29:03,0,30,0,30
2022-11-06T03:38:22,0,30,0,30
2022-11-06T03:47:42,0,30,0,30
2022-11-06T03:57:02,0,30,0,30
2022-11-06T04:21:40,0,30,0,30
2022-11-06T04:30:59,0,30,0,30
2022-11-06T04:40:18,0,30,0,30
2022-11-06T04:51:02,0,30,0,30
2022-11-06T05:00:20,0,30,0,30
2022-11-06T05:09:38,0,30,0,30
2022-11-06T05:18:55,0,30,0,30
2022-11-06T05:28:12,0,30,0,30
2022-11-06T05:37:28,0,30,0,30
2022-11-06T05:46:43,0,30,0,30
2022-11-06T05:56:01,0,30,0,30
2022-11-06T06:05:19,0,30,0,30
2022-11-06T06:14:38,0,30,0,30
2022-11-06T06:23:56,0,30,0,30
2022-11-06T06:33:13,0,30,0,30
2022-11-06T06:42:29,0,30,0,30
2022-11-06T06:51:44,0,30,0,30
2022-11-06T07:01:01,0,30,0,30
2022-11-06T07:10:18,0,30,0,30
2022-11-06T07:19:35,0,30,0,30
2022-11-06T07:28:53,0,30,0,30
2022-11-06T07:38:12,0,30,0,30
2022-11-06T07:47:30,0,30,0,30
2022-11-06T07:56:47,0,30,0,30
2022-11-06T08:06:03,0,30,0,30
2022-11-06T08:15:20,0,30,0,30
2022-11-06T08:24:37,0,30,0,30
2022-11-06T08:33:55,0,30,0,30
2022-11-06T08:43:12,0,30,0,30
2022-11-06T08:52:27,0,30,0,30
2022-11-06T09:01:45,0,30,0,30
2022-11-06T09:11:00,0,30,0,30
2022-11-06T09:20:15,0,30,0,30
2022-11-06T09:29:28,0,30,0,30
2022-11-06T09:38:41,0,30,0,30
2022-11-06T09:47:56,0,30,0,30
2022-11-06T09:57:10,0,30,0,30
2022-11-06T10:06:23,0,30,0,30
2022-11-06T10:15:36,0,30,0,30
2022-11-06T10:24:50,0,30,0,30
2022-11-06T10:34:07,0,30,0,30
2022-11-06T10:43:22,0,30,0,30
2022-11-06T10:52:36,0,30,0,30
2022-11-06T11:01:52,0,30,0,30
2022-11-06T11:11:05,0,30,0,30
2022-11-06T11:20:22,0,30,0,30
2022-11-06T11:29:43,0,30,0,30
2022-11-06T11:39:02,0,30,0,30
2022-11-06T11:48:16,0,30,0,30
2022-11-06T11:57:30,0,30,0,30
2022-11-06T12:06:44,0,30,0,30
2022-11-06T12:16:00,0,30,0,30
2022-11-06T12:25:26,0,30,0,30
2022-11-06T12:34:39,0,30,0,30
2022-11-06T12:43:54,0,30,0,30
2022-11-06T12:53:09,0,30,0,30
2022-11-06T13:02:23,0,30,0,30
2022-11-06T13:11:37,0,30,0,30
2022-11-06T13:20:53,0,30,0,30
2022-11-06T13:30:09,0,30,0,30
2022-11-06T13:39:22,0,30,0,30
2022-11-06T13:48:36,0,30,0,30
2022-11-06T13:57:49,0,30,0,30
2022-11-06T14:07:05,0,30,0,30
2022-11-06T14:16:20,0,30,0,30
2022-11-06T14:25:43,0,30,0,30
2022-11-06T14:34:56,0,30,0,30
2022-11-06T14:44:13,0,30,0,30
2022-11-06T14:53:28,0,30,0,30
2022-11-06T15:02:41,0,30,0,30
2022-11-06T15:11:55,0,30,0,30
2022-11-06T15:21:08,0,30,0,30
2022-11-06T15:30:22,0,30,0,30
2022-11-06T15:39:36,0,30,0,30
2022-11-06T15:48:50,0,30,0,30
2022-11-06T15:58:02,0,30,0,30
2022-11-06T16:07:15,0,30,0,30
2022-11-06T16:16:39,0,30,0,30
2022-11-06T16:25:55,0,30,0,30
2022-11-06T16:35:11,0,30,0,30
2022-11-06T16:44:26,0,30,0,30
2022-11-06T16:53:42,0,30,0,30
2022-11-06T17:02:56,0,30,0,30
2022-11-06T17:12:11,0,30,0,30
2022-11-06T17:21:25,0,30,0,30
2022-11-06T17:30:41,0,30,0,30
2022-11-06T17:39:56,0,30,0,30
2022-11-06T17:49:20,0,30,0,30
2022-11-06T17:58:35,0,30,0,30
2022-11-06T18:07:51,0,30,0,30
2022-11-06T18:17:07,0,30,0,30
2022-11-06T18:26:21,0,30,0,30
2022-11-06T18:35:34,0,30,0,30
2022-11-06T18:44:48,0,30,0,30
2022-11-06T18:54:03,0,30,0,30
2022-11-06T19:03:17,0,30,0,30
2022-11-06T19:12:42,0,30,0,30
2022-11-06T19:21:56,0,30,0,30
2022-11-06T19:31:11,0,30,0,30
2022-11-06T19:40:25,0,30,0,30
2022-11-06T19:49:38,0,30,0,30
2022-11-06T19:58:52,0,30,0,30
2022-11-06T20:08:06,0,30,0,30
2022-11-06T20:17:20,0,30,0,30
2022-11-06T20:26:36,0,30,0,30
2022-11-06T20:35:49,0,30,0,30
2022-11-06T20:45:12,0,30,0,30
2022-11-06T20:54:26,0,30,0,30
2022-11-06T21:03:41,0,30,0,30
2022-11-06T21:12:55,0,30,0,30
2022-11-06T21:22:07,0,30,0,30
2022-11-06T21:31:20,0,30,0,30
2022-11-06T21:40:35,0,30,0,30
2022-11-06T21:49:50,0,30,0,30
2022-11-06T21:59:14,0,30,0,30
2022-11-06T22:08:29,0,30,0,30
2022-11-06T22:17:45,0,30,0,30
2022-11-06T22:26:59,0,30,0,30
2022-11-06T22:36:15,0,30,0,30
2022-11-06T22:45:29,0,30,0,30
2022-11-06T22:54:43,0,30,0,30
2022-11-06T23:03:59,0,30,0,30
2022-11-06T23:13:24,0,30,0,30
2022-11-06T23:22:40,0,30,0,30
2022-11-06T23:31:56,0,30,0,30
2022-11-06T23:41:11,0,30,0,30
2022-11-06T23:50:27,0,30,0,30
2022-11-06T23:59:42,0,30,0,30
2022-11-07T00:10:47,0,30,0,30
2022-11-07T00:20:04,0,30,0,30
2022-11-07T00:29:33,0,30,0,30
2022-11-07T00:38:50,0,30,0,30
2022-11-07T00:48:04,0,30,0,30
2022-11-07T00:57:19,0,30,0,30
2022-11-07T01:06:35,0,30,0,30
2022-11-07T01:15:55,0,30,0,30
2022-11-07T01:25:10,0,30,0,30
2022-11-07T01:34:26,0,30,0,30
2022-11-07T01:43:50,0,30,0,30
2022-11-07T01:53:05,0,30,0,30
2022-11-07T02:02:19,0,30,0,30
