time,enrolled,available,waitlisted,total
2022-11-05T20:17:15,0,18,0,18
2022-11-05T20:26:32,0,18,0,18
2022-11-05T20:35:59,0,18,0,18
2022-11-05T20:45:16,0,18,0,18
2022-11-05T20:54:32,0,18,0,18
2022-11-05T21:03:48,0,18,0,18
2022-11-05T21:13:03,0,18,0,18
2022-11-05T21:22:17,0,18,0,18
2022-11-05T21:31:34,0,18,0,18
2022-11-05T21:40:50,0,18,0,18
2022-11-05T21:50:06,0,18,0,18
2022-11-05T21:59:20,0,18,0,18
2022-11-05T22:08:36,0,18,0,18
2022-11-05T22:17:51,0,18,0,18
2022-11-05T22:27:06,0,18,0,18
2022-11-05T22:36:23,0,18,0,18
2022-11-05T22:45:40,0,18,0,18
2022-11-05T22:54:55,0,18,0,18
2022-11-05T23:04:12,0,18,0,18
2022-11-05T23:13:28,0,18,0,18
2022-11-05T23:22:45,0,18,0,18
2022-11-05T23:32:03,0,18,0,18
2022-11-05T23:41:18,0,18,0,18
2022-11-05T23:50:34,0,18,0,18
2022-11-05T23:59:50,0,18,0,18
2022-11-06T00:09:16,0,18,0,18
2022-11-06T00:18:32,0,18,0,18
2022-11-06T00:27:48,0,18,0,18
2022-11-06T00:37:03,0,18,0,18
2022-11-06T00:46:19,0,18,0,18
2022-11-06T00:55:34,0,18,0,18
2022-11-06T01:04:49,0,18,0,18
2022-11-06T01:14:04,0,18,0,18
2022-11-06T01:23:20,0,18,0,18
2022-11-06T01:32:36,0,18,0,18
2022-11-06T01:41:52,0,18,0,18
2022-11-06T01:51:08,0,18,0,18
2022-11-06T01:00:24,0,18,0,18
2022-11-06T01:09:41,0,18,0,18
2022-11-06T01:18:57,0,18,0,18
2022-11-06T01:28:12,0,18,0,18
2022-11-06T01:37:28,0,18,0,18
2022-11-06T01:46:44,0,18,0,18
2022-11-06T01:56:03,0,18,0,18
2022-11-06T02:05:21,0,18,0,18
2022-11-06T02:14:40,0,18,0,18
2022-11-06T02:24:00,0,18,0,18
2022-11-06T02:33:20,0,18,0,18
2022-11-06T02:42:39,0,18,0,18
2022-11-06T02:51:58,0,18,0,18
2022-11-06T03:01:17,0,18,0,18
2022-11-06T03:10:35,0,18,0,18
2022-11-06T03:19:51,0,18,0,18
2022-11-06T03:29:09,0,18,0,18
2022-11-06T03:38:28,0,18,0,18
2022-11-06T03:47:48,0,18,0,18
2022-11-06T03:57:07,0,18,0,18
2022-11-06T04:21:46,0,18,0,18
2022-11-06T04:31:05,0,18,0,18
2022-11-06T04:40:24,0,18,0,18
2022-11-06T04:51:08,0,18,0,18
2022-11-06T05:00:26,0,18,0,18
2022-11-06T05:09:44,0,18,0,18
2022-11-06T05:19:01,0,18,0,18
2022-11-06T05:28:18,0,18,0,18
2022-11-06T05:37:34,0,18,0,18
2022-11-06T05:46:49,0,18,0,18
2022-11-06T05:56:06,0,18,0,18
2022-11-06T06:05:25,0,18,0,18
2022-11-06T06:14:44,0,18,0,18
2022-11-06T06:24:02,0,18,0,18
2022-11-06T06:33:19,0,18,0,18
2022-11-06T06:42:35,0,18,0,18
2022-11-06T06:51:50,0,18,0,18
2022-11-06T07:01:06,0,18,0,18
2022-11-06T07:10:24,0,18,0,18
2022-11-06T07:19:41,0,18,0,18
2022-11-06T07:28:58,0,18,0,18
2022-11-06T07:38:17,0,18,0,18
2022-11-06T07:47:36,0,18,0,18
2022-11-06T07:56:53,0,18,0,18
2022-11-06T08:06:09,0,18,0,18
2022-11-06T08:15:26,0,18,0,18
2022-11-06T08:24:43,0,18,0,18
2022-11-06T08:34:00,0,18,0,18
2022-11-06T08:43:17,0,18,0,18
2022-11-06T08:52:33,0,18,0,18
2022-11-06T09:01:51,0,18,0,18
2022-11-06T09:11:05,0,18,0,18
2022-11-06T09:20:20,0,18,0,18
2022-11-06T09:29:34,0,18,0,18
2022-11-06T09:38:47,0,18,0,18
2022-11-06T09:48:01,0,18,0,18
2022-11-06T09:57:16,0,18,0,18
2022-11-06T10:06:29,0,18,0,18
2022-11-06T10:15:42,0,18,0,18
2022-11-06T10:24:56,0,18,0,18
2022-11-06T10:34:12,0,18,0,18
2022-11-06T10:43:27,0,18,0,18
2022-11-06T10:52:42,0,18,0,18
2022-11-06T11:01:57,0,18,0,18
2022-11-06T11:11:11,0,18,0,18
2022-11-06T11:20:28,0,18,0,18
2022-11-06T11:29:48,0,18,0,18
2022-11-06T11:39:07,0,18,0,18
2022-11-06T11:48:22,0,18,0,18
2022-11-06T11:57:36,0,18,0,18
2022-11-06T12:06:50,0,18,0,18
2022-11-06T12:16:06,0,18,0,18
2022-11-06T12:25:31,0,18,0,18
2022-11-06T12:34:45,0,18,0,18
2022-11-06T12:44:00,0,18,0,18
2022-11-06T12:53:14,0,18,0,18
2022-11-06T13:02:28,0,18,0,18
2022-11-06T13:11:43,0,18,0,18
2022-11-06T13:20:59,0,18,0,18
2022-11-06T13:30:14,0,18,0,18
2022-11-06T13:39:28,0,18,0,18
2022-11-06T13:48:41,0,18,0,18
2022-11-06T13:57:55,0,18,0,18
2022-11-06T14:07:11,0,18,0,18
2022-11-06T14:16:26,0,18,0,18
2022-11-06T14:25:49,0,18,0,18
2022-11-06T14:35:02,0,18,0,18
2022-11-06T14:44:19,0,18,0,18
2022-11-06T14:53:33,0,18,0,18
2022-11-06T15:02:47,0,18,0,18
2022-11-06T15:12:00,0,18,0,18
2022-11-06T15:21:14,0,18,0,18
2022-11-06T15:30:28,0,18,0,18
2022-11-06T15:39:41,0,18,0,18
2022-11-06T15:48:56,0,18,0,18
2022-11-06T15:58:08,0,18,0,18
2022-11-06T16:07:21,0,18,0,18
2022-11-06T16:16:44,0,18,0,18
2022-11-06T16:26:00,0,18,0,18
