time,enrolled,available,waitlisted,total
2022-11-05T20:17:18,0,10,0,10
2022-11-05T20:26:35,0,10,0,10
2022-11-05T20:36:02,0,10,0,10
2022-11-05T20:45:19,0,10,0,10
2022-11-05T20:54:35,0,10,0,10
2022-11-05T21:03:50,0,10,0,10
2022-11-05T21:13:05,0,10,0,10
2022-11-05T21:22:20,0,10,0,10
2022-11-05T21:31:36,0,10,0,10
2022-11-05T21:40:53,0,10,0,10
2022-11-05T21:50:08,0,10,0,10
2022-11-05T21:59:23,0,10,0,10
2022-11-05T22:08:39,0,10,0,10
2022-11-05T22:17:54,0,10,0,10
2022-11-05T22:27:08,0,10,0,10
2022-11-05T22:36:26,0,10,0,10
2022-11-05T22:45:42,0,10,0,10
2022-11-05T22:54:58,0,10,0,10
2022-11-05T23:04:14,0,10,0,10
2022-11-05T23:13:30,0,10,0,10
2022-11-05T23:22:47,0,10,0,10
2022-11-05T23:32:05,0,10,0,10
2022-11-05T23:41:20,0,10,0,10
2022-11-05T23:50:37,0,10,0,10
2022-11-05T23:59:52,0,10,0,10
2022-11-06T00:09:19,0,10,0,10
2022-11-06T00:18:34,0,10,0,10
2022-11-06T00:27:51,0,10,0,10
2022-11-06T00:37:06,0,10,0,10
2022-11-06T00:46:21,0,10,0,10
2022-11-06T00:55:37,0,10,0,10
2022-11-06T01:04:52,0,10,0,10
2022-11-06T01:14:07,0,10,0,10
2022-11-06T01:23:23,0,10,0,10
2022-11-06T01:32:39,0,10,0,10
2022-11-06T01:41:55,0,10,0,10
2022-11-06T01:51:11,0,10,0,10
2022-11-06T01:00:27,0,10,0,10
2022-11-06T01:09:44,0,10,0,10
2022-11-06T01:19:00,0,10,0,10
2022-11-06T01:28:15,0,10,0,10
2022-11-06T01:37:31,0,10,0,10
2022-11-06T01:46:46,0,10,0,10
2022-11-06T01:56:06,0,10,0,10
2022-11-06T02:05:24,0,10,0,10
2022-11-06T02:14:43,0,10,0,10
2022-11-06T02:24:03,0,10,0,10
2022-11-06T02:33:23,0,10,0,10
2022-11-06T02:42:42,0,10,0,10
2022-11-06T02:52:01,0,10,0,10
2022-11-06T03:01:20,0,10,0,10
2022-11-06T03:10:38,0,10,0,10
2022-11-06T03:19:54,0,10,0,10
2022-11-06T03:29:11,0,10,0,10
2022-11-06T03:38:30,0,10,0,10
2022-11-06T03:47:50,0,10,0,10
2022-11-06T03:57:10,0,10,0,10
2022-11-06T04:21:49,0,10,0,10
2022-11-06T04:31:08,0,10,0,10
2022-11-06T04:40:26,0,10,0,10
2022-11-06T04:51:11,0,10,0,10
2022-11-06T05:00:29,0,10,0,10
2022-11-06T05:09:46,0,10,0,10
2022-11-06T05:19:03,0,10,0,10
2022-11-06T05:28:20,0,10,0,10
2022-11-06T05:37:36,0,10,0,10
2022-11-06T05:46:51,0,10,0,10
2022-11-06T05:56:09,0,10,0,10
2022-11-06T06:05:28,0,10,0,10
2022-11-06T06:14:46,0,10,0,10
2022-11-06T06:24:05,0,10,0,10
2022-11-06T06:33:21,0,10,0,10
2022-11-06T06:42:38,0,10,0,10
2022-11-06T06:51:53,0,10,0,10
2022-11-06T07:01:09,0,10,0,10
2022-11-06T07:10:26,0,10,0,10
2022-11-06T07:19:44,0,10,0,10
2022-11-06T07:29:01,0,10,0,10
2022-11-06T07:38:20,0,10,0,10
2022-11-06T07:47:38,0,10,0,10
2022-11-06T07:56:55,0,10,0,10
2022-11-06T08:06:12,0,10,0,10
2022-11-06T08:15:29,0,10,0,10
2022-11-06T08:24:46,0,10,0,10
2022-11-06T08:34:03,0,10,0,10
2022-11-06T08:43:20,0,10,0,10
2022-11-06T08:52:36,0,10,0,10
2022-11-06T09:01:53,0,10,0,10
2022-11-06T09:11:08,0,10,0,10
