time,enrolled,available,waitlisted,total
2022-11-05T20:17:23,0,35,0,35
2022-11-05T20:26:40,0,35,0,35
2022-11-05T20:36:07,0,35,0,35
2022-11-05T20:45:23,0,35,0,35
2022-11-05T20:54:39,0,35,0,35
2022-11-05T21:03:55,0,35,0,35
2022-11-05T21:13:10,0,35,0,35
2022-11-05T21:22:25,0,35,0,35
2022-11-05T21:31:41,0,35,0,35
2022-11-05T21:40:58,0,35,0,35
2022-11-05T21:50:13,0,35,0,35
2022-11-05T21:59:28,0,35,0,35
2022-11-05T22:08:43,0,35,0,35
2022-11-05T22:17:59,0,35,0,35
2022-11-05T22:27:13,0,35,0,35
2022-11-05T22:36:31,0,35,0,35
2022-11-05T22:45:47,0,35,0,35
2022-11-05T22:55:03,0,35,0,35
2022-11-05T23:04:19,0,35,0,35
2022-11-05T23:13:35,0,35,0,35
2022-11-05T23:22:52,0,35,0,35
2022-11-05T23:32:10,0,35,0,35
2022-11-05T23:41:25,0,35,0,35
2022-11-05T23:50:42,0,35,0,35
2022-11-05T23:59:57,0,35,0,35
2022-11-06T00:09:23,0,35,0,35
2022-11-06T00:18:39,0,35,0,35
2022-11-06T00:27:55,0,35,0,35
2022-11-06T00:37:10,0,35,0,35
2022-11-06T00:46:26,0,35,0,35
2022-11-06T00:55:41,0,35,0,35
2022-11-06T01:04:56,0,35,0,35
2022-11-06T01:14:11,0,35,0,35
2022-11-06T01:23:28,0,35,0,35
2022-11-06T01:32:44,0,35,0,35
2022-11-06T01:42:00,0,35,0,35
2022-11-06T01:51:15,0,35,0,35
2022-11-06T01:00:32,0,35,0,35
2022-11-06T01:09:48,0,35,0,35
2022-11-06T01:19:04,0,35,0,35
2022-11-06T01:28:20,0,35,0,35
2022-11-06T01:37:36,0,35,0,35
2022-11-06T01:46:51,0,35,0,35
2022-11-06T01:56:11,0,35,0,35
2022-11-06T02:05:29,0,35,0,35
2022-11-06T02:14:48,0,35,0,35
2022-11-06T02:24:07,0,35,0,35
2022-11-06T02:33:28,0,35,0,35
2022-11-06T02:42:47,0,35,0,35
2022-11-06T02:52:06,0,35,0,35
2022-11-06T03:01:25,0,35,0,35
2022-11-06T03:10:43,0,35,0,35
2022-11-06T03:19:59,0,35,0,35
2022-11-06T03:29:16,0,35,0,35
2022-11-06T03:38:35,0,35,0,35
2022-11-06T03:47:55,0,35,0,35
2022-11-06T03:57:15,0,35,0,35
2022-11-06T04:21:53,0,35,0,35
2022-11-06T04:31:13,0,35,0,35
2022-11-06T04:40:31,0,35,0,35
2022-11-06T04:51:16,0,35,0,35
2022-11-06T05:00:33,0,35,0,35
2022-11-06T05:09:51,0,35,0,35
2022-11-06T05:19:08,0,35,0,35
2022-11-06T05:28:25,0,35,0,35
2022-11-06T05:37:41,0,35,0,35
2022-11-06T05:46:56,0,35,0,35
2022-11-06T05:56:14,0,35,0,35
2022-11-06T06:05:33,0,35,0,35
2022-11-06T06:14:51,0,35,0,35
2022-11-06T06:24:09,0,35,0,35
2022-11-06T06:33:26,0,35,0,35
2022-11-06T06:42:42,0,35,0,35
2022-11-06T06:51:58,0,35,0,35
2022-11-06T07:01:14,0,35,0,35
2022-11-06T07:10:31,0,35,0,35
2022-11-06T07:19:48,0,35,0,35
2022-11-06T07:29:06,0,35,0,35
2022-11-06T07:38:25,0,35,0,35
2022-11-06T07:47:43,0,35,0,35
