time,enrolled,available,waitlisted,total
2022-11-05T20:17:30,0,15,0,15
2022-11-05T20:26:48,0,15,0,15
2022-11-05T20:36:15,0,15,0,15
2022-11-05T20:45:31,0,15,0,15
2022-11-05T20:54:47,0,15,0,15
2022-11-05T21:04:03,0,15,0,15
2022-11-05T21:13:18,0,15,0,15
2022-11-05T21:22:33,0,15,0,15
2022-11-05T21:31:49,0,15,0,15
2022-11-05T21:41:05,0,15,0,15
2022-11-05T21:50:21,0,15,0,15
2022-11-05T21:59:36,0,15,0,15
2022-11-05T22:08:51,0,15,0,15
2022-11-05T22:18:06,0,15,0,15
2022-11-05T22:27:21,0,15,0,15
2022-11-05T22:36:38,0,15,0,15
2022-11-05T22:45:55,0,15,0,15
2022-11-05T22:55:11,0,15,0,15
2022-11-05T23:04:27,0,15,0,15
2022-11-05T23:13:43,0,15,0,15
2022-11-05T23:23:00,0,15,0,15
2022-11-05T23:32:18,0,15,0,15
2022-11-05T23:41:33,0,15,0,15
2022-11-05T23:50:50,0,15,0,15
2022-11-06T00:00:05,0,15,0,15
2022-11-06T00:09:31,0,15,0,15
2022-11-06T00:18:47,0,15,0,15
2022-11-06T00:28:03,0,15,0,15
2022-11-06T00:37:18,0,15,0,15
2022-11-06T00:46:34,0,15,0,15
2022-11-06T00:55:49,0,15,0,15
2022-11-06T01:05:04,0,15,0,15
2022-11-06T01:14:19,0,15,0,15
2022-11-06T01:23:36,0,15,0,15
2022-11-06T01:32:51,0,15,0,15
2022-11-06T01:42:08,0,15,0,15
2022-11-06T01:51:23,0,15,0,15
2022-11-06T01:00:39,0,15,0,15
2022-11-06T01:09:56,0,15,0,15
2022-11-06T01:19:12,0,15,0,15
2022-11-06T01:28:28,0,15,0,15
2022-11-06T01:37:43,0,15,0,15
2022-11-06T01:46:59,0,15,0,15
2022-11-06T01:56:18,0,15,0,15
2022-11-06T02:05:37,0,15,0,15
2022-11-06T02:14:55,0,15,0,15
2022-11-06T02:24:15,0,15,0,15
2022-11-06T02:33:36,0,15,0,15
2022-11-06T02:42:55,0,15,0,15
2022-11-06T02:52:14,0,15,0,15
2022-11-06T03:01:32,0,15,0,15
2022-11-06T03:10:51,0,15,0,15
2022-11-06T03:20:07,0,15,0,15
2022-11-06T03:29:24,0,15,0,15
2022-11-06T03:38:43,0,15,0,15
2022-11-06T03:48:03,0,15,0,15
2022-11-06T03:57:23,0,15,0,15
2022-11-06T04:22:01,0,15,0,15
2022-11-06T04:31:20,0,15,0,15
2022-11-06T04:40:39,0,15,0,15
2022-11-06T04:51:23,0,15,0,15
2022-11-06T05:00:41,0,15,0,15
2022-11-06T05:09:59,0,15,0,15
2022-11-06T05:19:16,0,15,0,15
2022-11-06T05:28:33,0,15,0,15
2022-11-06T05:37:49,0,15,0,15
2022-11-06T05:47:04,0,15,0,15
2022-11-06T05:56:22,0,15,0,15
2022-11-06T06:05:40,0,15,0,15
2022-11-06T06:14:59,0,15,0,15
2022-11-06T06:24:17,0,15,0,15
2022-11-06T06:33:34,0,15,0,15
2022-11-06T06:42:50,0,15,0,15
2022-11-06T06:52:06,0,15,0,15
2022-11-06T07:01:22,0,15,0,15
2022-11-06T07:10:39,0,15,0,15
2022-11-06T07:19:56,0,15,0,15
2022-11-06T07:29:13,0,15,0,15
2022-11-06T07:38:33,0,15,0,15
2022-11-06T07:47:51,0,15,0,15
2022-11-06T07:57:08,0,15,0,15
2022-11-06T08:06:25,0,15,0,15
2022-11-06T08:15:41,0,15,0,15
2022-11-06T08:24:58,0,15,0,15
2022-11-06T08:34:16,0,15,0,15
2022-11-06T08:43:32,0,15,0,15
2022-11-06T08:52:48,0,15,0,15
2022-11-06T09:02:06,0,15,0,15
