time,enrolled,available,waitlisted,total
2022-11-05T20:17:37,0,25,0,25
2022-11-05T20:26:54,0,25,0,25
2022-11-05T20:36:21,0,25,0,25
2022-11-05T20:45:38,0,25,0,25
2022-11-05T20:54:54,0,25,0,25
2022-11-05T21:04:09,0,25,0,25
2022-11-05T21:13:24,0,25,0,25
2022-11-05T21:22:39,0,25,0,25
2022-11-05T21:31:55,0,25,0,25
2022-11-05T21:41:12,0,25,0,25
2022-11-05T21:50:27,0,25,0,25
2022-11-05T21:59:42,0,25,0,25
2022-11-05T22:08:58,0,25,0,25
2022-11-05T22:18:13,0,25,0,25
2022-11-05T22:27:28,0,25,0,25
2022-11-05T22:36:45,0,25,0,25
2022-11-05T22:46:01,0,25,0,25
2022-11-05T22:55:17,0,25,0,25
2022-11-05T23:04:33,0,25,0,25
2022-11-05T23:13:49,0,25,0,25
2022-11-05T23:23:06,0,25,0,25
2022-11-05T23:32:25,0,25,0,25
2022-11-05T23:41:39,0,25,0,25
2022-11-05T23:50:56,0,25,0,25
2022-11-06T00:00:11,0,25,0,25
2022-11-06T00:09:38,0,25,0,25
2022-11-06T00:18:54,0,25,0,25
2022-11-06T00:28:10,0,25,0,25
2022-11-06T00:37:25,0,25,0,25
2022-11-06T00:46:40,0,25,0,25
2022-11-06T00:55:56,0,25,0,25
2022-11-06T01:05:11,0,25,0,25
2022-11-06T01:14:26,0,25,0,25
2022-11-06T01:23:42,0,25,0,25
2022-11-06T01:32:58,0,25,0,25
2022-11-06T01:42:14,0,25,0,25
2022-11-06T01:51:30,0,25,0,25
2022-11-06T01:00:46,0,25,0,25
2022-11-06T01:10:03,0,25,0,25
2022-11-06T01:19:19,0,25,0,25
2022-11-06T01:28:34,0,25,0,25
2022-11-06T01:37:50,0,25,0,25
2022-11-06T01:47:05,0,25,0,25
2022-11-06T01:56:25,0,25,0,25
2022-11-06T02:05:43,0,25,0,25
2022-11-06T02:15:02,0,25,0,25
2022-11-06T02:24:22,0,25,0,25
2022-11-06T02:33:43,0,25,0,25
2022-11-06T02:43:01,0,25,0,25
2022-11-06T02:52:20,0,25,0,25
2022-11-06T03:01:39,0,25,0,25
2022-11-06T03:10:57,0,25,0,25
2022-11-06T03:20:14,0,25,0,25
2022-11-06T03:29:30,0,25,0,25
2022-11-06T03:38:50,0,25,0,25
2022-11-06T03:48:10,0,25,0,25
2022-11-06T03:57:29,0,25,0,25
2022-11-06T04:22:08,0,25,0,25
2022-11-06T04:31:27,0,25,0,25
2022-11-06T04:40:45,0,25,0,25
2022-11-06T04:51:30,0,25,0,25
2022-11-06T05:00:48,0,25,0,25
2022-11-06T05:10:05,0,25,0,25
2022-11-06T05:19:22,0,25,0,25
2022-11-06T05:28:39,0,25,0,25
2022-11-06T05:37:55,0,25,0,25
2022-11-06T05:47:11,0,25,0,25
2022-11-06T05:56:28,0,25,0,25
2022-11-06T06:05:47,0,25,0,25
2022-11-06T06:15:05,0,25,0,25
2022-11-06T06:24:24,0,25,0,25
2022-11-06T06:33:40,0,25,0,25
2022-11-06T06:42:57,0,25,0,25
2022-11-06T06:52:12,0,25,0,25
2022-11-06T07:01:28,0,25,0,25
2022-11-06T07:10:45,0,25,0,25
2022-11-06T07:20:03,0,25,0,25
2022-11-06T07:29:20,0,25,0,25
2022-11-06T07:38:39,0,25,0,25
2022-11-06T07:47:58,0,25,0,25
2022-11-06T07:57:14,0,25,0,25
2022-11-06T08:06:31,0,25,0,25
2022-11-06T08:15:48,0,25,0,25
2022-11-06T08:25:05,0,25,0,25
2022-11-06T08:34:22,0,25,0,25
2022-11-06T08:43:39,0,25,0,25
2022-11-06T08:52:55,0,25,0,25
2022-11-06T09:02:12,0,25,0,25
2022-11-06T09:11:27,0,25,0,25
2022-11-06T09:20:42,0,25,0,25
2022-11-06T09:29:55,0,25,0,25
2022-11-06T09:39:09,0,25,0,25
2022-11-06T09:48:23,0,25,0,25
2022-11-06T09:57:37,0,25,0,25
2022-11-06T10:06:50,0,25,0,25
2022-11-06T10:16:04,0,25,0,25
2022-11-06T10:25:17,0,25,0,25
2022-11-06T10:34:34,0,25,0,25
2022-11-06T10:43:49,0,25,0,25
2022-11-06T10:53:04,0,25,0,25
2022-11-06T11:02:19,0,25,0,25
2022-11-06T11:11:33,0,25,0,25
2022-11-06T11:20:50,0,25,0,25
2022-11-06T11:30:10,0,25,0,25
2022-11-06T11:39:29,0,25,0,25
2022-11-06T11:48:43,0,25,0,25
2022-11-06T11:57:58,0,25,0,25
2022-11-06T12:07:11,0,25,0,25
2022-11-06T12:16:27,0,25,0,25
2022-11-06T12:25:53,0,25,0,25
2022-11-06T12:35:07,0,25,0,25
2022-11-06T12:44:21,0,25,0,25
2022-11-06T12:53:36,0,25,0,25
2022-11-06T13:02:50,0,25,0,25
2022-11-06T13:12:05,0,25,0,25
2022-11-06T13:21:21,0,25,0,25
2022-11-06T13:30:36,0,25,0,25
2022-11-06T13:39:49,0,25,0,25
2022-11-06T13:49:03,0,25,0,25
2022-11-06T13:58:17,0,25,0,25
2022-11-06T14:07:32,0,25,0,25
2022-11-06T14:16:47,0,25,0,25
2022-11-06T14:26:10,0,25,0,25
2022-11-06T14:35:24,0,25,0,25
