time,enrolled,available,waitlisted,total
2022-11-05T20:17:33,0,60,0,60
2022-11-05T20:26:50,0,60,0,60
2022-11-05T20:36:17,0,60,0,60
2022-11-05T20:45:34,0,60,0,60
2022-11-05T20:54:50,0,60,0,60
2022-11-05T21:04:05,0,60,0,60
2022-11-05T21:13:20,0,60,0,60
2022-11-05T21:22:35,0,60,0,60
2022-11-05T21:31:52,0,60,0,60
2022-11-05T21:41:08,0,60,0,60
2022-11-05T21:50:23,0,60,0,60
2022-11-05T21:59:38,0,60,0,60
2022-11-05T22:08:54,0,60,0,60
2022-11-05T22:18:09,0,60,0,60
2022-11-05T22:27:24,0,60,0,60
2022-11-05T22:36:41,0,60,0,60
2022-11-05T22:45:58,0,60,0,60
2022-11-05T22:55:13,0,60,0,60
2022-11-05T23:04:30,0,60,0,60
2022-11-05T23:13:46,0,60,0,60
2022-11-05T23:23:03,0,60,0,60
2022-11-05T23:32:21,0,60,0,60
2022-11-05T23:41:36,0,60,0,60
2022-11-05T23:50:52,0,60,0,60
2022-11-06T00:00:08,0,60,0,60
2022-11-06T00:09:34,0,60,0,60
2022-11-06T00:18:50,0,60,0,60
2022-11-06T00:28:06,0,60,0,60
2022-11-06T00:37:21,0,60,0,60
2022-11-06T00:46:37,0,60,0,60
2022-11-06T00:55:52,0,60,0,60
2022-11-06T01:05:07,0,60,0,60
2022-11-06T01:14:22,0,60,0,60
2022-11-06T01:23:38,0,60,0,60
2022-11-06T01:32:54,0,60,0,60
2022-11-06T01:42:10,0,60,0,60
2022-11-06T01:51:26,0,60,0,60
2022-11-06T01:00:42,0,60,0,60
2022-11-06T01:09:59,0,60,0,60
2022-11-06T01:19:15,0,60,0,60
2022-11-06T01:28:30,0,60,0,60
2022-11-06T01:37:46,0,60,0,60
2022-11-06T01:47:02,0,60,0,60
2022-11-06T01:56:21,0,60,0,60
2022-11-06T02:05:39,0,60,0,60
2022-11-06T02:14:58,0,60,0,60
2022-11-06T02:24:18,0,60,0,60
2022-11-06T02:33:39,0,60,0,60
2022-11-06T02:42:57,0,60,0,60
2022-11-06T02:52:16,0,60,0,60
2022-11-06T03:01:35,0,60,0,60
2022-11-06T03:10:53,0,60,0,60
2022-11-06T03:20:10,0,60,0,60
2022-11-06T03:29:26,0,60,0,60
2022-11-06T03:38:46,0,60,0,60
2022-11-06T03:48:06,0,60,0,60
2022-11-06T03:57:25,0,60,0,60
2022-11-06T04:22:04,0,60,0,60
2022-11-06T04:31:23,0,60,0,60
2022-11-06T04:40:42,0,60,0,60
2022-11-06T04:51:26,0,60,0,60
2022-11-06T05:00:44,0,60,0,60
2022-11-06T05:10:02,0,60,0,60
2022-11-06T05:19:19,0,60,0,60
2022-11-06T05:28:35,0,60,0,60
2022-11-06T05:37:51,0,60,0,60
2022-11-06T05:47:07,0,60,0,60
2022-11-06T05:56:24,0,60,0,60
2022-11-06T06:05:43,0,60,0,60
2022-11-06T06:15:01,0,60,0,60
2022-11-06T06:24:20,0,60,0,60
2022-11-06T06:33:36,0,60,0,60
2022-11-06T06:42:53,0,60,0,60
2022-11-06T06:52:08,0,60,0,60
2022-11-06T07:01:24,0,60,0,60
2022-11-06T07:10:41,0,60,0,60
2022-11-06T07:19:59,0,60,0,60
2022-11-06T07:29:16,0,60,0,60
2022-11-06T07:38:35,0,60,0,60
2022-11-06T07:47:54,0,60,0,60
2022-11-06T07:57:11,0,60,0,60
2022-11-06T08:06:27,0,60,0,60
2022-11-06T08:15:44,0,60,0,60
2022-11-06T08:25:01,0,60,0,60
2022-11-06T08:34:18,0,60,0,60
2022-11-06T08:43:35,0,60,0,60
2022-11-06T08:52:51,0,60,0,60
2022-11-06T09:02:08,0,60,0,60
2022-11-06T09:11:23,0,60,0,60
2022-11-06T09:20:38,0,60,0,60
2022-11-06T09:29:51,0,60,0,60
2022-11-06T09:39:05,0,60,0,60
2022-11-06T09:48:19,0,60,0,60
2022-11-06T09:57:33,0,60,0,60
2022-11-06T10:06:46,0,60,0,60
2022-11-06T10:16:00,0,60,0,60
2022-11-06T10:25:13,0,60,0,60
2022-11-06T10:34:30,0,60,0,60
2022-11-06T10:43:45,0,60,0,60
2022-11-06T10:53:00,0,60,0,60
2022-11-06T11:02:15,0,60,0,60
2022-11-06T11:11:29,0,60,0,60
2022-11-06T11:20:46,0,60,0,60
2022-11-06T11:30:06,0,60,0,60
2022-11-06T11:39:25,0,60,0,60
2022-11-06T11:48:40,0,60,0,60
2022-11-06T11:57:54,0,60,0,60
2022-11-06T12:07:08,0,60,0,60
2022-11-06T12:16:24,0,60,0,60
2022-11-06T12:25:49,0,60,0,60
2022-11-06T12:35:03,0,60,0,60
2022-11-06T12:44:17,0,60,0,60
2022-11-06T12:53:32,0,60,0,60
2022-11-06T13:02:46,0,60,0,60
2022-11-06T13:12:01,0,60,0,60
2022-11-06T13:21:17,0,60,0,60
2022-11-06T13:30:32,0,60,0,60
2022-11-06T13:39:45,0,60,0,60
2022-11-06T13:48:59,0,60,0,60
2022-11-06T13:58:13,0,60,0,60
2022-11-06T14:07:28,0,60,0,60
2022-11-06T14:16:43,0,60,0,60
2022-11-06T14:26:07,0,60,0,60
2022-11-06T14:35:20,0,60,0,60
2022-11-06T14:44:36,0,60,0,60
2022-11-06T14:53:51,0,60,0,60
2022-11-06T15:03:05,0,60,0,60
2022-11-06T15:12:18,0,60,0,60
2022-11-06T15:21:32,0,60,0,60
2022-11-06T15:30:46,0,60,0,60
2022-11-06T15:39:59,0,60,0,60
2022-11-06T15:49:13,0,60,0,60
2022-11-06T15:58:26,0,60,0,60
2022-11-06T16:07:39,0,60,0,60
2022-11-06T16:17:02,0,60,0,60
2022-11-06T16:26:18,0,60,0,60
2022-11-06T16:35:35,0,60,0,60
2022-11-06T16:44:49,0,60,0,60
2022-11-06T16:54:05,0,60,0,60
2022-11-06T17:03:20,0,60,0,60
2022-11-06T17:12:34,0,60,0,60
2022-11-06T17:21:49,0,60,0,60
2022-11-06T17:31:04,0,60,0,60
2022-11-06T17:40:20,0,60,0,60
2022-11-06T17:49:44,0,60,0,60
2022-11-06T17:58:59,0,60,0,60
2022-11-06T18:08:14,0,60,0,60
2022-11-06T18:17:30,0,60,0,60
2022-11-06T18:26:44,0,60,0,60
2022-11-06T18:35:58,0,60,0,60
2022-11-06T18:45:12,0,60,0,60
2022-11-06T18:54:26,0,60,0,60
2022-11-06T19:03:41,0,60,0,60
2022-11-06T19:13:05,0,60,0,60
2022-11-06T19:22:19,0,60,0,60
2022-11-06T19:31:35,0,60,0,60
2022-11-06T19:40:48,0,60,0,60
2022-11-06T19:50:01,0,60,0,60
2022-11-06T19:59:15,0,60,0,60
2022-11-06T20:08:29,0,60,0,60
2022-11-06T20:17:44,0,60,0,60
2022-11-06T20:26:59,0,60,0,60
2022-11-06T20:36:21,0,60,0,60
2022-11-06T20:45:35,0,60,0,60
2022-11-06T20:54:49,0,60,0,60
2022-11-06T21:04:05,0,60,0,60
2022-11-06T21:13:18,0,60,0,60
2022-11-06T21:22:30,0,60,0,60
