time,enrolled,available,waitlisted,total
2022-11-05T20:18:03,0,44,0,44
2022-11-05T20:27:20,0,44,0,44
2022-11-05T20:36:48,0,44,0,44
2022-11-05T20:46:04,0,44,0,44
2022-11-05T20:55:20,0,44,0,44
2022-11-05T21:04:35,0,44,0,44
2022-11-05T21:13:51,0,44,0,44
2022-11-05T21:23:05,0,44,0,44
2022-11-05T21:32:22,0,44,0,44
2022-11-05T21:41:38,0,44,0,44
2022-11-05T21:50:53,0,44,0,44
2022-11-05T22:00:08,0,44,0,44
2022-11-05T22:09:24,0,44,0,44
2022-11-05T22:18:39,0,44,0,44
2022-11-05T22:27:54,0,44,0,44
2022-11-05T22:37:11,0,44,0,44
2022-11-05T22:46:28,0,44,0,44
2022-11-05T22:55:43,0,44,0,44
2022-11-05T23:05:00,0,44,0,44
2022-11-05T23:14:16,0,44,0,44
2022-11-05T23:23:32,0,44,0,44
2022-11-05T23:32:51,0,44,0,44
2022-11-05T23:42:06,0,44,0,44
2022-11-05T23:51:22,0,44,0,44
2022-11-06T00:00:38,0,44,0,44
2022-11-06T00:10:04,0,44,0,44
2022-11-06T00:19:20,0,44,0,44
2022-11-06T00:28:36,0,44,0,44
2022-11-06T00:37:51,0,44,0,44
2022-11-06T00:47:07,0,44,0,44
2022-11-06T00:56:22,0,44,0,44
2022-11-06T01:05:37,0,44,0,44
2022-11-06T01:14:52,0,44,0,44
2022-11-06T01:24:08,0,44,0,44
2022-11-06T01:33:24,0,44,0,44
2022-11-06T01:42:40,0,44,0,44
2022-11-06T01:51:56,0,44,0,44
2022-11-06T01:01:12,0,44,0,44
2022-11-06T01:10:29,0,44,0,44
2022-11-06T01:19:45,0,44,0,44
2022-11-06T01:29:01,0,44,0,44
2022-11-06T01:38:16,0,44,0,44
2022-11-06T01:47:32,0,44,0,44
2022-11-06T01:56:51,0,44,0,44
2022-11-06T02:06:09,0,44,0,44
2022-11-06T02:15:28,0,44,0,44
2022-11-06T02:24:48,0,44,0,44
2022-11-06T02:34:09,0,44,0,44
2022-11-06T02:43:27,0,44,0,44
2022-11-06T02:52:47,0,44,0,44
2022-11-06T03:02:05,0,44,0,44
2022-11-06T03:11:23,0,44,0,44
2022-11-06T03:20:40,0,44,0,44
2022-11-06T03:29:56,0,44,0,44
2022-11-06T03:39:16,0,44,0,44
2022-11-06T03:48:36,0,44,0,44
2022-11-06T03:57:55,0,44,0,44
2022-11-06T04:22:34,0,44,0,44
2022-11-06T04:31:53,0,44,0,44
2022-11-06T04:41:12,0,44,0,44
2022-11-06T04:51:56,0,44,0,44
2022-11-06T05:01:14,0,44,0,44
2022-11-06T05:10:32,0,44,0,44
2022-11-06T05:19:49,0,44,0,44
2022-11-06T05:29:05,0,44,0,44
2022-11-06T05:38:21,0,44,0,44
2022-11-06T05:47:37,0,44,0,44
2022-11-06T05:56:54,0,44,0,44
2022-11-06T06:06:13,0,44,0,44
2022-11-06T06:15:32,0,44,0,44
2022-11-06T06:24:50,0,44,0,44
2022-11-06T06:34:06,0,44,0,44
2022-11-06T06:43:23,0,44,0,44
2022-11-06T06:52:38,0,44,0,44
2022-11-06T07:01:54,0,44,0,44
2022-11-06T07:11:12,0,44,0,44
2022-11-06T07:20:29,0,44,0,44
2022-11-06T07:29:46,0,44,0,44
2022-11-06T07:39:05,0,44,0,44
2022-11-06T07:48:24,0,44,0,44
2022-11-06T07:57:41,0,44,0,44
2022-11-06T08:06:57,0,44,0,44
2022-11-06T08:16:14,0,44,0,44
2022-11-06T08:25:31,0,44,0,44
