time,enrolled,available,waitlisted,total
2022-11-05T20:18:06,0,290,0,290
2022-11-05T20:27:23,0,290,0,290
2022-11-05T20:36:51,0,290,0,290
2022-11-05T20:46:07,0,290,0,290
2022-11-05T20:55:23,0,290,0,290
2022-11-05T21:04:38,0,290,0,290
2022-11-05T21:13:54,0,290,0,290
2022-11-05T21:23:08,0,290,0,290
2022-11-05T21:32:25,0,290,0,290
2022-11-05T21:41:41,0,290,0,290
2022-11-05T21:50:56,0,290,0,290
2022-11-05T22:00:11,0,290,0,290
2022-11-05T22:09:27,0,290,0,290
2022-11-05T22:18:42,0,290,0,290
2022-11-05T22:27:57,0,290,0,290
2022-11-05T22:37:14,0,290,0,290
2022-11-05T22:46:31,0,290,0,290
2022-11-05T22:55:46,0,290,0,290
2022-11-05T23:05:03,0,290,0,290
2022-11-05T23:14:19,0,290,0,290
2022-11-05T23:23:35,0,290,0,290
2022-11-05T23:32:54,0,290,0,290
2022-11-05T23:42:09,0,290,0,290
2022-11-05T23:51:25,0,290,0,290
2022-11-06T00:00:41,0,290,0,290
2022-11-06T00:10:07,0,290,0,290
2022-11-06T00:19:23,0,290,0,290
2022-11-06T00:28:39,0,290,0,290
2022-11-06T00:37:54,0,290,0,290
2022-11-06T00:47:10,0,290,0,290
2022-11-06T00:56:25,0,290,0,290
2022-11-06T01:05:40,0,290,0,290
2022-11-06T01:14:55,0,290,0,290
2022-11-06T01:24:11,0,290,0,290
2022-11-06T01:33:27,0,290,0,290
2022-11-06T01:42:43,0,290,0,290
2022-11-06T01:51:59,0,290,0,290
2022-11-06T01:01:15,0,290,0,290
2022-11-06T01:10:32,0,290,0,290
2022-11-06T01:19:48,0,290,0,290
2022-11-06T01:29:04,0,290,0,290
2022-11-06T01:38:19,0,290,0,290
2022-11-06T01:47:35,0,290,0,290
2022-11-06T01:56:54,0,290,0,290
2022-11-06T02:06:12,0,290,0,290
2022-11-06T02:15:31,0,290,0,290
2022-11-06T02:24:51,0,290,0,290
2022-11-06T02:34:12,0,290,0,290
2022-11-06T02:43:30,0,290,0,290
2022-11-06T02:52:50,0,290,0,290
2022-11-06T03:02:08,0,290,0,290
2022-11-06T03:11:26,0,290,0,290
2022-11-06T03:20:43,0,290,0,290
2022-11-06T03:30:00,0,290,0,290
2022-11-06T03:39:19,0,290,0,290
2022-11-06T03:48:39,0,290,0,290
2022-11-06T03:57:58,0,290,0,290
2022-11-06T04:22:37,0,290,0,290
2022-11-06T04:31:56,0,290,0,290
2022-11-06T04:41:15,0,290,0,290
2022-11-06T04:51:59,0,290,0,290
2022-11-06T05:01:17,0,290,0,290
